"Radius (cm) 1.0D","RMS conditional temperature (K) 1.0D","Radius (cm) 1.5D","RMS conditional temperature (K) 1.5D","Radius (cm) 2.0D","RMS conditional temperature (K) 2.0D","Radius (cm) 2.5D","RMS conditional temperature (K) 2.5D","Radius (cm) 3.0D","RMS conditional temperature (K) 3.0D","Radius (cm) 3.5D","RMS conditional temperature (K) 3.5D"
-9.0,0.0,-9.0,69.61667164504675,-9.0,0.0,-9.0,79.80098243249768,-9.0,0.0,-9.0,91.70070452272977
-8.0,69.12821225511485,-8.0,78.3078998347352,-8.0,76.00725678642209,-8.0,69.61667164504674,-8.0,0.0,-8.0,91.80384861303865
-7.0,63.982446017921816,-7.0,81.80346681135863,-7.0,75.56291096646233,-7.0,78.10476150724557,-7.0,88.7005556049568,-7.0,95.69837206417891
-6.0,68.75569879080311,-6.0,83.22866524002869,-6.0,75.79206923178137,-6.0,81.80011893017846,-6.0,91.55129024778067,-6.0,94.48931739194244
-5.0,63.73658040116117,-5.0,77.39672686465306,-5.0,74.45843851948298,-5.0,83.11714933540772,-5.0,92.93319557961863,-5.0,96.46975342480987
-4.0,65.7306245825099,-4.0,76.12603832816714,-4.0,71.43271496258166,-4.0,77.44488897251459,-4.0,92.79393059955277,-4.0,97.71966174924798
-3.0,63.70434238997606,-3.0,72.76207453889754,-3.0,68.28656841631836,-3.0,76.23118170474271,-3.0,93.17305835402988,-3.0,97.95979581038725
-2.0,57.8822409066043,-2.0,68.18189586849819,-2.0,68.5990660196252,-2.0,72.73900662960614,-2.0,92.1528881533012,-2.0,97.28488040841684
-1.0,55.26001660165655,-1.0,67.18821937498625,-1.0,67.35322091455734,-1.0,68.18089714155296,-1.0,93.07835016041051,-1.0,98.92807231199058
0.0,53.59526907346277,0.0,67.33024093267677,0.0,67.18821937498625,0.0,67.19436468255454,0.0,94.01061726850378,0.0,99.64471700674167
1.0,58.978678906396205,1.0,68.62533191751754,1.0,68.18189586849819,1.0,67.35590975627927,1.0,94.80706496785764,1.0,100.58922326236376
2.0,60.38979421087527,2.0,68.28656841631836,2.0,72.76207453889754,2.0,68.62462009396707,2.0,95.42555466228237,2.0,97.54734890418236
3.0,63.14731655286215,3.0,71.43271496258166,3.0,75.90884993712777,3.0,68.27761318633226,3.0,95.13629853467377,3.0,98.80659921824265
4.0,70.66742748877816,4.0,74.45843851948298,4.0,77.39672686465306,4.0,71.43597815744083,4.0,94.45268769235825,4.0,97.79460599119076
5.0,68.45950475189306,5.0,75.79206923178137,5.0,83.20494571578148,5.0,74.4674942682265,5.0,93.92048407860541,5.0,95.71513846791161
6.0,78.6054216276331,6.0,75.56291096646233,6.0,81.80346681135863,6.0,75.83831666280311,6.0,92.2266808646752,6.0,94.79424632142184
7.0,62.369839093897106,7.0,76.00725678642209,7.0,78.3078998347352,7.0,75.52322686986636,7.0,86.8770457798111,7.0,96.07276482635743
8.0,0.0,8.0,0.0,8.0,69.61667164504675,8.0,76.17959737551392,8.0,88.12994407928214,8.0,0.0
9.0,0.0,9.0,0.0,9.0,79.79775912677334,9.0,0.0,9.0,84.8351355145015,9.0,0.0
