"Radius (cm) 1.0D","RMS conditional soot volume fraction (ppm) 1.0D","Radius (cm) 1.5D","RMS conditional soot volume fraction (ppm) 1.5D","Radius (cm) 2.0D","RMS conditional soot volume fraction (ppm) 2.0D","Radius (cm) 2.5D","RMS conditional soot volume fraction (ppm) 2.5D","Radius (cm) 3.0D","RMS conditional soot volume fraction (ppm) 3.0D","Radius (cm) 3.5D","RMS conditional soot volume fraction (ppm) 3.5D"
-9.0,0.0,-9.0,0.13232437309439266,-9.0,0.11677752910059563,-9.0,0.14694284575128883,-8.0,0.15533799093588035,-9.0,0.14158772851026044
-8.0,0.030835957789607783,-8.0,0.11235438013553563,-8.0,0.16347960415303517,-8.0,0.16830932855258074,-7.0,0.17265465102038668,-8.0,0.14628321400923058
-7.0,0.04728921477869351,-7.0,0.10784653989727694,-7.0,0.16307634560032913,-7.0,0.16845615120045354,-6.0,0.1671668418624915,-7.0,0.14883428733159382
-6.0,0.10332824116197065,-6.0,0.14341254991475813,-6.0,0.1469512543787115,-6.0,0.1646216878810015,-5.0,0.16163719693021403,-6.0,0.15333868156180178
-5.0,0.12715882607257203,-5.0,0.1449357174334008,-5.0,0.16768773884668922,-5.0,0.16353177865197893,-4.0,0.1644115987626825,-5.0,0.1557971971423168
-4.0,0.11847870975145254,-4.0,0.13968462455524025,-4.0,0.15338560087136938,-4.0,0.16601082986532734,-3.0,0.16750896993156372,-4.0,0.15837027223555558
-3.0,0.11115562115427889,-3.0,0.12543181456578284,-3.0,0.1466563446451168,-3.0,0.1598421215110747,-2.0,0.16805899155106355,-3.0,0.1591201920051816
-2.0,0.10187143371578575,-2.0,0.12036091872400298,-2.0,0.1500886686742221,-2.0,0.1649947218780947,-1.0,0.16514099080566066,-2.0,0.16327306323519186
-1.0,0.09192257891722201,-1.0,0.11634307879437036,-1.0,0.14517182503349227,-1.0,0.16150645551798914,0.0,0.16491572488658265,-1.0,0.1608821284520398
0.0,0.08174130230255786,0.0,0.10043081945396785,0.0,0.13804396274241693,0.0,0.16423754412574712,1.0,0.16812289038061845,0.0,0.16531261952953671
1.0,0.09602691704349452,1.0,0.10534951765946005,1.0,0.140284664534175,1.0,0.16284795253131862,2.0,0.17269633274639537,1.0,0.1685259979475298
2.0,0.09839576621125094,2.0,0.11673515814935355,2.0,0.14691828922858044,2.0,0.16435727551016927,3.0,0.1685307315600655,2.0,0.16402729194812327
3.0,0.11186325007320858,3.0,0.1322077506460497,3.0,0.1558118647105344,3.0,0.16723734703109214,4.0,0.1615512052647643,3.0,0.16795476318399563
4.0,0.11343781264044082,4.0,0.14151630341086133,4.0,0.15548420963371315,4.0,0.16496325610720344,5.0,0.16819258137229992,4.0,0.16316191394538815
5.0,0.10931414045265476,5.0,0.1556029820470077,5.0,0.15676453939631566,5.0,0.16969072683995287,6.0,0.15887094735266466,5.0,0.16161570143372178
6.0,0.11610148435132872,6.0,0.14739659116029463,6.0,0.15864753576289709,6.0,0.16416599973150034,7.0,0.1564600440855852,6.0,0.16083096945087594
7.0,0.08018056531633666,7.0,0.14033053642550894,7.0,0.1523778128414537,7.0,0.16053314247478978,8.0,0.143827462987399,7.0,0.1551887521402093
8.0,0.0,8.0,0.1564781840554509,8.0,0.1372438805280239,8.0,0.1489656666537796,9.0,0.14402741561692944,8.0,0.15099197107387133
9.0,0.0,9.0,0.1027050783075791,9.0,0.1270764181307272,9.0,0.127973541307209,10.0,0.13392019192786034,9.0,0.15602940712610627
