"Radius (cm) 1.0D","Mean conditional soot volume fraction (ppm) 1.0D","Radius (cm) 1.5D","Mean conditional soot volume fraction (ppm) 1.5D","Radius (cm) 2.0D","Mean conditional soot volume fraction (ppm) 2.0D","Radius (cm) 2.5D","Mean conditional soot volume fraction (ppm) 2.5D","Radius (cm) 3.0D","Mean conditional soot volume fraction (ppm) 3.0D","Radius (cm) 3.5D","Mean conditional soot volume fraction (ppm) 3.5D"
-9.0,0.0,-9.0,0.18741403007358434,-9.0,0.0,-9.0,0.256481376418961,-9.0,0.0,-9.0,0.26781933972652605
-8.0,0.2839033434913197,-8.0,0.23041107635176258,-8.0,0.264453312096203,-8.0,0.18741403007358434,-8.0,0.0,-8.0,0.2791990307100731
-7.0,0.32309926580834375,-7.0,0.2620139459021574,-7.0,0.26576933940765657,-7.0,0.23550043059812223,-7.0,0.30911465534003385,-7.0,0.27297439011707514
-6.0,0.2840969687887768,-6.0,0.27118812074935605,-6.0,0.2661465965500505,-6.0,0.26276902667030594,-6.0,0.32604718827652895,-6.0,0.2625493937234606
-5.0,0.24268927321858005,-5.0,0.2670347559902553,-5.0,0.2656487220317918,-5.0,0.2718044289866955,-5.0,0.31977396802616914,-5.0,0.2640429273477056
-4.0,0.24980908409917843,-4.0,0.27740048216236285,-4.0,0.23304752897905806,-4.0,0.26634161856142036,-4.0,0.3371351927159793,-4.0,0.2586772163609508
-3.0,0.2299772464356531,-3.0,0.24796791968741472,-3.0,0.21260819094346878,-3.0,0.27619725947386714,-3.0,0.32879648031587727,-3.0,0.26630632200116017
-2.0,0.19108980422916072,-2.0,0.2199499583396332,-2.0,0.20445451155849856,-2.0,0.2478858380536485,-2.0,0.32469736816976164,-2.0,0.2623080946030121
-1.0,0.16399538356264026,-1.0,0.20689058410108274,-1.0,0.1941580212882132,-1.0,0.2198655328649778,-1.0,0.3176012873101385,-1.0,0.26860748756227104
0.0,0.16467064842446222,0.0,0.19394239405692412,0.0,0.20689058410108274,0.0,0.20673983974517782,0.0,0.32238450025551413,0.0,0.2697137204315953
1.0,0.18291498062988737,1.0,0.20388302253256205,1.0,0.2199499583396332,1.0,0.19422683909340357,1.0,0.3277844714926074,1.0,0.26764242655219744
2.0,0.2160013158002862,2.0,0.21260819094346878,2.0,0.24796791968741472,2.0,0.20372370853789565,2.0,0.3275939211712916,2.0,0.2726558201526196
3.0,0.2181568523112203,3.0,0.23304752897905806,3.0,0.27619762985534574,3.0,0.21265730319400106,3.0,0.32312512499500834,3.0,0.260558867905802
4.0,0.23092518676617566,4.0,0.2656487220317918,4.0,0.2670347559902553,4.0,0.23285259582429668,4.0,0.3284801905527595,4.0,0.2702697453008428
5.0,0.23392214537715073,5.0,0.2661465965500505,5.0,0.2718545040806709,5.0,0.26563318648472745,5.0,0.3296891496203176,5.0,0.2566509046119771
6.0,0.20232558324425293,6.0,0.26576933940765657,6.0,0.2620139459021574,6.0,0.2669849002128531,6.0,0.32614415644387756,6.0,0.2598346910367435
7.0,0.1497886195705754,7.0,0.264453312096203,7.0,0.23041107635176258,7.0,0.26596265686482756,7.0,0.3371487168193459,7.0,0.26051607101839863
8.0,0.0,8.0,0.0,8.0,0.18741403007358434,8.0,0.2632017715276898,8.0,0.31743028211861035,8.0,0.0
9.0,0.0,9.0,0.0,9.0,0.25633671753385834,9.0,0.0,9.0,0.29954302061461213,9.0,0.0
