"Radius, (cm), 1.0D","RMS conditional temperature, (K), 1.0D","Radius, (cm), 1.5D","RMS conditional temperature, (K), 1.5D","Radius, (cm), 2.0D","RMS conditional temperature, (K), 2.0D","Radius, (cm), 2.5D","RMS conditional temperature, (K), 2.5D","Radius, (cm), 3.0D","RMS conditional temperature, (K), 3.0D","Radius, (cm), 3.5D","RMS conditional temperature, (K), 3.5D"
-7.0,67.075787483662,-9.0,90.52386016321299,-9.0,101.43951884458374,-9.0,96.7281466136574,-9.0,105.75938162678713,-9.0,104.9650371267792
-6.0,89.27673582551972,-8.0,82.11140557712235,-8.0,98.63732399843735,-8.0,101.94490204715396,-8.0,109.1488971671207,-8.0,110.60420806959276
-5.0,85.73519558318682,-7.0,89.07881993615045,-7.0,99.93020029695282,-7.0,99.4534390824589,-7.0,108.51361527323843,-7.0,109.25880155523414
-4.0,81.32565346344751,-6.0,92.82280435356776,-6.0,97.96618661428342,-6.0,101.12696367612364,-6.0,110.66950015967484,-6.0,112.65805003314377
-3.0,83.5898270677056,-5.0,93.0548650110049,-5.0,99.62137120224011,-5.0,99.45618688574218,-5.0,111.26782261048989,-5.0,111.58064942629532
-2.0,88.54445556817578,-4.0,96.66270878222488,-4.0,98.41260543111547,-4.0,102.15639613885297,-4.0,107.36518209004575,-4.0,116.77842573712724
-1.0,83.19280106456478,-3.0,93.6730767078755,-3.0,94.2142883758484,-3.0,103.68093577594472,-3.0,111.2624477169809,-3.0,116.39972500102415
0.0,76.68458802004254,-2.0,84.05318332737961,-2.0,98.6481505599918,-2.0,104.91366519310688,-2.0,111.77982829571874,-2.0,115.21359324575262
1.0,81.99729540427829,-1.0,80.33565813715435,-1.0,94.50429662888091,-1.0,105.29909633512938,-1.0,112.01501561920118,-1.0,117.98181746699119
2.0,85.5708049658582,0.0,80.4186434379217,0.0,96.83476733495003,0.0,110.64425057072073,0.0,113.87172001705882,0.0,118.77036534625114
3.0,85.29621552979157,1.0,85.10893116525385,1.0,89.96263630618245,1.0,114.18472770085535,1.0,112.54960860286054,1.0,117.482230218459
4.0,84.51232809627365,2.0,86.05614507031929,2.0,98.03779343548659,2.0,111.38482201066361,2.0,111.79288044234323,2.0,118.87297625021702
5.0,89.75484225672066,3.0,84.4779584852302,3.0,98.76315644332561,3.0,105.10709300910409,3.0,112.78349715941346,3.0,117.37117221170882
6.0,92.8091653184568,4.0,85.3411463373362,4.0,99.35205688028522,4.0,105.94885348245963,4.0,110.73504412125149,4.0,116.89429690767734
7.0,81.6414174396649,5.0,87.50854752429274,5.0,99.99008131116578,5.0,105.36255380054983,5.0,112.18556668678625,5.0,116.89009428425062
,,6.0,90.63582116653227,6.0,96.19073062909229,6.0,102.81992549274597,6.0,111.3567579892517,6.0,116.4966753797155
,,7.0,91.70414060141366,7.0,97.46543038825486,7.0,106.75614649187403,7.0,106.62123203528412,7.0,118.64436112599819
,,8.0,91.56564732126347,8.0,94.43080530067503,8.0,103.14267170008867,8.0,108.14129247934686,8.0,116.2223815106393
,,9.0,91.24147997369906,9.0,99.39954011386982,9.0,106.69455586957457,9.0,106.52314375173401,9.0,115.7656117898986
