"Radius (cm) 1.0D","mean intensity 950 um (kW/m2-um-sr),1.0D","mean intensity 675 um (kW/m2-um-sr) 1.0D","Radius (cm) 1.5D","mean intensity 950 um (kW/m2-um-sr),1.5D","mean intensity 675 um (kW/m2-um-sr) 1.5D","Radius (cm) 2.0D","mean intensity 950 um (kW/m2-um-sr),2.0D","mean intensity 675 um (kW/m2-um-sr) 2.0D","Radius (cm) 2.5D","mean intensity 950 um (kW/m2-um-sr),2.5D","mean intensity 675 um (kW/m2-um-sr) 2.5D","Radius (cm) 3.0D","mean intensity 950 um (kW/m2-um-sr),3.0D","mean intensity 675 um (kW/m2-um-sr) 3.0D","Radius (cm) 3.5D","mean intensity 950 um (kW/m2-um-sr),3.5D","mean intensity 675 um (kW/m2-um-sr) 3.5D"
9.0,3.519481810552694e-05,-6.894072625188172e-06,9.0,0.0007828233271629714,7.637008177899784e-05,-9.0,0.006959916720519416,0.0008059299957922578,9.0,0.0006802508565947239,0.0001402942070097609,-9.0,0.004450173255347326,0.0005158247744473961,9.0,0.011516956167307949,0.0015378001802750308
8.0,0.00013437116407079473,9.260272973260406e-07,8.0,0.0011311857195000228,0.00011405905742546991,-8.0,0.013523247826110736,0.0016235532916227956,8.0,0.0023887456404595255,0.0003362516440898012,-8.0,0.008487739712211987,0.0010900622656307112,8.0,0.015497924161460511,0.0021685114199324423
7.0,0.0004002003098142791,3.190913542506544e-05,7.0,0.0024952119401287394,0.00037710192447798214,-7.0,0.020572103925756476,0.0026315678394537665,7.0,0.004525775858713916,0.0004788884240633284,-7.0,0.01644950715639895,0.0021191123817919885,7.0,0.023154598669866258,0.0031559123882900914
6.0,0.001328350834037763,0.00013717287387477925,6.0,0.006188846295188689,0.0008294205509124074,-6.0,0.026717293259726948,0.003542493788163261,6.0,0.009694931591984025,0.0011326826450288041,-6.0,0.027813598440494046,0.00371899769441428,6.0,0.02936927032961933,0.003983985976459184
5.0,0.0028959585106558263,0.00042355952301179647,5.0,0.012602612012481315,0.001647883468605195,-5.0,0.045076405357912575,0.005879172017966183,5.0,0.01513189624919533,0.0020167958548106706,-5.0,0.03867582784663363,0.005002762890106082,5.0,0.036617817345070774,0.005029090783721495
4.0,0.006932669722550776,0.0008990593344808988,4.0,0.030724248958642522,0.004188380047047344,-4.0,0.06673791316254127,0.009009383817081893,4.0,0.030999119671315606,0.004193386287251545,-4.0,0.060777469808574826,0.00800201301256494,4.0,0.042430925772207896,0.005776572147683915
3.0,0.015963750097343295,0.002125865617338259,3.0,0.04706622980780091,0.006514904671564763,-3.0,0.08114980520159808,0.011061914037768813,3.0,0.05493088517935141,0.00754247371399107,-3.0,0.07939289157216418,0.01057180656655275,3.0,0.0440179370993913,0.006021616022324161
2.0,0.04171162210747886,0.0056228298004105835,2.0,0.06645262993427678,0.009164013183323074,-2.0,0.09590425209273562,0.013109513037706248,2.0,0.08723616964984365,0.011809081554322453,-2.0,0.08833587616798123,0.011846817288884304,2.0,0.05239728797087372,0.007019008620681334
1.0,0.051740769850011824,0.006745328919883685,1.0,0.07095664952018531,0.009533494475056605,-1.0,0.0997280021634831,0.013592300800252049,1.0,0.1060980518502809,0.014428975795392904,-1.0,0.09594217075884166,0.01292849463373141,1.0,0.054903539299196814,0.007381177098786219
0.0,0.036294745332534156,0.004422478478223573,0.0,0.06734490082469312,0.008777659975685985,0.0,0.09738884015463779,0.01318551860515016,0.0,0.11632737697416372,0.01593410228217331,0.0,0.1015069097796165,0.01373260022956804,0.0,0.06593203403659023,0.008984137005115462
-1.0,0.026304772599690728,0.0031099422733471336,-1.0,0.06968721082086644,0.009340462824801023,1.0,0.09697371530648993,0.013330993997268862,-1.0,0.11643264373835692,0.01609222694289243,1.0,0.09820422948145116,0.01327656098250246,-1.0,0.06321992172093667,0.008571972124939651
-2.0,0.05189500901184848,0.006496070898657298,-2.0,0.0745522487438865,0.01015642628244399,2.0,0.0851005064126804,0.011579907782651418,-2.0,0.10414155301686466,0.014154984761371595,2.0,0.08270355908478114,0.011151035425415092,-2.0,0.060319537258629166,0.008196420644423885
-3.0,0.0650534183319329,0.008331458979475155,-3.0,0.06157595126050307,0.008383833191323214,3.0,0.06565033942444419,0.009208302709361236,-3.0,0.0909521477047235,0.012489295992158223,3.0,0.05655268915494302,0.007620785337869616,-3.0,0.04818364296617579,0.00663984532392088
-4.0,0.03915787052287747,0.005152990572457848,-4.0,0.04104830944701529,0.005527568901738559,4.0,0.036996896928561285,0.004978975402147003,-4.0,0.06737345266018449,0.009037936393247065,4.0,0.04064155268288103,0.005400634204526575,-4.0,0.036177982859787065,0.00500320208459196
-5.0,0.012726019651377197,0.001721212590826333,-5.0,0.018626700295071314,0.002516743108868915,5.0,0.020077330685985325,0.0027441834865559035,-5.0,0.05270274110754615,0.006981295962522888,5.0,0.028688025442323007,0.003719907723293194,-5.0,0.027318889005131713,0.00375853347020569
-6.0,0.004442558003752812,0.0006109068644659637,-6.0,0.009218777165953058,0.0011763594123042535,6.0,0.00830897503033048,0.001037532385507392,-6.0,0.03607913287179705,0.00472362496197939,6.0,0.018628432347278505,0.0023375261732185865,-6.0,0.017724213369829208,0.0024339072489038844
-7.0,0.001597778228365098,0.0001945813228381958,-7.0,0.0033774721167922294,0.0003943673052493303,7.0,0.003722039362628815,0.0004146441914038322,-7.0,0.024563636801104422,0.003104389546058767,7.0,0.007923476824590917,0.0009093185785766493,-7.0,0.009407385174489106,0.0013401116765407335
-8.0,-7.241438194104395e-06,-1.0111390959932143e-05,-8.0,0.00051912641025668,4.7070396842763e-05,8.0,0.0008516101413060379,0.0001529385670133652,-8.0,0.01593925847625078,0.0020759732920284228,8.0,0.005275328932547806,0.0006051717459297618,-8.0,0.006708925882690331,0.000900655448579454
-9.0,-0.00015939703981070216,-2.7164538846247288e-05,-9.0,3.2108751499503134e-05,-1.961305300101185e-05,9.0,0.00047843995716591347,0.000118732751757109,-9.0,0.007263134010589184,0.0009038009198515741,9.0,0.002099040068838778,0.0003192457910978878,-9.0,0.002828025278435194,0.0003739676314121505
