"Radius (cm) 1.0D","RMS conditional soot volume fraction (ppm) 1.0D","Radius (cm) 1.5D","RMS conditional soot volume fraction (ppm) 1.5D","Radius (cm) 2.0D","RMS conditional soot volume fraction (ppm) 2.0D","Radius (cm) 2.5D","RMS conditional soot volume fraction (ppm) 2.5D","Radius (cm) 3.0D","RMS conditional soot volume fraction (ppm) 3.0D","Radius (cm) 3.5D","RMS conditional soot volume fraction (ppm) 3.5D"
-7.0,0.16977988371384495,-9.0,0.18544358129644992,-9.0,0.37393506960583534,-9.0,0.30257749185108396,-9.0,0.30938962802224235,-9.0,0.26043142247628936
-6.0,0.3398855189941397,-8.0,0.28692766567540523,-8.0,0.2885589092348775,-8.0,0.3139204497290345,-8.0,0.3239056280100754,-8.0,0.29411668109910144
-5.0,0.3020246993686566,-7.0,0.2902579615924475,-7.0,0.3425457207026501,-7.0,0.31741580977094913,-7.0,0.32869086021704486,-7.0,0.29801741411638766
-4.0,0.28843010687733106,-6.0,0.3262676592333498,-6.0,0.3203495474843081,-6.0,0.3259279747679347,-6.0,0.34738154475008953,-6.0,0.31999871700467586
-3.0,0.26902697170961,-5.0,0.33205058507974683,-5.0,0.3600067802378339,-5.0,0.34274506130481486,-5.0,0.34650160444543204,-5.0,0.3236656366825057
-2.0,0.24674636320359308,-4.0,0.33092793823194383,-4.0,0.33838288828758206,-4.0,0.34448806593036074,-4.0,0.33567761052448625,-4.0,0.33311323337195525
-1.0,0.19653814214662968,-3.0,0.341727560172785,-3.0,0.32611709213212603,-3.0,0.3573968205424482,-3.0,0.3548138589203623,-3.0,0.3416580551172949
0.0,0.16166968590969694,-2.0,0.30517840985479633,-2.0,0.31355036910132156,-2.0,0.3624759680970649,-2.0,0.36111807787905204,-2.0,0.3370600980953154
1.0,0.18913222838592045,-1.0,0.26804178660329253,-1.0,0.3221656125803593,-1.0,0.3617501680167582,-1.0,0.36573177372179605,-1.0,0.34760574195741045
2.0,0.2178016873081887,0.0,0.23410706459981062,0.0,0.3291539821966914,0.0,0.35926534900699214,0.0,0.36191953711001507,0.0,0.3399036133400995
3.0,0.24701475105226728,1.0,0.23424743566315231,1.0,0.31522195369509787,1.0,0.368163081954699,1.0,0.3583718308329133,1.0,0.3475743408060254
4.0,0.27700816500499426,2.0,0.24859107952086767,2.0,0.3159583158342329,2.0,0.3560091163604793,2.0,0.3610488202138947,2.0,0.345200529510961
5.0,0.3198148553887745,3.0,0.27750842816507065,3.0,0.32342081113275645,3.0,0.3590703812490088,3.0,0.36060017281754775,3.0,0.3408896160907632
6.0,0.28194721502307213,4.0,0.29941025931942744,4.0,0.3323615691646234,4.0,0.3693275152532791,4.0,0.36754799634924423,4.0,0.3306361953565625
7.0,0.2341245728260343,5.0,0.3243921296888004,5.0,0.3467860447774464,5.0,0.3699095968086147,5.0,0.3578451632147506,5.0,0.3253317586736832
,,6.0,0.3174951358357986,6.0,0.34701198668412714,6.0,0.34306997197648315,6.0,0.3673389293249019,6.0,0.32161244992268917
,,7.0,0.2926726900279675,7.0,0.3288455758035585,7.0,0.34803226487226696,7.0,0.34287203871031724,7.0,0.33537130983146485
,,8.0,0.28884435011964565,8.0,0.3131849441256902,8.0,0.338761603188015,8.0,0.3426115115760278,8.0,0.3332771400656395
,,9.0,0.2777364430510148,9.0,0.2826494706259351,9.0,0.3505152623899404,9.0,0.35390978156952024,9.0,0.3285227962449536
