"Radius (cm) 1.0D","intermittency index 1.0D","Radius (cm) 1.5D","intermittency index 1.5D","Radius (cm) 2.0D","intermittency index 2.0D","Radius (cm) 2.5D","intermittency index 2.5D","Radius (cm) 3.0D","intermittency index 3.0D","Radius (cm) 3.5D","intermittency index 3.5D"
0.0,0.5627514285714286,9.0,0.046765714285714285,9.0,0.02492857142857143,-9.0,0.02965135135135135,9.0,0.028202857142857144,-9.0,0.009266904223883191
-1.0,0.6816142857142857,8.0,0.06460780810291687,8.0,0.03926285714285714,-8.0,0.03019142857142857,8.0,0.07021142857142858,-8.0,0.02414857142857143
-2.0,0.5376277777777778,7.0,0.10104285714285714,7.0,0.09213142857142857,-7.0,0.08830571428571428,7.0,0.10982571428571429,-7.0,0.042434285714285716
-3.0,0.25191714285714284,6.0,0.17010833333333333,6.0,0.1327742857142857,-6.0,0.14438,6.0,0.12854285714285715,-6.0,0.07381142857142857
-4.0,0.10689714285714286,5.0,0.23136,5.0,0.2022142857142857,-5.0,0.22686,5.0,0.16459428571428572,-5.0,0.10128
-5.0,0.030354285714285716,4.0,0.3783108108108108,4.0,0.26429714285714284,-4.0,0.31385142857142856,4.0,0.2146684210526316,-4.0,0.12572571428571427
-6.0,0.0035885714285714284,3.0,0.49456666666666665,3.0,0.39317142857142856,-3.0,0.41262857142857146,3.0,0.27876285714285715,-3.0,0.1554657142857143
-7.0,0.0003423076923076923,2.0,0.6492885714285714,2.0,0.5244342857142857,-2.0,0.4967057142857143,2.0,0.32895897435897437,-2.0,0.18884594594594595
1.0,0.6190942857142857,1.0,0.7811171428571428,1.0,0.6331857142857142,-1.0,0.5405942857142857,1.0,0.38082,-1.0,0.1953
2.0,0.6621078947368421,0.0,0.7544138339214723,0.0,0.6962756756756757,0.0,0.5438444444444445,0.0,0.3815314285714286,0.0,0.19608857142857142
3.0,0.3537342857142857,-1.0,0.6138,-1.0,0.7098742857142857,1.0,0.5293447368421053,-1.0,0.3848942857142857,1.0,0.18899106987658612
4.0,0.1180369507872393,-2.0,0.4008771428571429,-2.0,0.58428,2.0,0.48401,-2.0,0.35426216216216216,2.0,0.19233611111111112
5.0,0.046592857142857144,-3.0,0.24936571428571427,-3.0,0.44161428571428574,3.0,0.3931430838348034,-3.0,0.29123061224489794,3.0,0.18061666666666668
6.0,0.014711428571428571,-4.0,0.14302,-4.0,0.2976714285714286,4.0,0.3231542857142857,-4.0,0.20951142857142857,4.0,0.14850526315789472
7.0,0.0044,-5.0,0.08790857142857143,-5.0,0.20623142857142857,5.0,0.22953055555555554,-5.0,0.1330457142857143,5.0,0.11555428571428572
,,-6.0,0.03971714285714286,-6.0,0.11175428571428571,6.0,0.17716857142857143,-6.0,0.08898857142857143,6.0,0.08106
,,-7.0,0.019437142857142858,-7.0,0.04570857142857143,7.0,0.13004285714285715,-7.0,0.04202,7.0,0.06027777777777778
,,-8.0,0.0037333333333333333,-8.0,0.02579714285714286,8.0,0.07330571428571428,-8.0,0.02338857142857143,8.0,0.04196571428571429
,,-9.0,0.0010916666666666666,-9.0,0.008365714285714285,9.0,0.06111944444444444,-9.0,0.011577777777777777,9.0,0.0398
