"Radius (cm) 1.0D","Mean conditional temperature (K) 1.0D","Radius (cm) 1.5D","Mean conditional temperature (K) 1.5D","Radius (cm) 2.0D","Mean conditional temperature (K) 2.0D","Radius (cm) 2.5D","Mean conditional temperature (K) 2.5D","Radius (cm) 3.0D","Mean conditional temperature (K) 3.0D","Radius (cm) 3.5D","Mean conditional temperature (K) 3.5D"
-9.0,0.0,-9.0,1544.468233786038,-9.0,0.0,-9.0,1457.3423519812995,-9.0,0.0,-9.0,1494.9995930118369
-8.0,1489.591474416984,-8.0,1456.3102725231047,-8.0,1469.513934199633,-8.0,1544.468233786038,-8.0,0.0,-8.0,1502.4996531542872
-7.0,1510.6141536848847,-7.0,1467.3067354196862,-7.0,1488.9691648588098,-7.0,1456.1287128954987,-7.0,1488.661727090779,-7.0,1512.0343093876538
-6.0,1514.4645706002534,-6.0,1484.713981117578,-6.0,1507.6537187857807,-6.0,1467.3109884152766,-6.0,1494.910224584944,-6.0,1515.2669257847037
-5.0,1510.2528585333193,-5.0,1500.8084725177948,-5.0,1516.705802256183,-5.0,1484.3357838107993,-5.0,1499.04164379865,-5.0,1517.7965655635471
-4.0,1492.0674257211913,-4.0,1509.9037990176594,-4.0,1514.3293262206823,-4.0,1500.900818927044,-4.0,1504.4905442982865,-4.0,1517.9141358960776
-3.0,1488.8060557723875,-3.0,1510.9513544691372,-3.0,1508.7604345595826,-3.0,1509.5272663552114,-3.0,1506.6539375502148,-3.0,1521.1429419880262
-2.0,1480.4921107299945,-2.0,1506.4497254282571,-2.0,1500.8135443229003,-2.0,1510.9863297877255,-2.0,1507.9869396466322,-2.0,1522.6495322079088
-1.0,1470.942116538275,-1.0,1496.414818266105,-1.0,1495.2282664293998,-1.0,1506.4694231366889,-1.0,1510.835565973148,-1.0,1521.1073718896312
0.0,1479.8833145683293,0.0,1494.8072828417357,0.0,1496.414818266105,0.0,1496.445489790431,0.0,1509.2425723852882,0.0,1520.8865589316424
1.0,1491.946382306148,1.0,1500.9402437335316,1.0,1506.4497254282571,1.0,1495.2158077495724,1.0,1507.1543418438794,1.0,1519.946332175823
2.0,1504.8545844599678,2.0,1508.7604345595826,2.0,1510.9513544691372,2.0,1501.0083116301803,2.0,1508.6071114550023,2.0,1517.9538704544614
3.0,1521.0677898573836,3.0,1514.3293262206823,3.0,1509.5375254864439,3.0,1508.8013580577247,3.0,1506.0686725131307,3.0,1515.0200036394494
4.0,1512.1492206640244,4.0,1516.705802256183,4.0,1500.8084725177948,4.0,1514.331875317602,4.0,1502.9905813494065,4.0,1517.6442942160772
5.0,1496.1704287697796,5.0,1507.6537187857807,5.0,1484.3537986119336,5.0,1516.7727409115273,5.0,1496.0856176798898,5.0,1518.4772124506057
6.0,1458.7237281169553,6.0,1488.9691648588098,6.0,1467.3067354196862,6.0,1507.5746199988914,6.0,1495.7078338984911,6.0,1515.3207747549686
7.0,1462.2673209140753,7.0,1469.513934199633,7.0,1456.3102725231047,7.0,1488.929855384945,7.0,1482.034371512792,7.0,1510.9982739340508
8.0,0.0,8.0,0.0,8.0,1544.468233786038,8.0,1469.6231160471548,8.0,1483.9160187139157,8.0,0.0
9.0,0.0,9.0,0.0,9.0,1457.3187285786964,9.0,0.0,9.0,1483.7946000460183,9.0,0.0
