X_O2,HRR,Eta,X_rad
0.21,9355.070085,1,0.334028983
0.135,8832.417673,0.944131641,0.209285952
0.13,8690.931669,0.929007649,0.207456169
0.125,8500.806078,0.908684382,0.183973474
0.12,7998.023397,0.854939976,0.164419507
0.115,6636.569079,0.709408804,0.147571414
0.11,2849.549201,0.30459945,0.121848056
