X_O2,HRR,Eta,X_rad
0.21,9229.064289,1,0.355141624
0.17,8749.713337,0.94806072,0.298850964
0.14,7953.997597,0.861842257,0.228286627
0.13,7793.550353,0.844457261,0.182389152
0.12,6225.277696,0.674529671,0.105575143
0.11,1353.96865,0.146707034,0.013160515
