X_O2,HRR,Eta,X_rad
0.21,9867.812669,1,0.308740421
0.18,9820.722158,0.995227867,0.284172535
0.16,9778.6994,0.990969299,0.242722428
0.14,9718.67126,0.984886072,0.196219976
0.12,9621.14824,0.97500313,0.149434823
0.1,9191.236342,0.931436039,0.109553867
0.09,6512.132641,0.659936792,0.060738157
0.08,1622.174761,0.16439051,0.011676897
