X_O2,HRR,Eta,X_rad
0.21,9553.397469,1,0.400945652
0.18,9256.099121,0.968880354,0.341845929
0.16,9017.618231,0.943917414,0.277832555
0.14,8661.908784,0.906683597,0.211872348
0.12,8222.748846,0.860714617,0.135275235
0.1,7965.995589,0.833839021,0.100665603
0.09,6477.702938,0.67805228,0.074362311
0.085,5228.567061,0.547299228,0.055252772
0.08,2360.794703,0.247115721,0.017744914
