X_O2,HRR,Eta,X_rad
0.21,9025.500543,1,0.230029244
0.17,7936.052657,0.879292247,0.165046778
0.16,6211.124294,0.688175051,0.114684049
0.15,4268.247548,0.472909788,0.071777404
0.14,1239.501754,0.137333298,0.015756635
