X_O2,HRR,Eta,X_rad
0.21,9472.272732,1,0.336243436
0.19,9446.03103,0.99722963,0.351966563
0.18,9410.851741,0.992214361,0.329830896
0.17,9405.66607,0.992968249,0.340324862
0.15,9340.448686,0.986083166,0.310399656
0.14,9324.018355,0.983059256,0.27283579
0.13,9225.425263,0.973939996,0.241245339
0.12,9232.825219,0.97344449,0.208159562
0.11,9081.388183,0.958733816,0.185463686
0.1,8903.657897,0.939970601,0.149019598
0.095,8716.29018,0.923120494,0.13309739
0.09,8234.876328,0.872135156,0.114214299
0.085,6234.700068,0.660301491,0.070727503
0.0825,3171.164174,0.335850067,0.029917156
0.08,911.7774806,0.096564073,0.005441004
