Height-cm,Air,15.2-Cpre-2.5,15.2-Cpre-1.8,16.8-Cpre-2.0,16.8-Cpre-2.5
1.5,4.595100288,NaN,NaN,NaN,NaN
2.5,4.213641264,NaN,NaN,NaN,NaN
5,4.766437248,NaN,NaN,NaN,NaN
7.5,5.163876759,2.823804488,2.239323792,2.84489958,3.627972137
11.25,6.600146721,3.745402625,2.959940349,3.883420863,4.738779963
15,9.867383103,6.088762923,4.685525291,6.372554212,7.813220768
22.5,13.47452355,10.18712004,7.808361978,10.25593377,12.3832811
30,13.22974661,10.46305306,8.114638407,9.964728242,12.47496129
37.5,11.9234502,9.68750674,7.876918673,9.255698888,11.09676314
45,9.062758118,8.308022635,7.132266571,7.964295357,9.226587726
52.5,5.957410991,6.490189458,5.630300708,6.307199328,6.999002517
67.5,2.180704087,3.497439984,3.241714512,3.224472584,3.256623851
