Temperature (K),10_cm,5_cm,0_cm
2.65E+02,0.00E+00,0.00E+00,0.00E+00
2.75E+02,0.00E+00,0.00E+00,0.00E+00
2.86E+02,0.00E+00,0.00E+00,0.00E+00
2.96E+02,9.75E-02,5.80E-02,0.00E+00
3.06E+02,0.00E+00,1.04E-02,0.00E+00
3.16E+02,0.00E+00,3.56E-03,0.00E+00
3.27E+02,0.00E+00,2.13E-03,0.00E+00
3.37E+02,0.00E+00,1.49E-03,0.00E+00
3.47E+02,0.00E+00,1.24E-03,0.00E+00
3.57E+02,0.00E+00,8.26E-04,0.00E+00
3.68E+02,0.00E+00,7.92E-04,0.00E+00
3.78E+02,0.00E+00,6.58E-04,0.00E+00
3.88E+02,0.00E+00,7.08E-04,0.00E+00
3.98E+02,0.00E+00,5.52E-04,0.00E+00
4.09E+02,0.00E+00,5.63E-04,0.00E+00
4.19E+02,0.00E+00,4.41E-04,0.00E+00
4.29E+02,0.00E+00,4.69E-04,0.00E+00
4.39E+02,0.00E+00,5.02E-04,0.00E+00
4.50E+02,0.00E+00,3.90E-04,0.00E+00
4.60E+02,0.00E+00,3.57E-04,0.00E+00
4.70E+02,0.00E+00,4.35E-04,0.00E+00
4.80E+02,0.00E+00,3.68E-04,0.00E+00
4.91E+02,0.00E+00,3.35E-04,0.00E+00
5.01E+02,0.00E+00,3.85E-04,0.00E+00
5.11E+02,0.00E+00,3.24E-04,3.35E-05
5.21E+02,0.00E+00,3.24E-04,1.90E-04
5.32E+02,0.00E+00,2.23E-04,3.74E-04
5.42E+02,0.00E+00,3.46E-04,1.26E-03
5.52E+02,0.00E+00,2.40E-04,1.58E-03
5.62E+02,0.00E+00,2.29E-04,2.21E-03
5.73E+02,0.00E+00,2.62E-04,3.34E-03
5.83E+02,0.00E+00,2.34E-04,3.35E-03
5.93E+02,0.00E+00,1.78E-04,3.69E-03
6.03E+02,0.00E+00,2.45E-04,3.60E-03
6.14E+02,0.00E+00,2.34E-04,4.04E-03
6.24E+02,0.00E+00,2.01E-04,4.13E-03
6.34E+02,0.00E+00,2.18E-04,3.42E-03
6.44E+02,0.00E+00,1.56E-04,3.84E-03
6.55E+02,0.00E+00,2.12E-04,3.71E-03
6.65E+02,0.00E+00,2.06E-04,3.34E-03
6.75E+02,0.00E+00,1.62E-04,3.12E-03
6.85E+02,0.00E+00,1.67E-04,3.23E-03
6.96E+02,0.00E+00,2.29E-04,2.95E-03
7.06E+02,0.00E+00,1.78E-04,2.64E-03
7.16E+02,0.00E+00,2.06E-04,2.54E-03
7.26E+02,0.00E+00,1.90E-04,2.38E-03
7.37E+02,0.00E+00,1.90E-04,2.36E-03
7.47E+02,0.00E+00,1.78E-04,2.24E-03
7.57E+02,0.00E+00,1.73E-04,2.15E-03
7.67E+02,0.00E+00,2.12E-04,2.12E-03
7.78E+02,0.00E+00,1.51E-04,2.07E-03
7.88E+02,0.00E+00,1.67E-04,1.83E-03
7.98E+02,0.00E+00,1.73E-04,1.62E-03
8.08E+02,0.00E+00,1.28E-04,1.62E-03
8.19E+02,0.00E+00,1.78E-04,1.49E-03
8.29E+02,0.00E+00,1.23E-04,1.54E-03
