Temperature (K),10_cm,5_cm,0_cm
1.42E+03,3.90E-05,2.40E-04,9.54E-04
1.43E+03,4.46E-05,2.96E-04,1.03E-03
1.44E+03,8.92E-05,2.57E-04,1.06E-03
1.45E+03,6.69E-05,2.90E-04,9.54E-04
1.46E+03,5.58E-05,2.34E-04,9.71E-04
1.47E+03,4.46E-05,2.68E-04,1.08E-03
1.49E+03,5.02E-05,2.84E-04,1.10E-03
1.50E+03,2.23E-05,3.07E-04,9.87E-04
1.51E+03,2.23E-05,3.01E-04,9.26E-04
1.52E+03,2.79E-05,3.12E-04,9.71E-04
1.53E+03,1.67E-05,3.01E-04,1.12E-03
1.54E+03,1.67E-05,3.24E-04,1.00E-03
1.55E+03,2.79E-05,3.24E-04,1.04E-03
1.56E+03,1.12E-05,2.51E-04,1.12E-03
1.57E+03,1.67E-05,3.07E-04,1.12E-03
1.58E+03,3.35E-05,2.96E-04,1.04E-03
1.59E+03,1.12E-05,3.07E-04,1.07E-03
1.60E+03,0.00E+00,3.51E-04,1.28E-03
1.61E+03,1.12E-05,3.12E-04,1.19E-03
1.62E+03,5.58E-06,2.68E-04,1.20E-03
1.63E+03,1.12E-05,2.34E-04,1.20E-03
1.64E+03,5.58E-06,2.45E-04,1.13E-03
1.65E+03,1.12E-05,3.12E-04,1.26E-03
1.66E+03,5.58E-06,1.90E-04,1.10E-03
1.67E+03,0.00E+00,2.79E-04,1.20E-03
1.68E+03,0.00E+00,2.29E-04,1.25E-03
1.69E+03,1.12E-05,2.40E-04,9.93E-04
1.70E+03,0.00E+00,2.57E-04,9.76E-04
1.71E+03,5.58E-06,1.67E-04,8.87E-04
1.72E+03,5.58E-06,1.78E-04,7.81E-04
1.73E+03,1.12E-05,1.78E-04,7.42E-04
1.74E+03,0.00E+00,1.51E-04,5.69E-04
1.75E+03,5.58E-06,2.29E-04,5.30E-04
1.76E+03,0.00E+00,1.17E-04,4.18E-04
1.77E+03,0.00E+00,2.73E-04,4.30E-04
1.78E+03,0.00E+00,1.78E-04,3.24E-04
1.79E+03,0.00E+00,1.51E-04,2.34E-04
1.80E+03,0.00E+00,1.06E-04,2.57E-04
1.81E+03,0.00E+00,1.95E-04,2.01E-04
1.82E+03,0.00E+00,9.48E-05,1.78E-04
1.83E+03,0.00E+00,9.48E-05,5.58E-05
1.84E+03,0.00E+00,6.69E-05,1.17E-04
1.85E+03,0.00E+00,3.35E-05,9.48E-05
1.86E+03,0.00E+00,4.46E-05,6.14E-05
1.87E+03,0.00E+00,5.58E-05,1.67E-05
1.88E+03,0.00E+00,5.58E-05,1.67E-05
1.90E+03,0.00E+00,5.58E-05,5.58E-06
1.91E+03,0.00E+00,1.67E-05,5.58E-06
1.92E+03,0.00E+00,5.58E-06,0.00E+00
1.93E+03,0.00E+00,1.67E-05,1.12E-05
1.94E+03,0.00E+00,5.58E-06,0.00E+00
1.95E+03,0.00E+00,0.00E+00,0.00E+00
1.96E+03,0.00E+00,0.00E+00,0.00E+00
1.97E+03,0.00E+00,0.00E+00,0.00E+00
1.98E+03,0.00E+00,0.00E+00,0.00E+00
1.99E+03,0.00E+00,0.00E+00,0.00E+00
2.00E+03,0.00E+00,0.00E+00,0.00E+00
2.01E+03,0.00E+00,0.00E+00,0.00E+00
2.02E+03,0.00E+00,0.00E+00,0.00E+00
2.03E+03,0.00E+00,0.00E+00,0.00E+00
2.04E+03,0.00E+00,0.00E+00,0.00E+00
2.05E+03,0.00E+00,0.00E+00,0.00E+00
