X(m),Z(m),600kW(Y=0),600kW(Y=0.2275),600kW(Y=0.405),750kW(Y=0),750kW(Y=0.2275),750kW(Y=0.405),900kW(Y=0),900kW(Y=0.2275),900kW(Y=0.405)
0,-0.9,87.624,99.32,99.890,169.82,160.29,142.65,281.89,215.99,171.74
0,-0.8,288.19,268.18,164.04,388.84,375.52,226.55,402.42,386.46,258.60
0.1,-0.8,287.31,265.52,266.32,315.12,329.7,362.43,352.05,336.68,369.94
0.2,-0.8,226.79,222.5,224.41,253.41,280.3,319.54,288.18,284.37,319.94
0.4,-0.8,185.59,165.56,188.60,207.93,202.55,246.41,230.77,239.38,270.30
0.6,-0.8,113.17,120.03,107.79,135.13,137.41,147.1,150.93,174.83,162.19
0.8,-0.8,102.97,112.3,106.13,127.59,140.47,148.99,150.95,174.18,172.95
0,-0.7,335.06,297.39,194.46,418.93,401.4,259.82,426.99,414.51,300.35
0,-0.6,356.15,283.06,196.32,406.04,385.04,257.06,407.38,394.35,297.71
0.1,-0.6,298.32,279.58,306.40,326.15,353.8,421.61,359.03,365.21,434.73
0.2,-0.6,299.04,292.81,293.67,386.86,377.11,411.26,402.73,395.43,438.82
0.4,-0.6,210.17,171.26,193.75,217.95,203.43,244.26,234.71,227.82,282.46
0.6,-0.6,141.51,130.58,113.52,152.95,142.71,167.08,170.03,177.13,175.86
0.8,-0.6,98.50,91.86,94.901,110.40,108.18,135.26,128.66,140.32,155.61
0,-0.5,402.59,352.23,237.64,477.99,470.47,318.38,495.03,503.74,370.21
0,-0.4,582.23,610.14,546.24,717.67,740.49,676.39,768.66,785.01,717.01
0.1,-0.4,493.93,566.36,481.49,681.50,710.97,645.74,736.72,743.19,689.87
0.2,-0.4,406.32,427.94,403.59,531.16,555.58,534.36,587.28,600.01,579.83
0.4,-0.4,291.55,325.94,280.94,435.96,460.65,443.44,492.12,519.66,484.99
0.6,-0.4,149.13,152.72,167.31,181.25,179.47,233.20,196.66,216.96,270.82
0.8,-0.4,106.75,120.29,119.40,137.07,141.19,189.88,164.17,182.49,216.08
0,-0.3,618.53,674.54,633.27,783.01,855.02,775.72,864.70,943.02,871.49
0,-0.2,733.86,842.7,839.24,912.70,1018.35,996.60,1002.8,1104.08,1092.4
0.1,-0.2,567.94,630.06,633.22,721.72,818.3,775.14,833.78,927.18,891.79
0.2,-0.2,448.09,494.66,418.31,641.52,671.7,593.33,739.02,774.85,690.84
0.3,-0.2,351.71,402.41,318.21,531.96,545.19,488.77,619.95,631.2,558.05
0.4,-0.2,267.42,310.35,217.46,452.28,479.06,384.91,542.00,553.46,450.96
0.6,-0.2,150.64,162.39,138.20,199.72,198.88,231.85,234.58,262.9,269.80
0.8,-0.2,116.24,129.63,126.23,151.24,141.62,191.17,171.78,192.18,216.10
0,-0.1,808.20,880.36,920.35,975.87,1051.27,1076.4,1071.58,1146.43,1172.7
0.4,-0.1,239.19,328.26,245.48,412.35,463.96,424.35,510.92,557.74,505.76
0,0,870.81,899.91,907.54,970.37,1050.21,1067.2,1070.52,1123.85,1164.1
0.1,0,748.60,764.95,803.64,924.64,946.72,978.55,1050.92,1085.34,1093.8
0.2,0,592.56,618.57,712.69,766.00,812.13,864.3,906.73,951.09,989.17
0.3,0,402.96,413.31,421.69,584.36,596.11,578.76,711.29,728.29,731.94
0.4,0,246.20,288.93,296.22,414.39,427.55,429.47,521.14,545.21,542.42
0.6,0,130.96,162.06,114.55,198.84,224.98,223.73,269.74,335.68,291.19
0.8,0,71.401,93.73,123.11,107.84,107.96,188.49,122.31,160.67,220.41
0,0.1,392.43,460.79,451.07,616.51,689.54,653.91,880.65,934.28,838.71
0.1,0.1,629.14,655.26,797.48,817.62,827.44,963.91,1023.93,1030.87,1098.5
0.2,0.1,634.5,642.8,727.28,819.88,834.24,901.38,972.61,992.51,1031.4
0.3,0.1,421.03,422.62,489.93,609.87,608.05,653.26,755.51,759.89,821.38
0.4,0.1,261.37,285.17,303.71,411.58,413.85,421.06,518.83,534.63,556.06
0,0.2,361.31,395.81,308.67,583.20,604.47,533.73,817.39,835.78,702.59
0.1,0.2,455.26,550.43,603.39,650.17,695.85,810.69,879.57,917.75,976.59
0.2,0.2,546.95,564.13,628.13,736.41,743.08,835.85,953.16,949.79,1002.3
0.3,0.2,429.66,427.33,492.30,612.02,599.4,661.07,780.53,770.36,844.22
0.4,0.2,284.03,288.1,314.17,434.72,418.5,440.57,563.48,556.23,595.26
0.6,0.2,104.50,179.03,181.87,217.24,242.22,279.03,292.63,340.17,345.35
0.8,0.2,55.518,78.04,98.221,87.234,93.83,156.78,108.62,151.37,195.00
0,0.3,346.4,360.03,276.57,538.50,531.81,477.18,772.79,769.16,688.09
0.1,0.3,416.94,509.26,463.40,602.09,628.01,658.92,827.19,844.48,855.70
0.2,0.3,502.74,553.09,594.38,678.25,696.81,788.63,905.92,900.64,977.23
0.3,0.3,424.01,420.26,481.52,597.21,575.5,639.13,793.22,762.52,839.85
0.4,0.3,309.09,292.1,325.80,445.54,416.12,450.20,589.19,563.18,615.56
0,0.4,343.38,352.64,252.34,513.3,480.8,418.32,744.96,707.94,623.05
0.1,0.4,402.99,483.19,384.07,573.70,585.31,563.51,795.15,793.4,765.96
0.2,0.4,417.51,470.31,482.99,597.70,599.83,659.95,821.35,805.68,884.85
0.3,0.4,414.05,404.5,448.11,560.92,539.98,595.93,757.77,717.49,793.34
0.4,0.4,295.31,276.62,305.21,430.49,392.82,427.18,579.03,540.27,589.54
0.6,0.4,123.33,145.45,146.20,223.99,216.38,220.62,297.99,313.43,308.68
0.8,0.4,54.318,83.93,65.636,112.84,134.76,129.20,181.92,228.03,190.84
0.1,0.5,379.50,422.91,322.87,529.03,513.17,483.65,742.92,712.25,689.63
0.2,0.5,411.20,442.31,413.62,570.87,566.17,577.05,783.22,759.2,794.08
0.3,0.5,377.00,373.39,394.97,519.19,492.86,527.69,717.69,667.89,735.34
0.4,0.5,288.81,252.79,246.96,418.45,386.4,367.04,587.05,548.29,530.44
0,0.6,316.25,328.51,224.56,460.44,423.88,362.61,679.23,630.5,551.16
0.1,0.6,336.21,354.11,243.73,479.92,455.87,392.62,694.80,648.32,587.12
0.2,0.6,309.86,338.15,285.19,483.03,472.67,451.32,698.56,666.62,661.04
0.3,0.6,323.49,307.48,288.31,467.65,434.75,419.91,663.12,611.42,609.38
0.4,0.6,271.53,251.95,264.85,401.33,353.48,369.01,549.60,498.22,518.64
0.6,0.6,107.68,125.79,121.07,203.88,183.07,182.07,270.73,270.87,262.78
0.8,0.6,50.2,74.59,60.626,115.40,125.43,115.01,186.74,208.76,171.17
0.2,0.7,344.75,353.94,291.98,476.54,454.74,419.96,674.24,626.07,610.92
0.3,0.7,305.51,294.4,282.62,438.96,399.2,396.14,612.88,558.48,562.63
0.4,0.7,257.47,226.89,208.72,371.78,328.59,304.18,522.29,471.87,437.13
0,0.8,250.24,242.46,198.34,375.32,335.92,320.49,569.04,509.04,480.91
0.1,0.8,343.50,342.77,271.76,444.24,409.88,380.60,633.27,571.19,541.12
0.2,0.8,319.40,308.44,236.03,430.77,402.91,348.76,615.77,562.53,508.17
