Z(m),600kW(kW/m2),750kW(kW/m2),900kW(kW/m2)
0.9,9.30,15.0,29.8
1.5,10.1,13.5,23.0
2.0,4.57,5.99,9.86
2.5,3.90,5.18,8.74
