z,T_cen_avg,T_cen_rms,U_cen_avg,U_cen_rms
0.000000e+00,1.168814e+03,3.093021e+02,2.753509e-01,2.156417e-01
1.500000e+00,1.383238e+03,3.260239e+02,6.975365e-01,3.804508e-01
3.000000e+00,1.451488e+03,3.113490e+02,1.031077e+00,4.986970e-01
4.500000e+00,1.470285e+03,3.117721e+02,1.316116e+00,5.817226e-01
6.000000e+00,1.476838e+03,3.117084e+02,1.580116e+00,6.472881e-01
7.500000e+00,1.481703e+03,3.183251e+02,1.815398e+00,6.936450e-01
9.000000e+00,1.486847e+03,3.239576e+02,2.025445e+00,7.550126e-01
1.050000e+01,1.482965e+03,3.287900e+02,2.230916e+00,8.214136e-01
1.200000e+01,1.469783e+03,3.325646e+02,2.405338e+00,8.992623e-01
1.350000e+01,1.447613e+03,3.354300e+02,2.561734e+00,9.895406e-01
1.500000e+01,1.422033e+03,3.404187e+02,2.693425e+00,1.064601e+00
1.650000e+01,1.398766e+03,3.421215e+02,2.784335e+00,1.118869e+00
1.800000e+01,1.373246e+03,3.453238e+02,2.848300e+00,1.132521e+00
1.950000e+01,1.346362e+03,3.547380e+02,2.899563e+00,1.180446e+00
2.100000e+01,1.309022e+03,3.521011e+02,2.958577e+00,1.165026e+00
2.250000e+01,1.269591e+03,3.553830e+02,3.017762e+00,1.233605e+00
2.400000e+01,1.226646e+03,3.579453e+02,3.077234e+00,1.354068e+00
2.550000e+01,1.180436e+03,3.574536e+02,3.072823e+00,1.352953e+00
2.700000e+01,1.133022e+03,3.625435e+02,3.043065e+00,1.388366e+00
2.850000e+01,1.086528e+03,3.518685e+02,3.005945e+00,1.323124e+00
3.000000e+01,1.040285e+03,3.427702e+02,2.975160e+00,1.333750e+00
3.150000e+01,9.944123e+02,3.325082e+02,2.953570e+00,1.384705e+00
3.300000e+01,9.500613e+02,3.233190e+02,2.925838e+00,1.406564e+00
3.450000e+01,9.064527e+02,3.206769e+02,2.896254e+00,1.477638e+00
3.600000e+01,8.652134e+02,3.077122e+02,2.868787e+00,1.416156e+00
3.750000e+01,8.279878e+02,2.990556e+02,2.833457e+00,1.411205e+00
3.900000e+01,7.961658e+02,2.905392e+02,2.787575e+00,1.423446e+00
4.050000e+01,7.672050e+02,2.799009e+02,2.741348e+00,1.382479e+00
4.200000e+01,7.394929e+02,2.720950e+02,2.695097e+00,1.415171e+00
4.350000e+01,7.150893e+02,2.585739e+02,2.649657e+00,1.362751e+00
4.500000e+01,6.910254e+02,2.461666e+02,2.623307e+00,1.376566e+00
4.650000e+01,6.674072e+02,2.346179e+02,2.622166e+00,1.400400e+00
4.800000e+01,6.460633e+02,2.205325e+02,2.596755e+00,1.326296e+00
4.950000e+01,6.257474e+02,2.104592e+02,2.562171e+00,1.292485e+00
5.100000e+01,6.085429e+02,1.920389e+02,2.511690e+00,1.215529e+00
5.250000e+01,5.923112e+02,1.784445e+02,2.472304e+00,1.219701e+00
5.400000e+01,5.774201e+02,1.683321e+02,2.448257e+00,1.220838e+00
5.550000e+01,5.654944e+02,1.633273e+02,2.452411e+00,1.176370e+00
5.700000e+01,5.548695e+02,1.637306e+02,2.464698e+00,1.190079e+00
5.850000e+01,5.481018e+02,1.566247e+02,2.458120e+00,1.142541e+00
6.000000e+01,5.413514e+02,1.503326e+02,2.438427e+00,1.118792e+00
6.150000e+01,5.346293e+02,1.410717e+02,2.398565e+00,1.044899e+00
6.300000e+01,5.258915e+02,1.300421e+02,2.339631e+00,9.532894e-01
6.450000e+01,5.163180e+02,1.235918e+02,2.274442e+00,9.212978e-01
6.600000e+01,5.058024e+02,1.161131e+02,2.245537e+00,9.014443e-01
6.750000e+01,4.950420e+02,1.124323e+02,2.227388e+00,9.413573e-01
6.900000e+01,4.838348e+02,1.085133e+02,2.228956e+00,9.670601e-01
7.050000e+01,4.740880e+02,1.049269e+02,2.221976e+00,9.692958e-01
7.200000e+01,4.650608e+02,1.035786e+02,2.210793e+00,1.003363e+00
7.350000e+01,4.589622e+02,9.689589e+01,2.177261e+00,9.284450e-01
7.500000e+01,4.534318e+02,9.211482e+01,2.152877e+00,9.087744e-01
7.650000e+01,4.491338e+02,8.676469e+01,2.150984e+00,9.089847e-01
7.800000e+01,4.458488e+02,8.271932e+01,2.165741e+00,9.085111e-01
7.950000e+01,4.432164e+02,8.120245e+01,2.191224e+00,9.333509e-01
8.100000e+01,4.412307e+02,7.901250e+01,2.190390e+00,8.704783e-01
8.250000e+01,4.392398e+02,7.876839e+01,2.181274e+00,8.534018e-01
8.400000e+01,4.370309e+02,7.681361e+01,2.151803e+00,8.341342e-01
8.550000e+01,4.343038e+02,7.531013e+01,2.122270e+00,8.324933e-01
8.700000e+01,4.311207e+02,7.512125e+01,2.092685e+00,8.475690e-01
8.850000e+01,4.274025e+02,7.327501e+01,2.056850e+00,8.164700e-01
9.000000e+01,4.235410e+02,7.254087e+01,2.026479e+00,8.131711e-01
9.150000e+01,4.194406e+02,6.818924e+01,2.037452e+00,7.388152e-01
9.300000e+01,4.155871e+02,6.443027e+01,2.038669e+00,7.121755e-01
