r,T_03_avg,T_03_rms,T_30_avg,T_30_rms,T_41_avg,T_41_rms,T_51_avg,T_51_rms,T_61_avg,T_61_rms
0.000000e+00,1.464695e+03,3.109158e+02,1.015820e+03,3.350707e+02,7.578467e+02,2.768423e+02,6.085429e+02,1.920389e+02,5.368697e+02,1.434645e+02
6.000000e-01,1.459943e+03,2.671623e+02,9.953566e+02,3.163130e+02,7.487227e+02,2.612980e+02,6.044895e+02,1.831077e+02,5.333950e+02,1.375404e+02
1.200000e+00,1.455191e+03,2.648073e+02,9.748945e+02,3.125436e+02,7.395965e+02,2.541883e+02,6.004363e+02,1.793807e+02,5.299203e+02,1.348426e+02
1.800000e+00,1.450440e+03,3.048032e+02,9.544300e+02,3.242868e+02,7.304718e+02,2.562235e+02,5.963828e+02,1.811765e+02,5.264453e+02,1.355643e+02
2.400000e+00,1.439615e+03,3.294782e+02,9.229975e+02,3.249221e+02,7.145341e+02,2.509643e+02,5.882218e+02,1.778477e+02,5.205735e+02,1.330041e+02
3.000000e+00,1.420278e+03,3.228017e+02,8.797790e+02,3.101058e+02,6.923896e+02,2.379674e+02,5.768778e+02,1.707784e+02,5.131272e+02,1.291564e+02
3.600000e+00,1.400942e+03,3.511515e+02,8.365625e+02,3.075445e+02,6.702449e+02,2.324212e+02,5.655338e+02,1.683054e+02,5.056810e+02,1.285578e+02
4.200000e+00,1.381608e+03,4.072789e+02,7.933451e+02,3.175322e+02,6.479513e+02,2.337819e+02,5.539472e+02,1.689125e+02,4.980316e+02,1.292525e+02
4.800000e+00,1.334708e+03,4.013265e+02,7.489209e+02,2.969487e+02,6.225975e+02,2.191843e+02,5.406943e+02,1.614385e+02,4.896030e+02,1.249015e+02
5.400000e+00,1.282296e+03,4.065916e+02,7.044514e+02,2.821762e+02,5.972447e+02,2.096613e+02,5.274407e+02,1.571934e+02,4.811742e+02,1.229125e+02
6.000000e+00,1.229886e+03,4.390757e+02,6.599808e+02,2.758607e+02,5.718917e+02,2.059124e+02,5.141872e+02,1.564418e+02,4.727455e+02,1.234000e+02
6.600000e+00,1.178285e+03,4.697845e+02,6.205570e+02,2.660650e+02,5.490665e+02,1.982268e+02,5.011920e+02,1.508872e+02,4.644001e+02,1.198719e+02
7.200000e+00,1.129119e+03,4.534247e+02,5.873875e+02,2.461464e+02,5.281520e+02,1.873265e+02,4.883126e+02,1.447351e+02,4.560738e+02,1.167500e+02
7.800000e+00,1.079953e+03,4.658868e+02,5.542190e+02,2.310454e+02,5.072376e+02,1.808974e+02,4.754331e+02,1.420169e+02,4.477472e+02,1.156276e+02
8.400000e+00,1.030784e+03,5.050346e+02,5.210500e+02,2.217436e+02,4.869368e+02,1.783809e+02,4.629428e+02,1.401167e+02,4.395675e+02,1.133623e+02
9.000000e+00,9.730856e+02,4.969490e+02,4.982496e+02,2.035032e+02,4.726405e+02,1.693571e+02,4.515994e+02,1.329226e+02,4.315946e+02,1.085095e+02
9.600000e+00,9.111195e+02,4.776411e+02,4.762455e+02,1.876283e+02,4.583445e+02,1.630686e+02,4.402558e+02,1.286121e+02,4.236216e+02,1.057434e+02
1.020000e+01,8.491517e+02,4.845169e+02,4.542419e+02,1.761001e+02,4.440485e+02,1.598374e+02,4.289120e+02,1.274793e+02,4.156539e+02,1.050967e+02
1.080000e+01,7.863397e+02,5.069579e+02,4.346671e+02,1.644661e+02,4.306383e+02,1.522337e+02,4.185826e+02,1.215050e+02,4.079610e+02,9.917681e+01
