r,T_03_avg,T_03_rms,T_30_avg,T_30_rms,T_41_avg,T_41_rms,T_51_avg,T_51_rms,T_61_avg,T_61_rms
0.000000e+00,1.323815e+03,3.605047e+02,7.242664e+02,3.197030e+02,6.170483e+02,2.502224e+02,5.126147e+02,1.515207e+02,4.691990e+02,1.193766e+02
6.000000e-01,1.331236e+03,3.416918e+02,7.297053e+02,3.139737e+02,6.131990e+02,2.428252e+02,5.128749e+02,1.515042e+02,4.679613e+02,1.175744e+02
1.200000e+00,1.338228e+03,3.520393e+02,7.328231e+02,3.198371e+02,6.070946e+02,2.390918e+02,5.124086e+02,1.540903e+02,4.664039e+02,1.169185e+02
1.800000e+00,1.344340e+03,3.447849e+02,7.314571e+02,3.234803e+02,5.967450e+02,2.319342e+02,5.106077e+02,1.553736e+02,4.642751e+02,1.159778e+02
2.400000e+00,1.347230e+03,3.313529e+02,7.197310e+02,3.209588e+02,5.846654e+02,2.235554e+02,5.068179e+02,1.543600e+02,4.625146e+02,1.158908e+02
3.000000e+00,1.348430e+03,3.568120e+02,7.029437e+02,3.301759e+02,5.718216e+02,2.214169e+02,5.020213e+02,1.555899e+02,4.607366e+02,1.183855e+02
3.600000e+00,1.337963e+03,3.514771e+02,6.763414e+02,3.191756e+02,5.589833e+02,2.129030e+02,4.943791e+02,1.484050e+02,4.569375e+02,1.158003e+02
4.200000e+00,1.321095e+03,3.869139e+02,6.493622e+02,3.172109e+02,5.469891e+02,2.119462e+02,4.864908e+02,1.436560e+02,4.525436e+02,1.143915e+02
4.800000e+00,1.290489e+03,4.132700e+02,6.217259e+02,3.106610e+02,5.363281e+02,2.120183e+02,4.782477e+02,1.394954e+02,4.473687e+02,1.122160e+02
5.400000e+00,1.248954e+03,4.292184e+02,5.984777e+02,2.980335e+02,5.238183e+02,2.063754e+02,4.706034e+02,1.359523e+02,4.421208e+02,1.086789e+02
6.000000e+00,1.201245e+03,4.709077e+02,5.771248e+02,2.890327e+02,5.105951e+02,2.021695e+02,4.630791e+02,1.351358e+02,4.368567e+02,1.073578e+02
6.600000e+00,1.154032e+03,4.579746e+02,5.570829e+02,2.693154e+02,4.968743e+02,1.891611e+02,4.550425e+02,1.297269e+02,4.316130e+02,1.044402e+02
7.200000e+00,1.105745e+03,4.772427e+02,5.382579e+02,2.563701e+02,4.837577e+02,1.785123e+02,4.464456e+02,1.249722e+02,4.261661e+02,1.019213e+02
7.800000e+00,1.054844e+03,4.855064e+02,5.213598e+02,2.432530e+02,4.714488e+02,1.689081e+02,4.372108e+02,1.205245e+02,4.205219e+02,1.004427e+02
8.400000e+00,1.007584e+03,4.885720e+02,5.052374e+02,2.269899e+02,4.595862e+02,1.574115e+02,4.288953e+02,1.150118e+02,4.153883e+02,9.875024e+01
9.000000e+00,9.625368e+02,5.179211e+02,4.897747e+02,2.185987e+02,4.479724e+02,1.509056e+02,4.208689e+02,1.122520e+02,4.103817e+02,9.839836e+01
9.600000e+00,9.124828e+02,4.982883e+02,4.792646e+02,2.114290e+02,4.372148e+02,1.418907e+02,4.132615e+02,1.066054e+02,4.055391e+02,9.543456e+01
1.020000e+01,8.599563e+02,5.121539e+02,4.696724e+02,2.083910e+02,4.272833e+02,1.370710e+02,4.061525e+02,1.030245e+02,4.007152e+02,9.263294e+01
