Time (s),HRR (kW)
2.75E-03,0.00E+00
3.03E-01,2.80E+00
6.03E-01,3.32E+00
9.03E-01,5.51E+00
1.18E+00,5.24E+00
1.45E+00,4.99E+00
1.74E+00,4.63E+00
2.04E+00,4.40E+00
2.34E+00,4.62E+00
2.62E+00,4.57E+00
2.92E+00,4.92E+00
3.22E+00,5.10E+00
3.52E+00,5.99E+00
3.80E+00,6.78E+00
4.07E+00,7.71E+00
4.33E+00,8.51E+00
4.55E+00,9.11E+00
4.82E+00,9.23E+00
5.06E+00,9.32E+00
5.32E+00,1.04E+01
5.58E+00,1.14E+01
5.87E+00,1.13E+01
6.11E+00,1.12E+01
6.40E+00,1.11E+01
6.65E+00,1.16E+01
6.91E+00,1.23E+01
7.18E+00,1.35E+01
7.43E+00,1.35E+01
7.70E+00,1.32E+01
7.98E+00,1.55E+01
8.24E+00,1.49E+01
8.50E+00,1.36E+01
8.77E+00,1.39E+01
9.00E+00,1.36E+01
9.27E+00,1.35E+01
9.52E+00,1.40E+01
9.77E+00,1.31E+01
1.00E+01,1.37E+01
1.03E+01,1.44E+01
1.06E+01,1.44E+01
1.09E+01,1.45E+01
1.11E+01,1.44E+01
1.14E+01,1.50E+01
1.16E+01,1.54E+01
1.19E+01,1.62E+01
1.21E+01,1.64E+01
1.24E+01,1.70E+01
1.26E+01,1.66E+01
1.29E+01,1.62E+01
1.31E+01,1.52E+01
1.34E+01,1.56E+01
1.36E+01,1.43E+01
1.39E+01,1.48E+01
1.41E+01,1.60E+01
1.43E+01,1.60E+01
1.46E+01,1.58E+01
1.49E+01,1.59E+01
1.51E+01,1.59E+01
1.54E+01,1.56E+01
1.56E+01,1.59E+01
1.59E+01,1.64E+01
1.61E+01,1.63E+01
1.64E+01,1.63E+01
1.66E+01,1.68E+01
1.68E+01,1.65E+01
1.71E+01,1.69E+01
1.73E+01,1.66E+01
1.76E+01,1.58E+01
1.78E+01,1.62E+01
1.81E+01,1.63E+01
1.83E+01,1.61E+01
1.86E+01,1.69E+01
1.88E+01,1.66E+01
1.91E+01,1.64E+01
1.93E+01,1.73E+01
1.96E+01,1.74E+01
1.98E+01,1.71E+01
2.01E+01,1.67E+01
2.04E+01,1.64E+01
2.06E+01,1.63E+01
2.09E+01,1.64E+01
2.11E+01,1.63E+01
2.14E+01,1.66E+01
2.17E+01,1.67E+01
2.19E+01,1.67E+01
2.22E+01,1.67E+01
2.24E+01,1.66E+01
2.27E+01,1.72E+01
2.29E+01,1.75E+01
2.31E+01,1.68E+01
2.34E+01,1.72E+01
2.36E+01,1.84E+01
2.39E+01,1.73E+01
2.41E+01,1.69E+01
2.43E+01,1.75E+01
2.46E+01,1.69E+01
2.48E+01,1.59E+01
2.51E+01,1.76E+01
2.54E+01,1.82E+01
2.56E+01,1.75E+01
2.59E+01,1.69E+01
2.61E+01,1.70E+01
2.64E+01,1.69E+01
2.66E+01,1.72E+01
2.69E+01,1.83E+01
2.72E+01,1.81E+01
2.74E+01,1.75E+01
2.77E+01,1.78E+01
2.79E+01,1.72E+01
2.82E+01,1.67E+01
2.84E+01,1.76E+01
2.86E+01,1.71E+01
2.89E+01,1.70E+01
2.91E+01,1.71E+01
2.94E+01,1.75E+01
2.96E+01,1.84E+01
2.99E+01,1.81E+01
3.01E+01,1.83E+01
3.04E+01,1.79E+01
3.06E+01,1.88E+01
3.09E+01,1.81E+01
3.11E+01,1.75E+01
3.14E+01,1.78E+01
3.16E+01,1.77E+01
3.19E+01,1.70E+01
3.21E+01,1.81E+01
3.24E+01,1.85E+01
3.26E+01,1.81E+01
3.29E+01,1.78E+01
3.31E+01,1.72E+01
3.34E+01,1.76E+01
3.36E+01,1.78E+01
3.39E+01,1.89E+01
3.41E+01,1.88E+01
3.44E+01,1.85E+01
3.46E+01,1.82E+01
3.49E+01,2.01E+01
3.51E+01,1.87E+01
3.54E+01,1.88E+01
3.56E+01,1.92E+01
3.59E+01,1.84E+01
3.61E+01,1.72E+01
3.64E+01,1.83E+01
3.67E+01,1.89E+01
3.69E+01,1.85E+01
3.72E+01,1.76E+01
3.74E+01,1.77E+01
3.77E+01,1.78E+01
3.79E+01,1.79E+01
3.82E+01,1.79E+01
3.84E+01,1.78E+01
3.87E+01,1.78E+01
3.89E+01,1.80E+01
3.92E+01,1.78E+01
3.94E+01,1.84E+01
3.97E+01,1.99E+01
3.99E+01,1.92E+01
4.02E+01,1.85E+01
4.04E+01,1.81E+01
4.07E+01,1.74E+01
4.09E+01,1.73E+01
4.12E+01,1.83E+01
4.14E+01,1.79E+01
4.17E+01,1.86E+01
4.20E+01,1.80E+01
4.22E+01,1.80E+01
4.24E+01,1.80E+01
4.27E+01,1.91E+01
4.29E+01,1.85E+01
4.32E+01,1.94E+01
4.34E+01,1.91E+01
4.37E+01,1.85E+01
4.39E+01,1.80E+01
4.42E+01,1.79E+01
4.44E+01,1.80E+01
4.47E+01,1.88E+01
4.49E+01,1.92E+01
4.52E+01,1.93E+01
4.54E+01,1.91E+01
4.57E+01,1.86E+01
4.59E+01,1.84E+01
4.62E+01,1.80E+01
4.65E+01,1.85E+01
4.67E+01,1.86E+01
4.70E+01,1.87E+01
4.72E+01,1.82E+01
4.75E+01,1.84E+01
4.77E+01,1.83E+01
4.80E+01,1.74E+01
4.82E+01,1.78E+01
4.85E+01,1.79E+01
4.87E+01,1.85E+01
4.90E+01,1.95E+01
4.92E+01,1.82E+01
4.95E+01,1.84E+01
4.97E+01,1.85E+01
4.99E+01,1.73E+01
5.02E+01,1.73E+01
5.04E+01,1.92E+01
5.07E+01,1.86E+01
5.09E+01,1.81E+01
5.12E+01,1.91E+01
5.14E+01,1.86E+01
5.17E+01,1.76E+01
5.20E+01,1.88E+01
5.22E+01,1.92E+01
5.25E+01,1.90E+01
5.27E+01,1.95E+01
5.29E+01,1.94E+01
5.32E+01,1.89E+01
5.34E+01,1.93E+01
5.37E+01,1.82E+01
5.40E+01,1.81E+01
5.42E+01,1.84E+01
5.45E+01,1.88E+01
5.47E+01,1.88E+01
5.50E+01,1.87E+01
5.52E+01,1.94E+01
5.55E+01,1.88E+01
5.57E+01,1.93E+01
5.60E+01,1.92E+01
5.63E+01,1.98E+01
5.65E+01,2.01E+01
5.68E+01,1.94E+01
5.70E+01,1.82E+01
5.72E+01,1.88E+01
5.75E+01,1.88E+01
5.78E+01,1.85E+01
5.80E+01,1.84E+01
5.83E+01,1.90E+01
5.85E+01,1.92E+01
5.88E+01,1.78E+01
5.90E+01,1.83E+01
5.93E+01,1.82E+01
5.95E+01,1.74E+01
5.98E+01,1.82E+01
6.00E+01,1.87E+01
6.03E+01,1.94E+01
6.05E+01,1.95E+01
6.08E+01,1.89E+01
6.11E+01,1.82E+01
6.13E+01,1.85E+01
6.16E+01,1.80E+01
6.18E+01,1.96E+01
6.21E+01,1.95E+01
6.23E+01,1.86E+01
6.26E+01,1.86E+01
6.28E+01,1.82E+01
6.30E+01,1.75E+01
6.33E+01,1.87E+01
6.36E+01,1.95E+01
6.38E+01,1.91E+01
6.41E+01,1.90E+01
6.43E+01,1.92E+01
6.46E+01,1.93E+01
6.48E+01,1.83E+01
6.50E+01,1.80E+01
6.53E+01,1.87E+01
6.55E+01,1.89E+01
6.58E+01,1.83E+01
6.60E+01,1.85E+01
6.63E+01,1.86E+01
6.66E+01,1.86E+01
6.68E+01,1.84E+01
6.71E+01,1.89E+01
6.73E+01,1.93E+01
6.76E+01,1.94E+01
6.78E+01,1.86E+01
6.81E+01,1.94E+01
6.83E+01,1.90E+01
6.86E+01,1.85E+01
6.88E+01,1.83E+01
6.91E+01,1.96E+01
6.93E+01,1.85E+01
6.95E+01,1.91E+01
6.98E+01,1.90E+01
7.00E+01,1.83E+01
7.03E+01,1.80E+01
7.05E+01,1.84E+01
7.08E+01,1.84E+01
7.10E+01,1.91E+01
7.13E+01,2.03E+01
7.15E+01,1.94E+01
7.18E+01,1.94E+01
7.20E+01,1.89E+01
7.23E+01,1.79E+01
7.25E+01,1.81E+01
7.28E+01,1.83E+01
7.30E+01,1.85E+01
7.33E+01,1.95E+01
7.35E+01,1.89E+01
7.38E+01,1.90E+01
7.40E+01,2.06E+01
7.43E+01,1.87E+01
7.46E+01,1.89E+01
7.48E+01,1.96E+01
7.50E+01,1.83E+01
7.53E+01,1.76E+01
7.55E+01,2.01E+01
7.58E+01,2.02E+01
7.60E+01,1.95E+01
7.63E+01,1.99E+01
7.65E+01,1.88E+01
7.68E+01,1.69E+01
7.71E+01,1.82E+01
7.73E+01,1.89E+01
7.76E+01,1.83E+01
7.79E+01,1.90E+01
7.81E+01,1.92E+01
7.84E+01,1.84E+01
7.87E+01,1.91E+01
7.90E+01,1.95E+01
7.92E+01,1.94E+01
7.95E+01,1.98E+01
7.98E+01,2.00E+01
8.00E+01,1.92E+01
8.03E+01,1.91E+01
8.06E+01,1.94E+01
8.09E+01,1.97E+01
8.11E+01,1.94E+01
8.14E+01,1.85E+01
8.17E+01,1.95E+01
8.19E+01,1.88E+01
8.22E+01,1.85E+01
8.25E+01,1.83E+01
8.27E+01,1.91E+01
8.30E+01,1.85E+01
8.34E+01,1.87E+01
8.37E+01,1.93E+01
8.41E+01,1.98E+01
8.44E+01,1.92E+01
8.48E+01,1.88E+01
8.51E+01,1.92E+01
8.54E+01,1.95E+01
8.58E+01,1.81E+01
8.62E+01,1.89E+01
8.65E+01,1.94E+01
8.68E+01,1.84E+01
8.72E+01,1.79E+01
8.75E+01,1.88E+01
8.79E+01,1.83E+01
