edges of bins (ppm),center of bins (ppm),pdf 2.5D 20.9% OI 0cm,pdf 2.5D 20.9% OI 1cm,pdf 2.5D 20.9% OI 2cm,pdf 2.5D 20.9% OI 3cm,pdf 2.5D 20.9% OI 4cm,pdf 2.5D 20.9% OI 5cm,pdf 2.5D 20.9% OI 6cm,pdf 2.5D 20.9% OI 7cm,pdf 2.5D 20.9% OI 8cm,pdf 2.5D 20.9% OI 9cm,pdf 2.5D 20.9% OI 10cm,pdf 2.5D 20.9% OI 11cm,pdf 2.5D 20.9% OI 12cm,pdf 2.5D 20.9% OI 13cm,pdf 2.5D 20.9% OI 14cm,pdf 2.5D 20.9% OI 15cm
0.0000,0.0820,8.2499,8.4530,8.7560,9.1027,9.4773,9.7662,10.0339,10.3411,10.5117,10.6390,10.7723,10.8690,10.9789,11.0518,11.0914,11.0986
0.1641,0.1823,1.3850,1.3405,1.1827,1.0803,0.9072,0.7744,0.6242,0.4881,0.3753,0.2838,0.2137,0.1442,0.0805,0.0364,0.0158,0.0075
0.2005,0.2188,0.9124,0.8565,0.7729,0.6964,0.6003,0.5128,0.4278,0.3340,0.2640,0.2113,0.1608,0.1067,0.0638,0.0273,0.0108,0.0061
0.2370,0.2552,0.6677,0.6076,0.5315,0.4949,0.4379,0.3674,0.3244,0.2555,0.2001,0.1664,0.1276,0.0894,0.0500,0.0217,0.0084,0.0055
0.2734,0.2917,0.4624,0.4448,0.4037,0.3605,0.3403,0.2933,0.2688,0.2044,0.1577,0.1392,0.1030,0.0778,0.0412,0.0175,0.0060,0.0044
0.3099,0.3281,0.3690,0.3536,0.3229,0.2975,0.2783,0.2418,0.2194,0.1683,0.1326,0.1136,0.0919,0.0642,0.0351,0.0147,0.0048,0.0031
0.3464,0.3646,0.3200,0.2938,0.2753,0.2494,0.2340,0.2076,0.1867,0.1427,0.1134,0.0948,0.0769,0.0542,0.0283,0.0108,0.0040,0.0025
0.3828,0.4011,0.2796,0.2608,0.2413,0.2241,0.2071,0.1787,0.1687,0.1198,0.1007,0.0819,0.0669,0.0467,0.0236,0.0104,0.0035,0.0020
0.4193,0.4375,0.2508,0.2271,0.2174,0.1991,0.1825,0.1666,0.1491,0.1051,0.0844,0.0684,0.0564,0.0432,0.0205,0.0090,0.0029,0.0014
0.4557,0.4740,0.2341,0.2050,0.1953,0.1828,0.1610,0.1553,0.1328,0.0924,0.0767,0.0575,0.0487,0.0352,0.0176,0.0072,0.0021,0.0018
0.4922,0.5104,0.2183,0.1911,0.1819,0.1633,0.1446,0.1377,0.1158,0.0795,0.0673,0.0521,0.0443,0.0308,0.0155,0.0060,0.0026,0.0014
0.5287,0.5469,0.2129,0.1782,0.1681,0.1529,0.1345,0.1268,0.1021,0.0687,0.0600,0.0472,0.0369,0.0279,0.0129,0.0051,0.0017,0.0011
0.5651,0.5834,0.1864,0.1651,0.1551,0.1392,0.1174,0.1107,0.0880,0.0601,0.0523,0.0404,0.0332,0.0234,0.0135,0.0049,0.0020,0.0009
0.6016,0.6198,0.1749,0.1618,0.1471,0.1321,0.1109,0.1003,0.0824,0.0556,0.0471,0.0355,0.0292,0.0215,0.0114,0.0045,0.0013,0.0008
0.6380,0.6563,0.1698,0.1483,0.1371,0.1214,0.1041,0.0921,0.0740,0.0485,0.0430,0.0323,0.0272,0.0196,0.0097,0.0036,0.0013,0.0009
0.6745,0.6927,0.1645,0.1380,0.1304,0.1159,0.0925,0.0871,0.0668,0.0475,0.0370,0.0285,0.0218,0.0157,0.0091,0.0032,0.0014,0.0006
0.7110,0.7292,0.1605,0.1383,0.1237,0.1076,0.0884,0.0790,0.0608,0.0409,0.0362,0.0278,0.0206,0.0147,0.0082,0.0032,0.0016,0.0003
0.7474,0.7657,0.1509,0.1288,0.1169,0.1007,0.0808,0.0715,0.0569,0.0389,0.0329,0.0244,0.0176,0.0132,0.0076,0.0030,0.0009,0.0004
0.7839,0.8021,0.1504,0.1283,0.1037,0.0948,0.0721,0.0682,0.0500,0.0348,0.0300,0.0227,0.0167,0.0121,0.0074,0.0030,0.0010,0.0004
0.8204,0.8386,0.1378,0.1210,0.1010,0.0940,0.0671,0.0634,0.0481,0.0326,0.0281,0.0217,0.0159,0.0135,0.0066,0.0020,0.0009,0.0004
0.8568,0.8750,0.1353,0.1187,0.0974,0.0871,0.0656,0.0585,0.0447,0.0303,0.0265,0.0210,0.0129,0.0110,0.0061,0.0023,0.0007,0.0005
0.8933,0.9115,0.1326,0.1118,0.0909,0.0819,0.0609,0.0570,0.0416,0.0270,0.0243,0.0185,0.0138,0.0105,0.0057,0.0025,0.0007,0.0005
0.9297,0.9480,0.1274,0.1083,0.0873,0.0814,0.0580,0.0526,0.0379,0.0263,0.0223,0.0186,0.0119,0.0102,0.0044,0.0020,0.0008,0.0004
0.9662,0.9844,0.1208,0.1061,0.0824,0.0752,0.0564,0.0486,0.0378,0.0250,0.0193,0.0168,0.0104,0.0088,0.0043,0.0021,0.0006,0.0003
1.0027,1.0209,0.1227,0.1023,0.0859,0.0732,0.0531,0.0464,0.0341,0.0225,0.0195,0.0150,0.0108,0.0089,0.0040,0.0018,0.0007,0.0003
1.0391,1.0573,0.1181,0.1009,0.0804,0.0669,0.0508,0.0458,0.0310,0.0229,0.0192,0.0141,0.0082,0.0079,0.0049,0.0016,0.0006,0.0005
1.0756,1.0938,0.1144,0.0990,0.0776,0.0647,0.0491,0.0417,0.0321,0.0211,0.0181,0.0123,0.0083,0.0069,0.0039,0.0015,0.0003,0.0002
1.1120,1.1303,0.1066,0.0944,0.0746,0.0640,0.0452,0.0411,0.0298,0.0199,0.0173,0.0131,0.0081,0.0066,0.0033,0.0012,0.0005,0.0001
1.1485,1.1667,0.1066,0.0947,0.0712,0.0636,0.0442,0.0375,0.0278,0.0204,0.0161,0.0125,0.0074,0.0065,0.0034,0.0011,0.0004,0.0003
1.1849,1.2032,0.1043,0.0943,0.0687,0.0587,0.0458,0.0364,0.0263,0.0188,0.0157,0.0114,0.0060,0.0066,0.0030,0.0014,0.0005,0.0002
1.2214,1.2396,0.1040,0.0927,0.0708,0.0569,0.0410,0.0346,0.0260,0.0167,0.0140,0.0098,0.0065,0.0054,0.0027,0.0015,0.0003,0.0002
1.2579,1.2761,0.1020,0.0903,0.0688,0.0544,0.0393,0.0333,0.0245,0.0160,0.0147,0.0099,0.0063,0.0059,0.0024,0.0014,0.0003,0.0003
1.2943,1.3126,0.1014,0.0884,0.0673,0.0542,0.0397,0.0341,0.0232,0.0160,0.0124,0.0097,0.0057,0.0053,0.0030,0.0011,0.0004,0.0001
1.3308,1.3490,0.0986,0.0817,0.0665,0.0523,0.0395,0.0315,0.0203,0.0158,0.0135,0.0090,0.0049,0.0045,0.0024,0.0011,0.0002,0.0001
1.3672,1.3855,0.0943,0.0830,0.0629,0.0526,0.0393,0.0299,0.0223,0.0156,0.0127,0.0084,0.0053,0.0039,0.0023,0.0012,0.0003,0.0002
1.4037,1.4219,0.0938,0.0814,0.0637,0.0503,0.0380,0.0302,0.0200,0.0146,0.0119,0.0082,0.0050,0.0046,0.0020,0.0010,0.0003,0.0001
1.4402,1.4584,0.0884,0.0804,0.0624,0.0483,0.0377,0.0297,0.0205,0.0137,0.0116,0.0074,0.0047,0.0039,0.0026,0.0007,0.0003,0.0003
1.4766,1.4949,0.0908,0.0810,0.0607,0.0476,0.0370,0.0291,0.0196,0.0136,0.0110,0.0081,0.0052,0.0035,0.0022,0.0010,0.0003,0.0001
1.5131,1.5313,0.0871,0.0772,0.0582,0.0458,0.0342,0.0279,0.0186,0.0114,0.0104,0.0078,0.0049,0.0039,0.0020,0.0009,0.0002,0.0002
1.5495,1.5678,0.0858,0.0785,0.0600,0.0488,0.0363,0.0245,0.0159,0.0122,0.0100,0.0084,0.0043,0.0033,0.0020,0.0011,0.0002,0.0003
1.5860,1.6042,0.0865,0.0759,0.0572,0.0430,0.0359,0.0261,0.0161,0.0123,0.0102,0.0077,0.0044,0.0037,0.0016,0.0009,0.0002,0.0002
