cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
distance from center,15.2_OI_0.5D,15.2_OI_1.0D,15.2_OI_1.5D,15.2_OI_2.5D,15.2_OI_3.5D,16.8_OI_0.5D,16.8_OI_1.0D,16.8_OI_1.5D,16.8_OI_2.5D,16.8_OI_3.5D,20.9_OI_0.5D,20.9_OI_1.0D,20.9_OI_1.5D,20.9_OI_2.5D,20.9_OI_3.5D
-21.9560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-21.9120,0.0091,0.0098,0.0109,0.0097,0.0124,0.0088,0.0104,0.0118,0.0108,0.0157,0.0120,0.0120,0.0140,0.0129,0.0135
-21.8680,0.0093,0.0100,0.0104,0.0100,0.0117,0.0089,0.0106,0.0111,0.0113,0.0151,0.0122,0.0122,0.0133,0.0135,0.0128
-21.8240,0.0091,0.0098,0.0104,0.0100,0.0115,0.0088,0.0104,0.0113,0.0113,0.0149,0.0118,0.0118,0.0133,0.0133,0.0131
-21.7800,0.0088,0.0100,0.0111,0.0097,0.0117,0.0084,0.0106,0.0120,0.0109,0.0151,0.0113,0.0122,0.0142,0.0128,0.0126
-21.7360,0.0088,0.0102,0.0109,0.0102,0.0117,0.0086,0.0108,0.0118,0.0115,0.0149,0.0117,0.0122,0.0140,0.0137,0.0128
-21.6920,0.0100,0.0100,0.0111,0.0098,0.0120,0.0097,0.0106,0.0120,0.0109,0.0153,0.0133,0.0122,0.0140,0.0131,0.0129
-21.6480,0.0098,0.0098,0.0106,0.0104,0.0120,0.0093,0.0102,0.0113,0.0117,0.0151,0.0129,0.0118,0.0135,0.0139,0.0128
-21.6040,0.0091,0.0102,0.0104,0.0100,0.0122,0.0088,0.0108,0.0111,0.0113,0.0157,0.0120,0.0124,0.0133,0.0135,0.0133
-21.5600,0.0091,0.0098,0.0108,0.0100,0.0126,0.0088,0.0104,0.0117,0.0113,0.0157,0.0120,0.0120,0.0139,0.0135,0.0120
-21.5160,0.0089,0.0104,0.0108,0.0100,0.0118,0.0086,0.0108,0.0117,0.0113,0.0149,0.0117,0.0126,0.0139,0.0135,0.0126
-21.4720,0.0089,0.0117,0.0108,0.0106,0.0129,0.0086,0.0120,0.0117,0.0118,0.0162,0.0117,0.0140,0.0137,0.0140,0.0122
-21.4280,0.0091,0.0100,0.0111,0.0095,0.0128,0.0088,0.0106,0.0120,0.0108,0.0155,0.0118,0.0122,0.0142,0.0128,0.0135
-21.3840,0.0095,0.0102,0.0108,0.0098,0.0124,0.0091,0.0108,0.0117,0.0111,0.0149,0.0126,0.0124,0.0137,0.0131,0.0133
-21.3400,0.0089,0.0108,0.0109,0.0102,0.0120,0.0086,0.0113,0.0118,0.0115,0.0144,0.0118,0.0131,0.0140,0.0137,0.0129
-21.2960,0.0089,0.0104,0.0111,0.0106,0.0131,0.0086,0.0109,0.0118,0.0120,0.0157,0.0117,0.0126,0.0142,0.0142,0.0135
-21.2520,0.0088,0.0098,0.0109,0.0106,0.0137,0.0084,0.0104,0.0117,0.0118,0.0162,0.0115,0.0118,0.0139,0.0140,0.0137
-21.2080,0.0086,0.0104,0.0111,0.0100,0.0131,0.0082,0.0109,0.0120,0.0113,0.0155,0.0113,0.0126,0.0142,0.0135,0.0133
-21.1640,0.0095,0.0104,0.0109,0.0098,0.0140,0.0091,0.0108,0.0118,0.0111,0.0160,0.0126,0.0124,0.0140,0.0133,0.0128
-21.1200,0.0091,0.0100,0.0109,0.0104,0.0144,0.0088,0.0104,0.0118,0.0117,0.0157,0.0120,0.0120,0.0139,0.0139,0.0129
-21.0760,0.0091,0.0100,0.0122,0.0100,0.0153,0.0086,0.0104,0.0131,0.0111,0.0155,0.0118,0.0120,0.0157,0.0133,0.0133
-21.0320,0.0089,0.0109,0.0111,0.0104,0.0171,0.0088,0.0115,0.0120,0.0118,0.0166,0.0118,0.0131,0.0142,0.0140,0.0135
-20.9880,0.0089,0.0097,0.0104,0.0108,0.0170,0.0086,0.0102,0.0113,0.0120,0.0157,0.0118,0.0118,0.0133,0.0144,0.0131
-20.9440,0.0097,0.0113,0.0108,0.0100,0.0168,0.0093,0.0118,0.0117,0.0113,0.0157,0.0126,0.0137,0.0139,0.0137,0.0133
-20.9000,0.0095,0.0102,0.0113,0.0098,0.0160,0.0091,0.0108,0.0122,0.0111,0.0160,0.0124,0.0124,0.0146,0.0131,0.0137
-20.8560,0.0097,0.0104,0.0108,0.0106,0.0155,0.0091,0.0108,0.0115,0.0118,0.0153,0.0126,0.0124,0.0137,0.0140,0.0128
