cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
distance from center,15.2_OI_0.5D,15.2_OI_1.0D,15.2_OI_1.5D,15.2_OI_2.5D,15.2_OI_3.5D,16.8_OI_0.5D,16.8_OI_1.0D,16.8_OI_1.5D,16.8_OI_2.5D,16.8_OI_3.5D,20.9_OI_0.5D,20.9_OI_1.0D,20.9_OI_1.5D,20.9_OI_2.5D,20.9_OI_3.5D
-21.9560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-21.9120,-0.0002,-0.0002,-0.0005,0.0002,0.0000,-0.0002,-0.0000,-0.0007,0.0000,0.0002,-0.0004,-0.0002,-0.0007,-0.0004,0.0000
-21.8680,-0.0002,-0.0000,0.0000,0.0002,0.0002,-0.0000,-0.0002,0.0000,0.0002,0.0004,-0.0002,-0.0002,0.0002,-0.0000,-0.0002
-21.8240,-0.0002,0.0002,-0.0002,0.0002,0.0002,-0.0002,0.0002,-0.0002,0.0002,0.0004,-0.0005,0.0004,-0.0002,0.0000,0.0002
-21.7800,0.0002,0.0002,-0.0004,-0.0007,0.0000,0.0002,0.0002,-0.0005,-0.0009,0.0002,-0.0000,0.0000,-0.0005,-0.0011,-0.0002
-21.7360,0.0000,0.0000,-0.0002,0.0004,0.0002,0.0000,0.0000,-0.0002,0.0004,0.0005,-0.0002,-0.0002,-0.0002,0.0002,-0.0002
-21.6920,-0.0005,-0.0002,-0.0005,0.0004,0.0000,-0.0005,-0.0002,-0.0005,0.0002,0.0000,-0.0007,-0.0004,-0.0007,0.0000,0.0000
-21.6480,-0.0000,0.0000,0.0002,0.0005,0.0002,0.0000,0.0000,0.0002,0.0005,0.0004,-0.0000,-0.0000,-0.0000,0.0005,-0.0002
-21.6040,-0.0000,-0.0002,-0.0004,0.0002,0.0002,-0.0000,-0.0002,-0.0004,0.0002,0.0002,-0.0002,-0.0004,-0.0005,-0.0002,-0.0000
-21.5600,0.0002,-0.0000,-0.0004,0.0000,0.0002,0.0002,0.0000,-0.0002,-0.0000,0.0004,0.0000,-0.0000,-0.0002,-0.0002,-0.0002
-21.5160,-0.0002,-0.0000,-0.0004,-0.0000,0.0004,-0.0002,-0.0002,-0.0004,-0.0000,0.0005,-0.0004,-0.0002,-0.0005,-0.0002,0.0000
-21.4720,-0.0002,-0.0002,-0.0004,-0.0000,0.0004,-0.0002,-0.0000,-0.0004,-0.0002,0.0005,-0.0004,-0.0002,-0.0004,-0.0004,-0.0000
-21.4280,-0.0000,-0.0000,-0.0002,-0.0004,0.0000,-0.0000,-0.0000,-0.0004,-0.0004,0.0000,-0.0004,0.0000,-0.0004,-0.0005,-0.0000
-21.3840,-0.0000,0.0002,-0.0002,-0.0000,0.0004,-0.0002,0.0000,-0.0002,-0.0002,0.0005,-0.0002,0.0002,-0.0002,-0.0004,-0.0004
-21.3400,0.0002,-0.0002,-0.0002,-0.0002,0.0002,0.0002,-0.0002,-0.0002,-0.0002,0.0002,-0.0002,-0.0004,-0.0002,-0.0005,-0.0000
-21.2960,-0.0002,-0.0000,-0.0002,0.0002,0.0005,-0.0002,-0.0000,-0.0002,0.0002,0.0007,-0.0004,-0.0002,-0.0002,-0.0002,-0.0004
-21.2520,-0.0002,-0.0004,-0.0002,0.0004,0.0000,-0.0002,-0.0004,-0.0004,0.0005,0.0002,-0.0005,-0.0005,-0.0002,0.0002,-0.0004
-21.2080,-0.0002,-0.0000,-0.0002,-0.0004,0.0005,-0.0004,-0.0000,-0.0002,-0.0004,0.0007,-0.0004,-0.0000,-0.0002,-0.0005,-0.0000
-21.1640,0.0002,0.0000,0.0000,0.0004,0.0004,0.0000,-0.0000,0.0002,0.0004,0.0005,0.0000,-0.0002,-0.0000,0.0002,-0.0004
-21.1200,0.0002,-0.0002,-0.0004,0.0000,0.0004,0.0002,-0.0002,-0.0004,-0.0000,0.0002,0.0000,-0.0002,-0.0004,-0.0002,0.0004
-21.0760,0.0004,0.0000,-0.0004,0.0002,0.0004,0.0004,0.0002,-0.0004,0.0002,0.0002,0.0004,0.0000,-0.0004,0.0000,-0.0005
-21.0320,0.0000,0.0000,-0.0002,0.0002,0.0004,-0.0000,0.0002,-0.0002,0.0002,0.0004,-0.0002,-0.0000,-0.0002,0.0000,0.0000
-20.9880,0.0000,-0.0002,-0.0004,0.0000,0.0000,0.0002,-0.0002,-0.0004,0.0000,-0.0002,-0.0002,-0.0004,-0.0004,-0.0002,-0.0000
-20.9440,0.0002,0.0002,-0.0002,0.0002,0.0004,0.0002,0.0002,-0.0004,0.0002,0.0004,0.0002,0.0000,-0.0004,-0.0000,-0.0005
