edges of bins (ppm),center of bins (ppm),pdf 1.0D 15.2% OI 0cm,pdf 1.0D 15.2% OI 1cm,pdf 1.0D 15.2% OI 2cm,pdf 1.0D 15.2% OI 3cm,pdf 1.0D 15.2% OI 4cm,pdf 1.0D 15.2% OI 5cm,pdf 1.0D 15.2% OI 6cm,pdf 1.0D 15.2% OI 7cm,pdf 1.0D 15.2% OI 8cm,pdf 1.0D 15.2% OI 9cm,pdf 1.0D 15.2% OI 10cm,pdf 1.0D 15.2% OI 11cm,pdf 1.0D 15.2% OI 12cm,pdf 1.0D 15.2% OI 13cm,pdf 1.0D 15.2% OI 14cm,pdf 1.0D 15.2% OI 15cm
0.0000,0.0820,6.8116,7.2597,8.7772,9.9080,10.5069,10.8409,11.0350,11.1004,11.1099,11.1106,11.1107,11.1096,11.1111,11.1110,11.1111,11.1111
0.1641,0.1823,2.3899,1.7164,0.8555,0.4228,0.1917,0.0795,0.0216,0.0045,0.0015,0.0016,0.0017,0.0047,0.0000,0.0002,0.0000,0.0001
0.2005,0.2188,1.9419,1.3742,0.7094,0.3537,0.1578,0.0650,0.0197,0.0029,0.0013,0.0004,0.0002,0.0012,0.0000,0.0004,0.0000,0.0000
0.2370,0.2552,1.5754,1.1876,0.6194,0.3036,0.1422,0.0591,0.0175,0.0023,0.0005,0.0001,0.0000,0.0002,0.0000,0.0001,0.0000,0.0000
0.2734,0.2917,1.4238,1.0679,0.5620,0.2751,0.1328,0.0589,0.0161,0.0016,0.0003,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
0.3099,0.3281,1.2125,0.9820,0.5182,0.2481,0.1228,0.0524,0.0160,0.0016,0.0001,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000
0.3464,0.3646,1.1514,0.8939,0.4809,0.2380,0.1134,0.0493,0.0137,0.0014,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000
0.3828,0.4011,0.9890,0.8252,0.4543,0.2200,0.1047,0.0464,0.0129,0.0010,0.0002,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
0.4193,0.4375,0.9124,0.7709,0.4272,0.2080,0.0996,0.0420,0.0115,0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4557,0.4740,0.8032,0.7060,0.3955,0.1880,0.0947,0.0354,0.0107,0.0008,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
