s,kW
Time,HRR_comp
0.000000E+00,3.028082E+02
1.000000E+00,4.023612E+02
2.000000E+00,5.315491E+02
3.000000E+00,6.052383E+02
4.000000E+00,6.122039E+02
5.000000E+00,5.675580E+02
6.000000E+00,5.725436E+02
7.000000E+00,5.865155E+02
8.000000E+00,5.802609E+02
9.000000E+00,5.916551E+02
1.000000E+01,6.116197E+02
1.100000E+01,5.932996E+02
1.200000E+01,6.045689E+02
1.300000E+01,6.041854E+02
1.400000E+01,5.996050E+02
1.500000E+01,5.985245E+02
1.600000E+01,5.752318E+02
1.700000E+01,5.738639E+02
1.800000E+01,5.729640E+02
1.900000E+01,5.750039E+02
2.000000E+01,5.881351E+02
2.100000E+01,5.869086E+02
2.200000E+01,5.941008E+02
2.300000E+01,5.862843E+02
2.400000E+01,5.848309E+02
2.500000E+01,5.710045E+02
2.600000E+01,5.821008E+02
2.700000E+01,5.853518E+02
2.800000E+01,5.813163E+02
2.900000E+01,5.705187E+02
3.000000E+01,5.680237E+02
3.100000E+01,5.769756E+02
3.200000E+01,5.774606E+02
3.300000E+01,5.946621E+02
3.400000E+01,5.952986E+02
3.500000E+01,6.073868E+02
3.600000E+01,5.852745E+02
3.700000E+01,5.878521E+02
3.800000E+01,5.755319E+02
3.900000E+01,5.624532E+02
4.000000E+01,5.809389E+02
4.100000E+01,5.859799E+02
4.200000E+01,5.958808E+02
4.300000E+01,5.885704E+02
4.400000E+01,5.962160E+02
4.500000E+01,5.842635E+02
4.600000E+01,5.822535E+02
4.700000E+01,5.945038E+02
4.800000E+01,5.940996E+02
4.900000E+01,6.043183E+02
5.000000E+01,5.872081E+02
5.100000E+01,5.884545E+02
5.200000E+01,5.771200E+02
5.300000E+01,5.807007E+02
5.400000E+01,5.753891E+02
5.500000E+01,5.589978E+02
5.600000E+01,5.717858E+02
5.700000E+01,5.692382E+02
5.800000E+01,6.027925E+02
5.900000E+01,5.758467E+02
6.000000E+01,5.736943E+02
6.100000E+01,5.952332E+02
6.200000E+01,5.948229E+02
6.300000E+01,5.986794E+02
6.400000E+01,5.700117E+02
6.500000E+01,5.856760E+02
6.600000E+01,5.979717E+02
6.700000E+01,6.000529E+02
6.800000E+01,5.876438E+02
6.900000E+01,5.803481E+02
7.000000E+01,5.821274E+02
7.100000E+01,5.850998E+02
7.200000E+01,5.879732E+02
7.300000E+01,5.813763E+02
7.400000E+01,5.920538E+02
7.500000E+01,5.766516E+02
7.600000E+01,5.800353E+02
7.700000E+01,5.858618E+02
7.800000E+01,5.803865E+02
7.900000E+01,5.802507E+02
8.000000E+01,5.834000E+02
8.100000E+01,5.880636E+02
8.200000E+01,5.932803E+02
8.300000E+01,6.156041E+02
8.400000E+01,6.053509E+02
8.500000E+01,5.851607E+02
8.600000E+01,5.645226E+02
8.700000E+01,5.796853E+02
8.800000E+01,5.860796E+02
8.900000E+01,5.865274E+02
9.000000E+01,5.765994E+02
9.100000E+01,5.856553E+02
9.200000E+01,5.831368E+02
9.300000E+01,6.065065E+02
9.400000E+01,5.863662E+02
9.500000E+01,5.933563E+02
9.600000E+01,5.925158E+02
9.700000E+01,5.686490E+02
9.800000E+01,5.669479E+02
9.900000E+01,5.579675E+02
1.000000E+02,5.752044E+02
1.010000E+02,5.676283E+02
1.020000E+02,5.889766E+02
1.030000E+02,5.914497E+02
1.040000E+02,5.947234E+02
1.050000E+02,5.696140E+02
1.060000E+02,5.925453E+02
1.070000E+02,5.870345E+02
1.080000E+02,5.933094E+02
1.090000E+02,5.794024E+02
1.100000E+02,5.852158E+02
1.110000E+02,5.945971E+02
1.120000E+02,5.969721E+02
1.130000E+02,5.900325E+02
1.140000E+02,5.764513E+02
1.150000E+02,5.615524E+02
1.160000E+02,5.556112E+02
1.170000E+02,5.616697E+02
1.180000E+02,5.685691E+02
1.190000E+02,5.847085E+02
1.200000E+02,5.795083E+02
1.210000E+02,5.839456E+02
1.220000E+02,5.824776E+02
1.230000E+02,5.775110E+02
1.240000E+02,5.781590E+02
1.250000E+02,5.682948E+02
1.260000E+02,5.670752E+02
1.270000E+02,5.553328E+02
1.280000E+02,5.854202E+02
1.290000E+02,5.938578E+02
1.300000E+02,5.949571E+02
1.310000E+02,5.812878E+02
1.320000E+02,5.753827E+02
1.330000E+02,5.784599E+02
1.340000E+02,5.822294E+02
1.350000E+02,6.010320E+02
1.360000E+02,6.010884E+02
1.370000E+02,5.943962E+02
1.380000E+02,5.759883E+02
1.390000E+02,5.721865E+02
1.400000E+02,5.763757E+02
1.410000E+02,5.840945E+02
1.420000E+02,5.892827E+02
1.430000E+02,6.007866E+02
1.440000E+02,5.841047E+02
1.450000E+02,5.969569E+02
1.460000E+02,5.945896E+02
1.470000E+02,5.799363E+02
1.480000E+02,5.757084E+02
1.490000E+02,5.777722E+02
1.500000E+02,5.653460E+02
1.510000E+02,5.723657E+02
1.520000E+02,5.779872E+02
1.530000E+02,5.969300E+02
1.540000E+02,5.883560E+02
1.550000E+02,5.732363E+02
1.560000E+02,5.636096E+02
1.570000E+02,5.736861E+02
1.580000E+02,5.844785E+02
1.590000E+02,5.903827E+02
1.600000E+02,5.714501E+02
1.610000E+02,5.783274E+02
1.620000E+02,5.605562E+02
1.630000E+02,5.814335E+02
1.640000E+02,5.816285E+02
1.650000E+02,5.702218E+02
1.660000E+02,5.813229E+02
1.670000E+02,5.835831E+02
