s,kW,kW
Time,HRR,HRR_outside
0.000000E+00,2.479489E+02,-6.528401E+00
1.000000E+00,3.381108E+02,-1.893633E+00
2.000000E+00,4.606433E+02,2.516820E+00
3.000000E+00,5.272699E+02,2.448735E+00
4.000000E+00,5.423702E+02,1.874647E-01
5.000000E+00,5.248160E+02,2.158271E+00
6.000000E+00,5.506462E+02,2.437316E+01
7.000000E+00,6.235204E+02,5.567084E+01
8.000000E+00,6.271950E+02,6.631008E+01
9.000000E+00,6.276167E+02,6.149450E+01
1.000000E+01,6.157076E+02,4.984907E+01
1.100000E+01,6.079372E+02,5.226655E+01
1.200000E+01,6.021960E+02,5.151878E+01
1.300000E+01,6.088687E+02,5.418699E+01
1.400000E+01,6.033761E+02,5.050463E+01
1.500000E+01,5.927158E+02,5.851957E+01
1.600000E+01,5.947679E+02,5.590363E+01
1.700000E+01,5.914294E+02,5.420770E+01
1.800000E+01,5.997919E+02,4.890495E+01
1.900000E+01,6.072047E+02,4.851305E+01
2.000000E+01,5.953756E+02,5.453062E+01
2.100000E+01,5.896277E+02,5.797053E+01
2.200000E+01,5.707860E+02,6.660206E+01
2.300000E+01,5.961352E+02,6.572937E+01
2.400000E+01,5.896879E+02,5.231611E+01
2.500000E+01,5.868634E+02,4.446994E+01
2.600000E+01,5.730184E+02,4.399482E+01
2.700000E+01,5.841500E+02,4.991586E+01
2.800000E+01,5.957816E+02,3.994623E+01
2.900000E+01,5.914187E+02,3.845041E+01
3.000000E+01,5.909677E+02,4.470062E+01
3.100000E+01,6.008818E+02,5.487124E+01
3.200000E+01,6.054043E+02,5.799653E+01
3.300000E+01,6.015699E+02,5.910368E+01
3.400000E+01,5.845010E+02,5.858728E+01
3.500000E+01,6.007932E+02,5.747184E+01
3.600000E+01,6.163657E+02,5.682543E+01
3.700000E+01,5.957828E+02,5.822643E+01
3.800000E+01,5.944733E+02,6.526750E+01
3.900000E+01,6.029232E+02,6.725120E+01
4.000000E+01,6.025926E+02,5.754324E+01
4.100000E+01,5.858442E+02,4.801093E+01
4.200000E+01,5.807442E+02,4.682911E+01
4.300000E+01,5.908042E+02,5.660799E+01
4.400000E+01,5.990655E+02,5.064258E+01
4.500000E+01,5.908813E+02,4.368682E+01
4.600000E+01,5.967240E+02,4.740126E+01
4.700000E+01,5.833739E+02,5.910243E+01
4.800000E+01,5.952578E+02,6.028148E+01
4.900000E+01,5.786448E+02,5.065128E+01
5.000000E+01,5.965722E+02,5.041856E+01
5.100000E+01,5.967537E+02,6.519096E+01
5.200000E+01,6.192951E+02,7.221072E+01
5.300000E+01,5.941813E+02,6.788420E+01
5.400000E+01,5.975877E+02,6.757131E+01
5.500000E+01,5.871369E+02,6.214664E+01
5.600000E+01,5.932755E+02,5.724622E+01
5.700000E+01,5.983884E+02,6.485939E+01
5.800000E+01,5.942545E+02,7.233319E+01
5.900000E+01,5.964116E+02,7.194031E+01
6.000000E+01,5.971470E+02,6.412758E+01
6.100000E+01,5.861127E+02,6.042010E+01
6.200000E+01,5.944223E+02,5.892912E+01
6.300000E+01,5.669385E+02,6.725275E+01
6.400000E+01,6.305732E+02,8.509416E+01
6.500000E+01,5.944813E+02,7.378146E+01
6.600000E+01,6.369620E+02,7.471120E+01
6.700000E+01,6.088917E+02,6.468144E+01
6.800000E+01,6.135407E+02,6.160305E+01
6.900000E+01,6.110715E+02,5.393705E+01
7.000000E+01,6.003727E+02,5.868820E+01
7.100000E+01,6.013872E+02,5.952852E+01
7.200000E+01,5.783460E+02,6.328943E+01
7.300000E+01,5.930301E+02,6.540442E+01
7.400000E+01,5.711684E+02,5.887871E+01
7.500000E+01,5.883692E+02,5.827229E+01
7.600000E+01,5.853570E+02,5.537162E+01
7.700000E+01,5.992161E+02,5.470369E+01
7.800000E+01,5.960444E+02,5.796754E+01
7.900000E+01,6.209018E+02,6.552675E+01
8.000000E+01,6.118540E+02,6.432566E+01
8.100000E+01,6.030068E+02,7.185843E+01
8.200000E+01,6.005065E+02,6.825728E+01
8.300000E+01,5.718807E+02,5.987144E+01
8.400000E+01,6.088956E+02,6.023581E+01
8.500000E+01,5.914519E+02,5.235761E+01
8.600000E+01,6.160809E+02,6.431771E+01
8.700000E+01,6.016789E+02,6.889934E+01
8.800000E+01,6.079056E+02,6.838751E+01
8.900000E+01,6.069165E+02,5.358597E+01
9.000000E+01,5.881838E+02,4.969485E+01
9.100000E+01,6.061412E+02,6.454197E+01
9.200000E+01,5.987135E+02,5.649716E+01
9.300000E+01,5.927209E+02,5.378963E+01
9.400000E+01,5.915998E+02,5.351198E+01
9.500000E+01,5.685956E+02,6.161784E+01
9.600000E+01,6.026098E+02,6.131045E+01
9.700000E+01,5.745854E+02,5.678906E+01
9.800000E+01,5.967450E+02,5.430052E+01
9.900000E+01,5.797488E+02,5.852549E+01
1.000000E+02,6.047795E+02,6.765682E+01
1.010000E+02,5.884109E+02,6.702883E+01
1.020000E+02,6.036505E+02,6.673090E+01
1.030000E+02,5.918569E+02,6.288019E+01
1.040000E+02,5.987675E+02,6.670269E+01
1.050000E+02,6.050906E+02,7.841248E+01
1.060000E+02,6.238462E+02,7.287216E+01
1.070000E+02,6.003756E+02,4.920261E+01
1.080000E+02,5.821175E+02,4.561605E+01
1.090000E+02,5.903294E+02,6.200177E+01
1.100000E+02,5.990885E+02,7.701420E+01
1.110000E+02,6.084332E+02,7.049037E+01
1.120000E+02,5.916860E+02,5.935380E+01
1.130000E+02,6.022095E+02,6.665458E+01
1.140000E+02,5.973470E+02,7.250962E+01
1.150000E+02,6.231876E+02,7.263879E+01
1.160000E+02,5.822413E+02,6.323678E+01
1.170000E+02,5.929584E+02,5.358520E+01
1.180000E+02,5.779249E+02,5.107604E+01
1.190000E+02,6.121942E+02,6.482554E+01
1.200000E+02,6.036468E+02,6.557447E+01
1.210000E+02,6.038045E+02,6.675549E+01
1.220000E+02,6.098716E+02,7.030984E+01
1.230000E+02,5.891998E+02,6.418896E+01
1.240000E+02,6.039351E+02,7.503477E+01
1.250000E+02,6.068377E+02,7.569398E+01
1.260000E+02,6.054405E+02,6.696791E+01
1.270000E+02,6.056765E+02,4.876280E+01
1.280000E+02,5.818986E+02,3.406432E+01
1.290000E+02,5.791686E+02,4.302538E+01
1.300000E+02,5.813467E+02,4.982858E+01
1.310000E+02,5.993447E+02,6.253937E+01
1.320000E+02,6.193567E+02,7.909002E+01
1.330000E+02,6.023385E+02,7.775411E+01
1.340000E+02,6.101731E+02,7.644819E+01
1.350000E+02,5.793742E+02,5.434759E+01
1.360000E+02,5.975111E+02,5.717786E+01
1.370000E+02,5.933108E+02,5.120806E+01
1.380000E+02,6.005931E+02,6.244520E+01
1.390000E+02,5.970003E+02,5.935146E+01
1.400000E+02,5.814474E+02,5.612235E+01
1.410000E+02,6.100548E+02,7.426205E+01
1.420000E+02,6.043259E+02,7.730061E+01
1.430000E+02,5.963214E+02,6.879759E+01
1.440000E+02,5.765493E+02,5.711631E+01
1.450000E+02,5.963999E+02,6.406348E+01
1.460000E+02,5.897616E+02,5.877955E+01
1.470000E+02,5.922256E+02,5.394924E+01
1.480000E+02,5.873115E+02,5.644608E+01
1.490000E+02,6.121859E+02,6.787152E+01
1.500000E+02,6.144594E+02,6.588736E+01
1.510000E+02,5.992787E+02,6.800020E+01
1.520000E+02,5.957426E+02,5.689267E+01
1.530000E+02,5.928380E+02,5.242496E+01
1.540000E+02,5.976152E+02,5.971512E+01
1.550000E+02,6.023011E+02,6.455983E+01
1.560000E+02,5.941273E+02,6.229344E+01
1.570000E+02,6.060439E+02,5.890835E+01
1.580000E+02,5.966789E+02,5.331742E+01
1.590000E+02,6.089418E+02,6.387856E+01
1.600000E+02,6.008094E+02,6.445815E+01
1.610000E+02,5.874406E+02,6.184579E+01
1.620000E+02,5.951760E+02,5.656341E+01
1.630000E+02,5.877045E+02,6.869183E+01
1.640000E+02,6.179754E+02,7.307877E+01
1.650000E+02,5.908518E+02,6.352721E+01
1.660000E+02,6.173013E+02,6.689564E+01
1.670000E+02,6.033259E+02,7.581344E+01
1.680000E+02,6.050786E+02,7.925944E+01
1.690000E+02,5.944964E+02,6.275730E+01
1.700000E+02,5.947705E+02,5.659943E+01
