s,kW,kW
Time,HRR,HRR_outside
0.000000E+00,2.856563E+02,-1.715181E+01
1.000000E+00,3.979200E+02,-4.441148E+00
2.000000E+00,5.437026E+02,1.215350E+01
3.000000E+00,6.282508E+02,2.301251E+01
4.000000E+00,6.429207E+02,3.071673E+01
5.000000E+00,6.136831E+02,4.612502E+01
6.000000E+00,6.566343E+02,8.409074E+01
7.000000E+00,7.331256E+02,1.466102E+02
8.000000E+00,7.516500E+02,1.713890E+02
9.000000E+00,7.595637E+02,1.679085E+02
1.000000E+01,7.725662E+02,1.609465E+02
1.100000E+01,7.458070E+02,1.525074E+02
1.200000E+01,7.572479E+02,1.526790E+02
1.300000E+01,7.339235E+02,1.297381E+02
1.400000E+01,7.111938E+02,1.115888E+02
1.500000E+01,7.273413E+02,1.288169E+02
1.600000E+01,7.295370E+02,1.543053E+02
1.700000E+01,7.408702E+02,1.670062E+02
1.800000E+01,7.415874E+02,1.686235E+02
1.900000E+01,7.315770E+02,1.565731E+02
2.000000E+01,7.438220E+02,1.556869E+02
2.100000E+01,7.477721E+02,1.608636E+02
2.200000E+01,7.723379E+02,1.782372E+02
2.300000E+01,7.655233E+02,1.792390E+02
2.400000E+01,7.480086E+02,1.631778E+02
2.500000E+01,7.269982E+02,1.559937E+02
2.600000E+01,7.560697E+02,1.739689E+02
2.700000E+01,7.650995E+02,1.797477E+02
2.800000E+01,7.492483E+02,1.679320E+02
2.900000E+01,7.257814E+02,1.552628E+02
3.000000E+01,7.111867E+02,1.431630E+02
3.100000E+01,7.181394E+02,1.411637E+02
3.200000E+01,7.440087E+02,1.665480E+02
3.300000E+01,7.764479E+02,1.817858E+02
3.400000E+01,7.510807E+02,1.557821E+02
3.500000E+01,7.591478E+02,1.517611E+02
3.600000E+01,7.428621E+02,1.575876E+02
3.700000E+01,7.641504E+02,1.762983E+02
3.800000E+01,7.331945E+02,1.576626E+02
3.900000E+01,7.166855E+02,1.542323E+02
4.000000E+01,7.420754E+02,1.611364E+02
4.100000E+01,7.447016E+02,1.587217E+02
4.200000E+01,7.740022E+02,1.781213E+02
4.300000E+01,7.633884E+02,1.748180E+02
4.400000E+01,7.687444E+02,1.725283E+02
4.500000E+01,7.463281E+02,1.620646E+02
4.600000E+01,7.562034E+02,1.739499E+02
4.700000E+01,7.682344E+02,1.737306E+02
4.800000E+01,7.435615E+02,1.494619E+02
4.900000E+01,7.268545E+02,1.225362E+02
5.000000E+01,7.034401E+02,1.162320E+02
5.100000E+01,7.386323E+02,1.501778E+02
5.200000E+01,7.557063E+02,1.785863E+02
5.300000E+01,7.719720E+02,1.912713E+02
5.400000E+01,7.573815E+02,1.819924E+02
5.500000E+01,7.254628E+02,1.664650E+02
5.600000E+01,7.420634E+02,1.702776E+02
5.700000E+01,7.324162E+02,1.631781E+02
5.800000E+01,7.684468E+02,1.656543E+02
5.900000E+01,7.276937E+02,1.518470E+02
6.000000E+01,7.405980E+02,1.669037E+02
6.100000E+01,7.513351E+02,1.561020E+02
6.200000E+01,7.646261E+02,1.698032E+02
6.300000E+01,7.678464E+02,1.691670E+02
6.400000E+01,7.253004E+02,1.552887E+02
6.500000E+01,7.320441E+02,1.463681E+02
6.600000E+01,7.311855E+02,1.332138E+02
6.700000E+01,7.457601E+02,1.457072E+02
6.800000E+01,7.669681E+02,1.793243E+02
6.900000E+01,7.880626E+02,2.077145E+02
7.000000E+01,7.698985E+02,1.877711E+02
7.100000E+01,7.519857E+02,1.668859E+02
7.200000E+01,7.476181E+02,1.596449E+02
7.300000E+01,7.592779E+02,1.779015E+02
7.400000E+01,7.631330E+02,1.710792E+02
7.500000E+01,7.408988E+02,1.642473E+02
7.600000E+01,7.354578E+02,1.554225E+02
7.700000E+01,7.239752E+02,1.381134E+02
7.800000E+01,7.334170E+02,1.530305E+02
7.900000E+01,7.588472E+02,1.785965E+02
8.000000E+01,7.500492E+02,1.666492E+02
8.100000E+01,7.452805E+02,1.572169E+02
8.200000E+01,7.380959E+02,1.448156E+02
8.300000E+01,7.692190E+02,1.536150E+02
8.400000E+01,7.633123E+02,1.579614E+02
8.500000E+01,7.538877E+02,1.687270E+02
8.600000E+01,7.362953E+02,1.717727E+02
8.700000E+01,7.398248E+02,1.601395E+02
8.800000E+01,7.522659E+02,1.661863E+02
8.900000E+01,7.562679E+02,1.697405E+02
9.000000E+01,7.437764E+02,1.671770E+02
9.100000E+01,7.498419E+02,1.641866E+02
9.200000E+01,7.407007E+02,1.575639E+02
9.300000E+01,7.662346E+02,1.597281E+02
9.400000E+01,7.503786E+02,1.640123E+02
9.500000E+01,7.705780E+02,1.772217E+02
9.600000E+01,7.489232E+02,1.564074E+02
9.700000E+01,7.011421E+02,1.324931E+02
9.800000E+01,7.267742E+02,1.598263E+02
9.900000E+01,7.417306E+02,1.837631E+02
1.000000E+02,7.597277E+02,1.845233E+02
1.010000E+02,7.238334E+02,1.562052E+02
1.020000E+02,7.522347E+02,1.632582E+02
1.030000E+02,7.401664E+02,1.487167E+02
1.040000E+02,7.483919E+02,1.536685E+02
1.050000E+02,7.423393E+02,1.727254E+02
1.060000E+02,7.829000E+02,1.903547E+02
1.070000E+02,7.575574E+02,1.705229E+02
1.080000E+02,7.692288E+02,1.759194E+02
1.090000E+02,7.641041E+02,1.847017E+02
1.100000E+02,7.711260E+02,1.859102E+02
1.110000E+02,7.534617E+02,1.588646E+02
1.120000E+02,7.404090E+02,1.434369E+02
1.130000E+02,7.435529E+02,1.535204E+02
1.140000E+02,7.356766E+02,1.592253E+02
1.150000E+02,7.257072E+02,1.641548E+02
1.160000E+02,7.337904E+02,1.781792E+02
1.170000E+02,7.524649E+02,1.907952E+02
1.180000E+02,7.524821E+02,1.839130E+02
1.190000E+02,7.541269E+02,1.694184E+02
1.200000E+02,7.313794E+02,1.518711E+02
1.210000E+02,7.344863E+02,1.505407E+02
1.220000E+02,7.554375E+02,1.729600E+02
1.230000E+02,7.616736E+02,1.841626E+02
1.240000E+02,7.593832E+02,1.812242E+02
1.250000E+02,7.183133E+02,1.500184E+02
1.260000E+02,7.320776E+02,1.650024E+02
1.270000E+02,7.466554E+02,1.913226E+02
1.280000E+02,7.767033E+02,1.912831E+02
1.290000E+02,7.786191E+02,1.847613E+02
1.300000E+02,7.520328E+02,1.570757E+02
1.310000E+02,7.506506E+02,1.693628E+02
1.320000E+02,7.410005E+02,1.656178E+02
1.330000E+02,7.491393E+02,1.706794E+02
1.340000E+02,7.506063E+02,1.683770E+02
1.350000E+02,7.653573E+02,1.643253E+02
1.360000E+02,7.721737E+02,1.710853E+02
1.370000E+02,7.520490E+02,1.576528E+02
1.380000E+02,7.548886E+02,1.789003E+02
1.390000E+02,7.673213E+02,1.951348E+02
1.400000E+02,7.510399E+02,1.746642E+02
1.410000E+02,7.318346E+02,1.477401E+02
1.420000E+02,7.271117E+02,1.378290E+02
1.430000E+02,7.447204E+02,1.439338E+02
1.440000E+02,7.344221E+02,1.503175E+02
1.450000E+02,7.488786E+02,1.519217E+02
1.460000E+02,7.422296E+02,1.476400E+02
1.470000E+02,7.286398E+02,1.487035E+02
1.480000E+02,7.349232E+02,1.592148E+02
1.490000E+02,7.622229E+02,1.844507E+02
1.500000E+02,7.606352E+02,1.952892E+02
1.510000E+02,7.538787E+02,1.815130E+02
1.520000E+02,7.430280E+02,1.650408E+02
1.530000E+02,7.647915E+02,1.678615E+02
1.540000E+02,7.606053E+02,1.722492E+02
1.550000E+02,7.427798E+02,1.695435E+02
1.560000E+02,7.364378E+02,1.728283E+02
1.570000E+02,7.550734E+02,1.813874E+02
1.580000E+02,7.536730E+02,1.691945E+02
1.590000E+02,7.710531E+02,1.806704E+02
1.600000E+02,7.565296E+02,1.850796E+02
1.610000E+02,7.658702E+02,1.875428E+02
1.620000E+02,7.177137E+02,1.571575E+02
1.630000E+02,7.432868E+02,1.618533E+02
1.640000E+02,7.550601E+02,1.734316E+02
1.650000E+02,7.502094E+02,1.799876E+02
1.660000E+02,7.521316E+02,1.708086E+02
1.670000E+02,7.492237E+02,1.656406E+02
1.680000E+02,7.487284E+02,1.717204E+02
1.690000E+02,7.312939E+02,1.537780E+02
1.700000E+02,7.313459E+02,1.599188E+02
1.710000E+02,7.720311E+02,1.790075E+02
1.720000E+02,7.456136E+02,1.777021E+02
1.730000E+02,7.736201E+02,1.809928E+02
1.740000E+02,7.701400E+02,1.814047E+02
1.750000E+02,7.849918E+02,1.915808E+02
1.760000E+02,7.419225E+02,1.681126E+02
