s,kW
Time,HRR_comp
0.000000E+00,2.544773E+02
1.000000E+00,3.400045E+02
2.000000E+00,4.581265E+02
3.000000E+00,5.248212E+02
4.000000E+00,5.421828E+02
5.000000E+00,5.226577E+02
6.000000E+00,5.262730E+02
7.000000E+00,5.678495E+02
8.000000E+00,5.608849E+02
9.000000E+00,5.661222E+02
1.000000E+01,5.658585E+02
1.100000E+01,5.556706E+02
1.200000E+01,5.506773E+02
1.300000E+01,5.546817E+02
1.400000E+01,5.528715E+02
1.500000E+01,5.341962E+02
1.600000E+01,5.388642E+02
1.700000E+01,5.372217E+02
1.800000E+01,5.508870E+02
1.900000E+01,5.586916E+02
2.000000E+01,5.408449E+02
2.100000E+01,5.316572E+02
2.200000E+01,5.041839E+02
2.300000E+01,5.304058E+02
2.400000E+01,5.373718E+02
2.500000E+01,5.423934E+02
2.600000E+01,5.290236E+02
2.700000E+01,5.342342E+02
2.800000E+01,5.558354E+02
2.900000E+01,5.529683E+02
3.000000E+01,5.462671E+02
3.100000E+01,5.460106E+02
3.200000E+01,5.474077E+02
3.300000E+01,5.424663E+02
3.400000E+01,5.259137E+02
3.500000E+01,5.433214E+02
3.600000E+01,5.595403E+02
3.700000E+01,5.375563E+02
3.800000E+01,5.292058E+02
3.900000E+01,5.356720E+02
4.000000E+01,5.450494E+02
4.100000E+01,5.378333E+02
4.200000E+01,5.339151E+02
4.300000E+01,5.341962E+02
4.400000E+01,5.484229E+02
4.500000E+01,5.471945E+02
4.600000E+01,5.493227E+02
4.700000E+01,5.242715E+02
4.800000E+01,5.349763E+02
4.900000E+01,5.279935E+02
5.000000E+01,5.461536E+02
5.100000E+01,5.315627E+02
5.200000E+01,5.470844E+02
5.300000E+01,5.262971E+02
5.400000E+01,5.300164E+02
5.500000E+01,5.249902E+02
5.600000E+01,5.360293E+02
5.700000E+01,5.335291E+02
5.800000E+01,5.219213E+02
5.900000E+01,5.244713E+02
6.000000E+01,5.330194E+02
6.100000E+01,5.256925E+02
6.200000E+01,5.354932E+02
6.300000E+01,4.996858E+02
6.400000E+01,5.454790E+02
6.500000E+01,5.206998E+02
6.600000E+01,5.622508E+02
6.700000E+01,5.442103E+02
6.800000E+01,5.519376E+02
6.900000E+01,5.571345E+02
7.000000E+01,5.416845E+02
