s,kW,kW
Time,HRR,HRR_outside
0.000000E+00,3.820046E+02,1.120655E+01
1.000000E+00,4.523222E+02,-8.166291E-02
2.000000E+00,5.528735E+02,-3.219521E+00
3.000000E+00,6.371067E+02,1.258547E+01
4.000000E+00,7.156901E+02,6.002583E+01
5.000000E+00,7.011858E+02,8.419444E+01
6.000000E+00,7.737837E+02,1.399377E+02
7.000000E+00,9.069540E+02,2.276513E+02
8.000000E+00,9.044084E+02,2.804470E+02
9.000000E+00,9.482170E+02,3.225270E+02
1.000000E+01,8.561232E+02,2.585470E+02
1.100000E+01,8.594828E+02,2.458239E+02
1.200000E+01,8.494050E+02,2.351010E+02
1.300000E+01,8.506575E+02,2.311092E+02
1.400000E+01,8.742741E+02,2.533431E+02
1.500000E+01,9.039349E+02,2.859524E+02
1.600000E+01,9.144555E+02,3.023859E+02
1.700000E+01,8.939571E+02,2.857433E+02
1.800000E+01,9.002794E+02,2.776131E+02
1.900000E+01,8.757132E+02,2.595332E+02
2.000000E+01,8.801407E+02,2.719164E+02
2.100000E+01,9.082769E+02,2.943938E+02
2.200000E+01,9.074441E+02,2.734971E+02
2.300000E+01,8.891722E+02,2.616936E+02
2.400000E+01,8.609535E+02,2.381204E+02
2.500000E+01,8.733599E+02,2.679010E+02
2.600000E+01,8.852638E+02,2.714114E+02
2.700000E+01,8.659133E+02,2.567803E+02
2.800000E+01,9.081650E+02,2.866262E+02
2.900000E+01,9.169013E+02,3.080843E+02
3.000000E+01,9.186160E+02,3.036259E+02
3.100000E+01,9.115320E+02,2.987674E+02
3.200000E+01,8.888312E+02,2.765865E+02
3.300000E+01,8.741266E+02,2.646869E+02
3.400000E+01,8.662063E+02,2.528504E+02
3.500000E+01,8.978988E+02,2.727094E+02
3.600000E+01,9.122656E+02,2.933005E+02
3.700000E+01,9.066894E+02,3.091669E+02
3.800000E+01,9.015164E+02,2.885534E+02
3.900000E+01,9.098865E+02,3.001018E+02
4.000000E+01,9.034811E+02,3.030576E+02
4.100000E+01,9.124418E+02,3.098760E+02
4.200000E+01,8.784045E+02,2.803890E+02
4.300000E+01,8.941632E+02,2.853133E+02
4.400000E+01,8.878557E+02,2.830408E+02
4.500000E+01,8.900474E+02,2.772745E+02
4.600000E+01,8.789464E+02,2.634620E+02
4.700000E+01,8.998181E+02,2.808296E+02
4.800000E+01,9.175721E+02,3.062701E+02
4.900000E+01,9.089081E+02,2.908988E+02
5.000000E+01,8.838537E+02,2.599712E+02
5.100000E+01,8.927986E+02,2.614489E+02
5.200000E+01,9.226525E+02,2.995274E+02
5.300000E+01,9.318089E+02,3.240854E+02
5.400000E+01,9.168005E+02,3.191707E+02
5.500000E+01,9.176970E+02,3.143071E+02
5.600000E+01,9.184708E+02,3.004045E+02
5.700000E+01,9.027672E+02,2.858835E+02
5.800000E+01,8.386279E+02,2.326624E+02
5.900000E+01,8.835341E+02,2.537985E+02
6.000000E+01,9.190233E+02,2.960578E+02
6.100000E+01,9.225060E+02,2.996837E+02
6.200000E+01,9.015855E+02,2.962039E+02
6.300000E+01,9.169999E+02,2.859536E+02
6.400000E+01,8.900373E+02,2.720350E+02
6.500000E+01,8.730985E+02,2.534369E+02
6.600000E+01,8.336401E+02,2.365063E+02
6.700000E+01,8.948060E+02,2.669523E+02
6.800000E+01,9.111406E+02,2.945209E+02
6.900000E+01,9.321060E+02,3.099815E+02
7.000000E+01,8.821853E+02,2.770087E+02
7.100000E+01,8.764285E+02,2.800363E+02
7.200000E+01,9.116895E+02,3.043720E+02
7.300000E+01,9.283824E+02,3.213629E+02
7.400000E+01,9.011872E+02,2.892461E+02
7.500000E+01,8.653385E+02,2.614922E+02
7.600000E+01,8.819705E+02,2.646880E+02
7.700000E+01,8.985090E+02,2.846650E+02
7.800000E+01,9.186035E+02,3.001344E+02
7.900000E+01,9.116114E+02,2.951096E+02
