cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
distance from center,15.2_OI_0.5D,15.2_OI_1.0D,15.2_OI_1.5D,15.2_OI_2.5D,15.2_OI_3.5D,16.8_OI_0.5D,16.8_OI_1.0D,16.8_OI_1.5D,16.8_OI_2.5D,16.8_OI_3.5D,20.9_OI_0.5D,20.9_OI_1.0D,20.9_OI_1.5D,20.9_OI_2.5D,20.9_OI_3.5D
-21.9560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-21.9120,0.0050,0.0054,0.0060,0.0053,0.0068,0.0048,0.0057,0.0065,0.0059,0.0086,0.0066,0.0066,0.0077,0.0071,0.0074
-21.8680,0.0051,0.0055,0.0057,0.0055,0.0064,0.0049,0.0058,0.0061,0.0062,0.0083,0.0067,0.0067,0.0073,0.0074,0.0070
-21.8240,0.0050,0.0054,0.0057,0.0055,0.0063,0.0048,0.0057,0.0062,0.0062,0.0082,0.0065,0.0065,0.0073,0.0073,0.0072
-21.7800,0.0048,0.0055,0.0061,0.0053,0.0064,0.0046,0.0058,0.0066,0.0060,0.0083,0.0062,0.0067,0.0078,0.0070,0.0069
-21.7360,0.0048,0.0056,0.0060,0.0056,0.0064,0.0047,0.0059,0.0065,0.0063,0.0082,0.0064,0.0067,0.0077,0.0075,0.0070
-21.6920,0.0055,0.0055,0.0061,0.0054,0.0066,0.0053,0.0058,0.0066,0.0060,0.0084,0.0073,0.0067,0.0077,0.0072,0.0071
-21.6480,0.0054,0.0054,0.0058,0.0057,0.0066,0.0051,0.0056,0.0062,0.0064,0.0083,0.0071,0.0065,0.0074,0.0076,0.0070
-21.6040,0.0050,0.0056,0.0057,0.0055,0.0067,0.0048,0.0059,0.0061,0.0062,0.0086,0.0066,0.0068,0.0073,0.0074,0.0073
-21.5600,0.0050,0.0054,0.0059,0.0055,0.0069,0.0048,0.0057,0.0064,0.0062,0.0086,0.0066,0.0066,0.0076,0.0074,0.0066
-21.5160,0.0049,0.0057,0.0059,0.0055,0.0065,0.0047,0.0059,0.0064,0.0062,0.0082,0.0064,0.0069,0.0076,0.0074,0.0069
-21.4720,0.0049,0.0064,0.0059,0.0058,0.0071,0.0047,0.0066,0.0064,0.0065,0.0089,0.0064,0.0077,0.0075,0.0077,0.0067
-21.4280,0.0050,0.0055,0.0061,0.0052,0.0070,0.0048,0.0058,0.0066,0.0059,0.0085,0.0065,0.0067,0.0078,0.0070,0.0074
-21.3840,0.0052,0.0056,0.0059,0.0054,0.0068,0.0050,0.0059,0.0064,0.0061,0.0082,0.0069,0.0068,0.0075,0.0072,0.0073
-21.3400,0.0049,0.0059,0.0060,0.0056,0.0066,0.0047,0.0062,0.0065,0.0063,0.0079,0.0065,0.0072,0.0077,0.0075,0.0071
-21.2960,0.0049,0.0057,0.0061,0.0058,0.0072,0.0047,0.0060,0.0065,0.0066,0.0086,0.0064,0.0069,0.0078,0.0078,0.0074
-21.2520,0.0048,0.0054,0.0060,0.0058,0.0075,0.0046,0.0057,0.0064,0.0065,0.0089,0.0063,0.0065,0.0076,0.0077,0.0075
-21.2080,0.0047,0.0057,0.0061,0.0055,0.0072,0.0045,0.0060,0.0066,0.0062,0.0085,0.0062,0.0069,0.0078,0.0074,0.0073
-21.1640,0.0052,0.0057,0.0060,0.0054,0.0077,0.0050,0.0059,0.0065,0.0061,0.0088,0.0069,0.0068,0.0077,0.0073,0.0070
-21.1200,0.0050,0.0055,0.0060,0.0057,0.0079,0.0048,0.0057,0.0065,0.0064,0.0086,0.0066,0.0066,0.0076,0.0076,0.0071
-21.0760,0.0050,0.0055,0.0067,0.0055,0.0084,0.0047,0.0057,0.0072,0.0061,0.0085,0.0065,0.0066,0.0086,0.0073,0.0073
-21.0320,0.0049,0.0060,0.0061,0.0057,0.0094,0.0048,0.0063,0.0066,0.0065,0.0091,0.0065,0.0072,0.0078,0.0077,0.0074
-20.9880,0.0049,0.0053,0.0057,0.0059,0.0093,0.0047,0.0056,0.0062,0.0066,0.0086,0.0065,0.0065,0.0073,0.0079,0.0072
-20.9440,0.0053,0.0062,0.0059,0.0055,0.0092,0.0051,0.0065,0.0064,0.0062,0.0086,0.0069,0.0075,0.0076,0.0075,0.0073
-20.9000,0.0052,0.0056,0.0062,0.0054,0.0088,0.0050,0.0059,0.0067,0.0061,0.0088,0.0068,0.0068,0.0080,0.0072,0.0075
-20.8560,0.0053,0.0057,0.0059,0.0058,0.0085,0.0050,0.0059,0.0063,0.0065,0.0084,0.0069,0.0068,0.0075,0.0077,0.0070
