x (m),U rms (m/s)
-5.24E-01,0.1229
-5.15E-01,0.1285
-5.06E-01,0.1446
-4.96E-01,0.178
-4.87E-01,0.1833
-4.78E-01,0.1817
-4.69E-01,0.1879
-4.60E-01,0.1952
-4.50E-01,0.1847
-4.41E-01,0.1918
-4.32E-01,0.1855
-4.23E-01,0.18
-4.14E-01,0.2027
-4.04E-01,0.2098
-3.95E-01,0.2313
-3.86E-01,0.2786
-3.77E-01,0.3143
-3.68E-01,0.3347
-3.58E-01,0.3464
-3.49E-01,0.3578
-3.40E-01,0.3661
-3.31E-01,0.3768
-3.22E-01,0.3886
-3.12E-01,0.3975
-3.03E-01,0.4062
-2.94E-01,0.4147
-2.85E-01,0.4195
-2.76E-01,0.4266
-2.67E-01,0.437
-2.57E-01,0.4416
-2.48E-01,0.4461
-2.39E-01,0.4517
-2.30E-01,0.455
-2.21E-01,0.4539
-2.11E-01,0.455
-2.02E-01,0.4539
-1.93E-01,0.4494
-1.84E-01,0.4472
-1.75E-01,0.4427
-1.65E-01,0.4382
-1.56E-01,0.4278
-1.47E-01,0.4159
-1.38E-01,0.4087
-1.29E-01,0.4037
-1.19E-01,0.4012
-1.10E-01,0.3987
-1.01E-01,0.395
-9.19E-02,0.3886
-8.27E-02,0.3847
-7.35E-02,0.3808
-6.43E-02,0.3755
-5.51E-02,0.3728
-4.60E-02,0.3755
-3.68E-02,0.3808
-2.76E-02,0.3847
-1.84E-02,0.3873
-9.19E-03,0.3847
0.00E+00,0.3834
9.19E-03,0.3768
1.84E-02,0.3715
2.76E-02,0.3661
3.68E-02,0.3536
4.60E-02,0.345
5.51E-02,0.3479
6.43E-02,0.3507
7.35E-02,0.3507
8.27E-02,0.3493
9.19E-02,0.3464
1.01E-01,0.3435
1.10E-01,0.3435
1.19E-01,0.3493
1.29E-01,0.3536
1.38E-01,0.3578
1.47E-01,0.3633
1.56E-01,0.3661
1.65E-01,0.3688
1.75E-01,0.3715
1.84E-01,0.3795
1.93E-01,0.3899
2.02E-01,0.395
2.11E-01,0.4
2.21E-01,0.4
2.30E-01,0.3987
2.39E-01,0.3975
2.48E-01,0.3987
2.57E-01,0.4
2.67E-01,0.4025
2.76E-01,0.405
2.85E-01,0.4062
2.94E-01,0.405
3.03E-01,0.4025
3.12E-01,0.3975
3.22E-01,0.3899
3.31E-01,0.3808
3.40E-01,0.3715
3.49E-01,0.3633
3.58E-01,0.3507
3.68E-01,0.3376
3.77E-01,0.3256
3.86E-01,0.3143
3.95E-01,0.3035
4.04E-01,0.2946
4.14E-01,0.2855
4.23E-01,0.2755
4.32E-01,0.2627
4.41E-01,0.2496
4.50E-01,0.2375
4.60E-01,0.2272
4.69E-01,0.2195
4.78E-01,0.2107
4.87E-01,0.2017
4.96E-01,0.1931
5.06E-01,0.1852
5.15E-01,0.1817
5.24E-01,0.1778
