x (m),Y He,Y He rms,U (m/s),U rms (m/s),W (m/s),W rms (m/s)
-5.24E-01,8.62E-03,0.00123,4.97E-02,0.1229,-7.75E-03,0.0674
-5.15E-01,8.71E-03,0.00124,5.66E-02,0.1285,-5.88E-03,0.0701
-5.06E-01,8.76E-03,0.00125,5.40E-02,0.1446,-5.59E-03,0.0736
-4.96E-01,8.82E-03,0.00131,5.23E-02,0.178,-6.36E-03,0.0778
-4.87E-01,8.90E-03,0.00156,5.99E-02,0.1833,-9.63E-03,0.0838
-4.78E-01,9.01E-03,0.00201,7.71E-02,0.1817,-1.92E-02,0.0965
-4.69E-01,9.09E-03,0.00236,7.83E-02,0.1879,-2.93E-02,0.1072
-4.60E-01,9.08E-03,0.00259,7.91E-02,0.1952,-3.21E-02,0.1095
-4.50E-01,9.19E-03,0.00356,7.07E-02,0.1847,-2.51E-02,0.1005
-4.41E-01,9.91E-03,0.00622,5.73E-02,0.1918,-1.45E-02,0.0973
-4.32E-01,1.13E-02,0.0101,4.79E-02,0.1855,-4.97E-03,0.0983
-4.23E-01,1.29E-02,0.0136,6.30E-02,0.18,-4.28E-04,0.1127
-4.14E-01,1.43E-02,0.01584,8.19E-02,0.2027,-1.35E-03,0.15
-4.04E-01,1.57E-02,0.01775,1.03E-01,0.2098,1.52E-02,0.1884
-3.95E-01,1.71E-02,0.02,1.32E-01,0.2313,8.25E-02,0.2298
-3.86E-01,1.85E-02,0.02225,1.71E-01,0.2786,9.66E-02,0.2636
-3.77E-01,2.02E-02,0.02449,1.89E-01,0.3143,1.32E-01,0.2943
-3.68E-01,2.24E-02,0.02698,1.95E-01,0.3347,1.68E-01,0.3132
-3.58E-01,2.46E-02,0.02922,1.98E-01,0.3464,2.07E-01,0.3332
-3.49E-01,2.68E-02,0.03126,2.04E-01,0.3578,2.52E-01,0.355
-3.40E-01,2.94E-02,0.03332,2.05E-01,0.3661,3.01E-01,0.3768
-3.31E-01,3.23E-02,0.0355,2.03E-01,0.3768,3.56E-01,0.4
-3.22E-01,3.53E-02,0.03742,2.01E-01,0.3886,4.15E-01,0.4266
-3.12E-01,3.82E-02,0.03899,1.98E-01,0.3975,4.75E-01,0.4583
-3.03E-01,4.12E-02,0.04062,1.96E-01,0.4062,5.37E-01,0.4889
-2.94E-01,4.45E-02,0.04231,1.94E-01,0.4147,6.02E-01,0.5128
-2.85E-01,4.79E-02,0.04382,1.92E-01,0.4195,6.79E-01,0.5348
-2.76E-01,5.19E-02,0.04604,1.94E-01,0.4266,7.60E-01,0.5523
-2.67E-01,5.62E-02,0.04879,1.94E-01,0.437,8.42E-01,0.5753
-2.57E-01,6.02E-02,0.05128,1.94E-01,0.4416,9.22E-01,0.6058
-2.48E-01,6.40E-02,0.0531,1.93E-01,0.4461,1.00E+00,0.6411
-2.39E-01,6.81E-02,0.05486,1.91E-01,0.4517,1.09E+00,0.6701
-2.30E-01,7.26E-02,0.05683,1.86E-01,0.455,1.17E+00,0.6907
-2.21E-01,7.76E-02,0.05891,1.78E-01,0.4539,1.27E+00,0.7014
-2.11E-01,8.27E-02,0.06091,1.73E-01,0.455,1.35E+00,0.7085
-2.02E-01,8.78E-02,0.06293,1.69E-01,0.4539,1.43E+00,0.7155
-1.93E-01,9.32E-02,0.06512,1.62E-01,0.4494,1.51E+00,0.7301
-1.84E-01,9.82E-02,0.06708,1.57E-01,0.4472,1.59E+00,0.745
-1.75E-01,1.03E-01,0.06899,1.50E-01,0.4427,1.67E+00,0.7563
-1.65E-01,1.09E-01,0.07071,1.44E-01,0.4382,1.75E+00,0.7681
-1.56E-01,1.14E-01,0.0719,1.38E-01,0.4278,1.82E+00,0.7842
