x (m),W rms (m/s)
-5.24E-01,0.0674
-5.15E-01,0.0701
-5.06E-01,0.0736
-4.96E-01,0.0778
-4.87E-01,0.0838
-4.78E-01,0.0965
-4.69E-01,0.1072
-4.60E-01,0.1095
-4.50E-01,0.1005
-4.41E-01,0.0973
-4.32E-01,0.0983
-4.23E-01,0.1127
-4.14E-01,0.15
-4.04E-01,0.1884
-3.95E-01,0.2298
-3.86E-01,0.2636
-3.77E-01,0.2943
-3.68E-01,0.3132
-3.58E-01,0.3332
-3.49E-01,0.355
-3.40E-01,0.3768
-3.31E-01,0.4
-3.22E-01,0.4266
-3.12E-01,0.4583
-3.03E-01,0.4889
-2.94E-01,0.5128
-2.85E-01,0.5348
-2.76E-01,0.5523
-2.67E-01,0.5753
-2.57E-01,0.6058
-2.48E-01,0.6411
-2.39E-01,0.6701
-2.30E-01,0.6907
-2.21E-01,0.7014
-2.11E-01,0.7085
-2.02E-01,0.7155
-1.93E-01,0.7301
-1.84E-01,0.745
-1.75E-01,0.7563
-1.65E-01,0.7681
-1.56E-01,0.7842
-1.47E-01,0.8112
-1.38E-01,0.8379
-1.29E-01,0.8631
-1.19E-01,0.8871
-1.10E-01,0.9028
-1.01E-01,0.9263
-9.19E-02,0.9482
-8.27E-02,0.968
-7.35E-02,0.9767
-6.43E-02,0.9747
-5.51E-02,0.9706
-4.60E-02,0.967
-3.68E-02,0.9597
-2.76E-02,0.9524
-1.84E-02,0.9576
-9.19E-03,0.9737
0.00E+00,0.9783
9.19E-03,0.9783
1.84E-02,0.9711
2.76E-02,0.9633
3.68E-02,0.9586
4.60E-02,0.946
5.51E-02,0.9317
6.43E-02,0.9247
7.35E-02,0.9214
8.27E-02,0.9192
9.19E-02,0.9116
1.01E-01,0.9017
1.10E-01,0.8832
1.19E-01,0.8602
1.29E-01,0.839
1.38E-01,0.8136
1.47E-01,0.7836
1.56E-01,0.7523
1.65E-01,0.7259
1.75E-01,0.7043
1.84E-01,0.6797
1.93E-01,0.658
2.02E-01,0.645
2.11E-01,0.6277
2.21E-01,0.6042
2.30E-01,0.5848
2.39E-01,0.5648
2.48E-01,0.545
2.57E-01,0.5282
2.67E-01,0.5187
2.76E-01,0.5089
2.85E-01,0.501
2.94E-01,0.4889
3.03E-01,0.4743
3.12E-01,0.4583
3.22E-01,0.4438
3.31E-01,0.4324
3.40E-01,0.4159
3.49E-01,0.4
3.58E-01,0.3821
3.68E-01,0.3647
3.77E-01,0.3536
3.86E-01,0.3435
3.95E-01,0.3317
4.04E-01,0.3142
4.14E-01,0.301
4.23E-01,0.2902
4.32E-01,0.276
4.41E-01,0.2612
4.50E-01,0.24
4.60E-01,0.2261
4.69E-01,0.2175
4.78E-01,0.209
4.87E-01,0.199
4.96E-01,0.1868
5.06E-01,0.1838
5.15E-01,0.1819
5.24E-01,0.1817
