x (m),U rms (m/s)
-5.24E-01,0.1517
-5.15E-01,0.1568
-5.06E-01,0.1631
-4.96E-01,0.1673
-4.87E-01,0.1709
-4.78E-01,0.178
-4.69E-01,0.1884
-4.60E-01,0.197
-4.50E-01,0.2052
-4.41E-01,0.2184
-4.32E-01,0.2339
-4.23E-01,0.2496
-4.14E-01,0.2634
-4.04E-01,0.2775
-3.95E-01,0.2872
-3.86E-01,0.2946
-3.77E-01,0.303
-3.68E-01,0.3142
-3.58E-01,0.324
-3.49E-01,0.3302
-3.40E-01,0.3391
-3.31E-01,0.3435
-3.22E-01,0.3479
-3.12E-01,0.3507
-3.03E-01,0.3536
-2.94E-01,0.3536
-2.85E-01,0.3521
-2.76E-01,0.3507
-2.67E-01,0.3464
-2.57E-01,0.3421
-2.48E-01,0.3435
-2.39E-01,0.3406
-2.30E-01,0.3435
-2.21E-01,0.3376
-2.11E-01,0.3391
-2.02E-01,0.3376
-1.93E-01,0.3391
-1.84E-01,0.345
-1.75E-01,0.3406
-1.65E-01,0.3347
-1.56E-01,0.3332
-1.47E-01,0.3332
-1.38E-01,0.3317
-1.29E-01,0.3332
-1.19E-01,0.3286
-1.10E-01,0.3286
-1.01E-01,0.3271
-9.19E-02,0.3271
-8.27E-02,0.324
-7.35E-02,0.3209
-6.43E-02,0.3162
-5.51E-02,0.3178
-4.60E-02,0.3178
-3.68E-02,0.3148
-2.76E-02,0.3124
-1.84E-02,0.3151
-9.19E-03,0.3194
0.00E+00,0.3178
9.19E-03,0.3194
1.84E-02,0.3151
2.76E-02,0.3124
3.68E-02,0.3148
4.60E-02,0.3178
5.51E-02,0.3178
6.43E-02,0.3162
7.35E-02,0.3209
8.27E-02,0.324
9.19E-02,0.3271
1.01E-01,0.3271
1.10E-01,0.3286
1.19E-01,0.3286
1.29E-01,0.3332
1.38E-01,0.3317
1.47E-01,0.3332
1.56E-01,0.3332
1.65E-01,0.3347
1.75E-01,0.3406
1.84E-01,0.345
1.93E-01,0.3391
2.02E-01,0.3376
2.11E-01,0.3391
2.21E-01,0.3376
2.30E-01,0.3435
2.39E-01,0.3406
2.48E-01,0.3435
2.57E-01,0.3421
2.67E-01,0.3464
2.76E-01,0.3507
2.85E-01,0.3521
2.94E-01,0.3536
3.03E-01,0.3536
3.12E-01,0.3507
3.22E-01,0.3479
3.31E-01,0.3435
3.40E-01,0.3391
3.49E-01,0.3302
3.58E-01,0.324
3.68E-01,0.3142
3.77E-01,0.303
3.86E-01,0.2946
3.95E-01,0.2872
4.04E-01,0.2775
4.14E-01,0.2634
4.23E-01,0.2496
4.32E-01,0.2339
4.41E-01,0.2184
4.50E-01,0.2052
4.60E-01,0.197
4.69E-01,0.1884
4.78E-01,0.178
4.87E-01,0.1709
4.96E-01,0.1673
5.06E-01,0.1631
5.15E-01,0.1568
5.24E-01,0.1517
