x (m),Y He rms
-5.24E-01,0.00123
-5.15E-01,0.00124
-5.06E-01,0.00125
-4.96E-01,0.00131
-4.87E-01,0.00156
-4.78E-01,0.00201
-4.69E-01,0.00236
-4.60E-01,0.00259
-4.50E-01,0.00356
-4.41E-01,0.00622
-4.32E-01,0.0101
-4.23E-01,0.0136
-4.14E-01,0.01584
-4.04E-01,0.01775
-3.95E-01,0.02
-3.86E-01,0.02225
-3.77E-01,0.02449
-3.68E-01,0.02698
-3.58E-01,0.02922
-3.49E-01,0.03126
-3.40E-01,0.03332
-3.31E-01,0.0355
-3.22E-01,0.03742
-3.12E-01,0.03899
-3.03E-01,0.04062
-2.94E-01,0.04231
-2.85E-01,0.04382
-2.76E-01,0.04604
-2.67E-01,0.04879
-2.57E-01,0.05128
-2.48E-01,0.0531
-2.39E-01,0.05486
-2.30E-01,0.05683
-2.21E-01,0.05891
-2.11E-01,0.06091
-2.02E-01,0.06293
-1.93E-01,0.06512
-1.84E-01,0.06708
-1.75E-01,0.06899
-1.65E-01,0.07071
-1.56E-01,0.0719
-1.47E-01,0.07321
-1.38E-01,0.0743
-1.29E-01,0.07483
-1.19E-01,0.0745
-1.10E-01,0.07457
-1.01E-01,0.07523
-9.19E-02,0.07603
-8.27E-02,0.07688
-7.35E-02,0.07791
-6.43E-02,0.07861
-5.51E-02,0.08
-4.60E-02,0.08106
-3.68E-02,0.08118
-2.76E-02,0.08155
-1.84E-02,0.08295
-9.19E-03,0.08444
0.00E+00,0.08672
9.19E-03,0.08905
1.84E-02,0.09044
2.76E-02,0.09116
3.68E-02,0.09055
4.60E-02,0.08978
5.51E-02,0.08961
6.43E-02,0.08978
7.35E-02,0.09061
8.27E-02,0.09099
9.19E-02,0.09066
1.01E-01,0.08944
1.10E-01,0.08832
1.19E-01,0.08695
1.29E-01,0.08626
1.38E-01,0.08538
1.47E-01,0.08283
1.56E-01,0.07899
1.65E-01,0.07629
1.75E-01,0.07457
1.84E-01,0.07321
1.93E-01,0.07176
2.02E-01,0.06979
2.11E-01,0.06797
2.21E-01,0.06588
2.30E-01,0.06364
2.39E-01,0.06148
2.48E-01,0.06008
2.57E-01,0.05865
2.67E-01,0.05718
2.76E-01,0.0555
2.85E-01,0.05385
2.94E-01,0.05263
3.03E-01,0.05079
3.12E-01,0.04827
3.22E-01,0.04626
3.31E-01,0.04461
3.40E-01,0.04243
3.49E-01,0.03975
3.58E-01,0.03688
3.68E-01,0.03391
3.77E-01,0.03045
3.86E-01,0.02685
3.95E-01,0.02366
4.04E-01,0.02102
4.14E-01,0.01868
4.23E-01,0.0164
4.32E-01,0.01456
4.41E-01,0.01308
4.50E-01,0.01192
4.60E-01,0.01082
4.69E-01,0.00983
4.78E-01,0.00881
4.87E-01,0.00777
4.96E-01,0.00663
5.06E-01,0.00573
5.15E-01,0.00507
5.24E-01,0.0047
