x (m),U rms (m/s)
-5.24E-01,0.1892
-5.15E-01,0.1844
-5.06E-01,0.1871
-4.96E-01,0.1929
-4.87E-01,0.2017
-4.78E-01,0.2095
-4.69E-01,0.2152
-4.60E-01,0.2234
-4.50E-01,0.2341
-4.41E-01,0.2492
-4.32E-01,0.2691
-4.23E-01,0.2912
-4.14E-01,0.3102
-4.04E-01,0.3256
-3.95E-01,0.3391
-3.86E-01,0.3564
-3.77E-01,0.3688
-3.68E-01,0.3795
-3.58E-01,0.3873
-3.49E-01,0.395
-3.40E-01,0.4025
-3.31E-01,0.4111
-3.22E-01,0.4219
-3.12E-01,0.429
-3.03E-01,0.4336
-2.94E-01,0.4382
-2.85E-01,0.445
-2.76E-01,0.4517
-2.67E-01,0.4539
-2.57E-01,0.4539
-2.48E-01,0.4572
-2.39E-01,0.4583
-2.30E-01,0.4626
-2.21E-01,0.4648
-2.11E-01,0.4626
-2.02E-01,0.4626
-1.93E-01,0.469
-1.84E-01,0.4754
-1.75E-01,0.4796
-1.65E-01,0.4817
-1.56E-01,0.4817
-1.47E-01,0.4806
-1.38E-01,0.4775
-1.29E-01,0.4722
-1.19E-01,0.468
-1.10E-01,0.4637
-1.01E-01,0.4637
-9.19E-02,0.4615
-8.27E-02,0.4583
-7.35E-02,0.4539
-6.43E-02,0.4517
-5.51E-02,0.4506
-4.60E-02,0.4494
-3.68E-02,0.4472
-2.76E-02,0.4472
-1.84E-02,0.4438
-9.19E-03,0.4393
0.00E+00,0.4359
9.19E-03,0.4382
1.84E-02,0.4416
2.76E-02,0.4427
3.68E-02,0.4416
4.60E-02,0.4405
5.51E-02,0.4359
6.43E-02,0.4324
7.35E-02,0.429
8.27E-02,0.4254
9.19E-02,0.4266
1.01E-01,0.429
1.10E-01,0.4336
1.19E-01,0.4336
1.29E-01,0.4324
1.38E-01,0.4301
1.47E-01,0.4324
1.56E-01,0.437
1.65E-01,0.4405
1.75E-01,0.4427
1.84E-01,0.4438
1.93E-01,0.4438
2.02E-01,0.4393
2.11E-01,0.4324
2.21E-01,0.4278
2.30E-01,0.4243
2.39E-01,0.4219
2.48E-01,0.4195
2.57E-01,0.4123
2.67E-01,0.4062
2.76E-01,0.4012
2.85E-01,0.3975
2.94E-01,0.3962
3.03E-01,0.3912
3.12E-01,0.3847
3.22E-01,0.3795
3.31E-01,0.3728
3.40E-01,0.3674
3.49E-01,0.3592
3.58E-01,0.3507
3.68E-01,0.3421
3.77E-01,0.3332
3.86E-01,0.324
3.95E-01,0.3162
4.04E-01,0.3119
4.14E-01,0.3082
4.23E-01,0.303
4.32E-01,0.2926
4.41E-01,0.2802
4.50E-01,0.2661
4.60E-01,0.2518
4.69E-01,0.2377
4.78E-01,0.2243
4.87E-01,0.2126
4.96E-01,0.2027
5.06E-01,0.1931
5.15E-01,0.186
5.24E-01,0.1825
