x (m),Y He rms
-5.24E-01,0.002
-5.15E-01,0.002
-5.06E-01,0.002
-4.96E-01,0.0021
-4.87E-01,0.0028
-4.78E-01,0.0039
-4.69E-01,0.0052
-4.60E-01,0.007
-4.50E-01,0.0093
-4.41E-01,0.0116
-4.32E-01,0.0139
-4.23E-01,0.0162
-4.14E-01,0.0185
-4.04E-01,0.0212
-3.95E-01,0.0241
-3.86E-01,0.0269
-3.77E-01,0.0288
-3.68E-01,0.0306
-3.58E-01,0.0324
-3.49E-01,0.0341
-3.40E-01,0.0361
-3.31E-01,0.0385
-3.22E-01,0.0405
-3.12E-01,0.0418
-3.03E-01,0.0429
-2.94E-01,0.0442
-2.85E-01,0.0465
-2.76E-01,0.0498
-2.67E-01,0.0526
-2.57E-01,0.0557
-2.48E-01,0.0591
-2.39E-01,0.0629
-2.30E-01,0.0661
-2.21E-01,0.0688
-2.11E-01,0.0705
-2.02E-01,0.073
-1.93E-01,0.076
-1.84E-01,0.0784
-1.75E-01,0.0808
-1.65E-01,0.0825
-1.56E-01,0.0812
-1.47E-01,0.0796
-1.38E-01,0.0805
-1.29E-01,0.0846
-1.19E-01,0.0896
-1.10E-01,0.0918
-1.01E-01,0.0924
-9.19E-02,0.0932
-8.27E-02,0.0941
-7.35E-02,0.0954
-6.43E-02,0.0972
-5.51E-02,0.0994
-4.60E-02,0.101
-3.68E-02,0.102
-2.76E-02,0.1044
-1.84E-02,0.1077
-9.19E-03,0.11
0.00E+00,0.1091
9.19E-03,0.1077
1.84E-02,0.1082
2.76E-02,0.1105
3.68E-02,0.1127
4.60E-02,0.1131
5.51E-02,0.1149
6.43E-02,0.1179
7.35E-02,0.1192
8.27E-02,0.1192
9.19E-02,0.1192
1.01E-01,0.1196
1.10E-01,0.1187
1.19E-01,0.1192
1.29E-01,0.1208
1.38E-01,0.12
1.47E-01,0.1162
1.56E-01,0.114
1.65E-01,0.1114
1.75E-01,0.1077
1.84E-01,0.1058
1.93E-01,0.1044
2.02E-01,0.1025
2.11E-01,0.0996
2.21E-01,0.0969
2.30E-01,0.0954
2.39E-01,0.0944
2.48E-01,0.092
2.57E-01,0.0879
2.67E-01,0.0858
2.76E-01,0.0849
2.85E-01,0.0815
2.94E-01,0.0775
3.03E-01,0.074
3.12E-01,0.0713
3.22E-01,0.0672
3.31E-01,0.0626
3.40E-01,0.0581
3.49E-01,0.0533
3.58E-01,0.048
3.68E-01,0.0423
3.77E-01,0.037
3.86E-01,0.0326
3.95E-01,0.0286
4.04E-01,0.0252
4.14E-01,0.0218
4.23E-01,0.0192
4.32E-01,0.0166
4.41E-01,0.0136
4.50E-01,0.011
4.60E-01,0.009
4.69E-01,0.0076
4.78E-01,0.0067
4.87E-01,0.0062
4.96E-01,0.0055
5.06E-01,0.0049
5.15E-01,0.0045
5.24E-01,0.0043
