x (m),W rms (m/s)
-5.24E-01,0.2081
-5.15E-01,0.1939
-5.06E-01,0.186
-4.96E-01,0.1852
-4.87E-01,0.1822
-4.78E-01,0.1865
-4.69E-01,0.1887
-4.60E-01,0.1903
-4.50E-01,0.199
-4.41E-01,0.2069
-4.32E-01,0.2156
-4.23E-01,0.2245
-4.14E-01,0.2356
-4.04E-01,0.2534
-3.95E-01,0.2751
-3.86E-01,0.3036
-3.77E-01,0.3286
-3.68E-01,0.3493
-3.58E-01,0.3755
-3.49E-01,0.4062
-3.40E-01,0.4405
-3.31E-01,0.4743
-3.22E-01,0.506
-3.12E-01,0.5348
-3.03E-01,0.5523
-2.94E-01,0.5666
-2.85E-01,0.5857
-2.76E-01,0.6066
-2.67E-01,0.6285
-2.57E-01,0.6557
-2.48E-01,0.6856
-2.39E-01,0.7141
-2.30E-01,0.7436
-2.21E-01,0.772
-2.11E-01,0.8068
-2.02E-01,0.8337
-1.93E-01,0.8579
-1.84E-01,0.8758
-1.75E-01,0.8843
-1.65E-01,0.8911
-1.56E-01,0.9066
-1.47E-01,0.9214
-1.38E-01,0.9476
-1.29E-01,0.9711
-1.19E-01,0.999
-1.10E-01,1.0296
-1.01E-01,1.0536
-9.19E-02,1.0677
-8.27E-02,1.0817
-7.35E-02,1.0954
-6.43E-02,1.1136
-5.51E-02,1.1136
-4.60E-02,1.1225
-3.68E-02,1.1358
-2.76E-02,1.1358
-1.84E-02,1.1402
-9.19E-03,1.1446
0.00E+00,1.1533
9.19E-03,1.1533
1.84E-02,1.1533
2.76E-02,1.1402
3.68E-02,1.1269
4.60E-02,1.1091
5.51E-02,1.1
6.43E-02,1.077
7.35E-02,1.0488
8.27E-02,1.0247
9.19E-02,0.9864
1.01E-01,0.9534
1.10E-01,0.9116
1.19E-01,0.8752
1.29E-01,0.8503
1.38E-01,0.8385
1.47E-01,0.8355
1.56E-01,0.8234
1.65E-01,0.8112
1.75E-01,0.8019
1.84E-01,0.7836
1.93E-01,0.7589
2.02E-01,0.7321
2.11E-01,0.7029
2.21E-01,0.6731
2.30E-01,0.6419
2.39E-01,0.6253
2.48E-01,0.605
2.57E-01,0.5797
2.67E-01,0.5468
2.76E-01,0.5177
2.85E-01,0.497
2.94E-01,0.4837
3.03E-01,0.4712
3.12E-01,0.4626
3.22E-01,0.4593
3.31E-01,0.4528
3.40E-01,0.4472
3.49E-01,0.4405
3.58E-01,0.437
3.68E-01,0.4324
3.77E-01,0.4207
3.86E-01,0.4037
3.95E-01,0.3873
4.04E-01,0.3715
4.14E-01,0.3521
4.23E-01,0.3286
4.32E-01,0.3081
4.41E-01,0.2865
4.50E-01,0.2672
4.60E-01,0.2555
4.69E-01,0.2421
4.78E-01,0.2238
4.87E-01,0.2095
4.96E-01,0.2022
5.06E-01,0.1975
5.15E-01,0.1881
5.24E-01,0.178
