x (m),Y He,Y He rms,U (m/s),U rms (m/s),W (m/s),W rms (m/s),TKE (m2/s2)
-5.24E-01,1.25E-02,0.002,1.34E-01,0.1517,-1.67E-01,0.1758,3.84E-02
-5.15E-01,1.26E-02,0.002,1.38E-01,0.1568,-1.70E-01,0.1649,3.82E-02
-5.06E-01,1.26E-02,0.002,1.42E-01,0.1631,-1.71E-01,0.1726,4.15E-02
-4.96E-01,1.27E-02,0.0021,1.46E-01,0.1673,-1.72E-01,0.1833,4.48E-02
-4.87E-01,1.29E-02,0.0028,1.54E-01,0.1709,-1.71E-01,0.1895,4.72E-02
-4.78E-01,1.31E-02,0.0039,1.63E-01,0.178,-1.67E-01,0.1939,5.05E-02
-4.69E-01,1.35E-02,0.0052,1.69E-01,0.1884,-1.58E-01,0.204,5.64E-02
-4.60E-01,1.42E-02,0.007,1.75E-01,0.197,-1.49E-01,0.2147,6.18E-02
-4.50E-01,1.50E-02,0.0093,1.81E-01,0.2052,-1.38E-01,0.2243,6.73E-02
-4.41E-01,1.61E-02,0.0116,1.87E-01,0.2184,-1.25E-01,0.2302,7.42E-02
-4.32E-01,1.73E-02,0.0139,1.91E-01,0.2339,-1.07E-01,0.2315,8.15E-02
-4.23E-01,1.88E-02,0.0162,1.94E-01,0.2496,-8.38E-02,0.2443,9.21E-02
-4.14E-01,2.06E-02,0.0185,2.01E-01,0.2634,-6.19E-02,0.253,1.01E-01
-4.04E-01,2.28E-02,0.0212,2.11E-01,0.2775,-3.92E-02,0.2644,1.12E-01
-3.95E-01,2.52E-02,0.0241,2.21E-01,0.2872,-1.32E-02,0.2777,1.21E-01
-3.86E-01,2.76E-02,0.0269,2.26E-01,0.2946,1.64E-02,0.2972,1.31E-01
-3.77E-01,2.98E-02,0.0288,2.31E-01,0.303,5.64E-02,0.3194,1.43E-01
-3.68E-01,3.17E-02,0.0306,2.39E-01,0.3142,1.02E-01,0.3406,1.57E-01
-3.58E-01,3.36E-02,0.0324,2.47E-01,0.324,1.49E-01,0.3578,1.69E-01
-3.49E-01,3.61E-02,0.0341,2.56E-01,0.3302,2.01E-01,0.3688,1.77E-01
-3.40E-01,3.90E-02,0.0361,2.63E-01,0.3391,2.51E-01,0.3782,1.86E-01
-3.31E-01,4.17E-02,0.0385,2.74E-01,0.3435,2.99E-01,0.3847,1.92E-01
-3.22E-01,4.44E-02,0.0405,2.88E-01,0.3479,3.46E-01,0.3924,1.98E-01
-3.12E-01,4.74E-02,0.0418,3.02E-01,0.3507,3.98E-01,0.4037,2.04E-01
-3.03E-01,5.06E-02,0.0429,3.17E-01,0.3536,4.54E-01,0.4207,2.13E-01
-2.94E-01,5.42E-02,0.0442,3.29E-01,0.3536,5.09E-01,0.4301,2.18E-01
-2.85E-01,5.88E-02,0.0465,3.42E-01,0.3521,5.72E-01,0.4494,2.25E-01
-2.76E-01,6.44E-02,0.0498,3.56E-01,0.3507,6.39E-01,0.4712,2.34E-01
-2.67E-01,7.07E-02,0.0526,3.70E-01,0.3464,7.16E-01,0.496,2.43E-01
