x (m),W rms (m/s)
-5.24E-01,0.1758
-5.15E-01,0.1649
-5.06E-01,0.1726
-4.96E-01,0.1833
-4.87E-01,0.1895
-4.78E-01,0.1939
-4.69E-01,0.204
-4.60E-01,0.2147
-4.50E-01,0.2243
-4.41E-01,0.2302
-4.32E-01,0.2315
-4.23E-01,0.2443
-4.14E-01,0.253
-4.04E-01,0.2644
-3.95E-01,0.2777
-3.86E-01,0.2972
-3.77E-01,0.3194
-3.68E-01,0.3406
-3.58E-01,0.3578
-3.49E-01,0.3688
-3.40E-01,0.3782
-3.31E-01,0.3847
-3.22E-01,0.3924
-3.12E-01,0.4037
-3.03E-01,0.4207
-2.94E-01,0.4301
-2.85E-01,0.4494
-2.76E-01,0.4712
-2.67E-01,0.496
-2.57E-01,0.5187
-2.48E-01,0.5431
-2.39E-01,0.5612
-2.30E-01,0.5805
-2.21E-01,0.5941
-2.11E-01,0.6025
-2.02E-01,0.6107
-1.93E-01,0.6205
-1.84E-01,0.6245
-1.75E-01,0.6317
-1.65E-01,0.6356
-1.56E-01,0.6372
-1.47E-01,0.6325
-1.38E-01,0.6309
-1.29E-01,0.6364
-1.19E-01,0.6348
-1.10E-01,0.6395
-1.01E-01,0.6427
-9.19E-02,0.6504
-8.27E-02,0.6595
-7.35E-02,0.6678
-6.43E-02,0.6626
-5.51E-02,0.6496
-4.60E-02,0.6434
-3.68E-02,0.6387
-2.76E-02,0.6285
-1.84E-02,0.6229
-9.19E-03,0.6245
0.00E+00,0.6348
9.19E-03,0.6317
1.84E-02,0.6317
2.76E-02,0.6293
3.68E-02,0.6285
4.60E-02,0.6317
5.51E-02,0.6356
6.43E-02,0.6403
7.35E-02,0.6465
8.27E-02,0.6442
9.19E-02,0.6395
1.01E-01,0.6411
1.10E-01,0.6442
1.19E-01,0.6519
1.29E-01,0.6473
1.38E-01,0.6372
1.47E-01,0.6221
1.56E-01,0.614
1.65E-01,0.6066
1.75E-01,0.6033
1.84E-01,0.6
1.93E-01,0.6025
2.02E-01,0.5992
2.11E-01,0.5891
2.21E-01,0.5788
2.30E-01,0.563
2.39E-01,0.5459
2.48E-01,0.531
2.57E-01,0.5128
2.67E-01,0.496
2.76E-01,0.4764
2.85E-01,0.4583
2.94E-01,0.4416
3.03E-01,0.4231
3.12E-01,0.4123
3.22E-01,0.4012
3.31E-01,0.3912
3.40E-01,0.3808
3.49E-01,0.3715
3.58E-01,0.3564
3.68E-01,0.3362
3.77E-01,0.3156
3.86E-01,0.3007
3.95E-01,0.2832
4.04E-01,0.2722
4.14E-01,0.2636
4.23E-01,0.2544
4.32E-01,0.2408
4.41E-01,0.2311
4.50E-01,0.2205
4.60E-01,0.2105
4.69E-01,0.2066
4.78E-01,0.2076
4.87E-01,0.2035
4.96E-01,0.2045
5.06E-01,0.2095
5.15E-01,0.2179
5.24E-01,0.2205
