x (m),Y He rms
-5.24E-01,0.00229
-5.15E-01,0.00248
-5.06E-01,0.00282
-4.96E-01,0.0033
-4.87E-01,0.00377
-4.78E-01,0.00427
-4.69E-01,0.00481
-4.60E-01,0.00539
-4.50E-01,0.00621
-4.41E-01,0.00725
-4.32E-01,0.00831
-4.23E-01,0.00934
-4.14E-01,0.01054
-4.04E-01,0.012
-3.95E-01,0.0136
-3.86E-01,0.01493
-3.77E-01,0.01597
-3.68E-01,0.01694
-3.58E-01,0.01806
-3.49E-01,0.01921
-3.40E-01,0.0203
-3.31E-01,0.02145
-3.22E-01,0.02278
-3.12E-01,0.02408
-3.03E-01,0.02536
-2.94E-01,0.02702
-2.85E-01,0.02877
-2.76E-01,0.03013
-2.67E-01,0.0313
-2.57E-01,0.03209
-2.48E-01,0.03286
-2.39E-01,0.03391
-2.30E-01,0.03521
-2.21E-01,0.03633
-2.11E-01,0.03755
-2.02E-01,0.03886
-1.93E-01,0.04
-1.84E-01,0.04099
-1.75E-01,0.04183
-1.65E-01,0.0429
-1.56E-01,0.04427
-1.47E-01,0.04583
-1.38E-01,0.04733
-1.29E-01,0.04806
-1.19E-01,0.04879
-1.10E-01,0.0495
-1.01E-01,0.0507
-9.19E-02,0.05196
-8.27E-02,0.05254
-7.35E-02,0.0531
-6.43E-02,0.05431
-5.51E-02,0.05559
-4.60E-02,0.05666
-3.68E-02,0.05797
-2.76E-02,0.05916
-1.84E-02,0.05958
-9.19E-03,0.06042
0.00E+00,0.06042
9.19E-03,0.06033
1.84E-02,0.06058
2.76E-02,0.0605
3.68E-02,0.06025
4.60E-02,0.05983
5.51E-02,0.05916
6.43E-02,0.05753
7.35E-02,0.05675
8.27E-02,0.05657
9.19E-02,0.05586
1.01E-01,0.05505
1.10E-01,0.05357
1.19E-01,0.05215
1.29E-01,0.05109
1.38E-01,0.0499
1.47E-01,0.04909
1.56E-01,0.04796
1.65E-01,0.04637
1.75E-01,0.04506
1.84E-01,0.04347
1.93E-01,0.04159
2.02E-01,0.03937
2.11E-01,0.03742
2.21E-01,0.03564
2.30E-01,0.03435
2.39E-01,0.03332
2.48E-01,0.0314
2.57E-01,0.02972
2.67E-01,0.02843
2.76E-01,0.02737
2.85E-01,0.02634
2.94E-01,0.02532
3.03E-01,0.02364
3.12E-01,0.02184
3.22E-01,0.02078
3.31E-01,0.02027
3.40E-01,0.02005
3.49E-01,0.01997
3.58E-01,0.01944
3.68E-01,0.01884
3.77E-01,0.01825
3.86E-01,0.01766
3.95E-01,0.01676
4.04E-01,0.01572
4.14E-01,0.01493
4.23E-01,0.01414
4.32E-01,0.01292
4.41E-01,0.01153
4.50E-01,0.01025
4.60E-01,0.00909
4.69E-01,0.00779
4.78E-01,0.00678
4.87E-01,0.00637
4.96E-01,0.00621
5.06E-01,0.00616
5.15E-01,0.00616
5.24E-01,0.0062
