x (m),Y He,Y He rms, U (m/s),U rms (m/s),W (m/s),W rms (m/s),TKE (m2/s2)
3.68E-02,1.25E-01,0.06025,-5.02E-02,0.4416,3.03E+00,1.1269,8.28E-01
4.60E-02,1.22E-01,0.05983,-5.69E-02,0.4405,3.00E+00,1.1091,8.10E-01
5.51E-02,1.19E-01,0.05916,-5.89E-02,0.4359,2.97E+00,1.1,7.94E-01
6.43E-02,1.15E-01,0.05753,-6.43E-02,0.4324,2.95E+00,1.077,7.66E-01
7.35E-02,1.11E-01,0.05675,-6.37E-02,0.429,2.91E+00,1.0488,7.33E-01
8.27E-02,1.07E-01,0.05657,-6.87E-02,0.4254,2.86E+00,1.0247,7.06E-01
9.19E-02,1.03E-01,0.05586,-7.23E-02,0.4266,2.79E+00,0.9864,6.68E-01
1.01E-01,9.82E-02,0.05505,-7.64E-02,0.429,2.72E+00,0.9534,6.39E-01
1.10E-01,9.25E-02,0.05357,-7.97E-02,0.4336,2.63E+00,0.9116,6.03E-01
1.19E-01,8.72E-02,0.05215,-8.33E-02,0.4336,2.55E+00,0.8752,5.71E-01
1.29E-01,8.26E-02,0.05109,-8.83E-02,0.4324,2.47E+00,0.8503,5.49E-01
1.38E-01,7.85E-02,0.0499,-9.41E-02,0.4301,2.38E+00,0.8385,5.37E-01
1.47E-01,7.49E-02,0.04909,-1.01E-01,0.4324,2.29E+00,0.8355,5.36E-01
1.56E-01,7.14E-02,0.04796,-1.05E-01,0.437,2.21E+00,0.8234,5.31E-01
1.65E-01,6.76E-02,0.04637,-1.12E-01,0.4405,2.12E+00,0.8112,5.24E-01
1.75E-01,6.44E-02,0.04506,-1.18E-01,0.4427,2.03E+00,0.8019,5.17E-01
1.84E-01,6.14E-02,0.04347,-1.21E-01,0.4438,1.95E+00,0.7836,5.04E-01
1.93E-01,5.84E-02,0.04159,-1.24E-01,0.4438,1.87E+00,0.7589,4.85E-01
2.02E-01,5.57E-02,0.03937,-1.28E-01,0.4393,1.79E+00,0.7321,4.61E-01
2.11E-01,5.34E-02,0.03742,-1.30E-01,0.4324,1.71E+00,0.7029,4.34E-01
2.21E-01,5.10E-02,0.03564,-1.28E-01,0.4278,1.63E+00,0.6731,4.10E-01
