Lf,S_Lf,XO2_Lf
0.622388,0.015000,0.209855
0.603476,0.015000,0.207656
0.602253,0.015000,0.206638
0.609463,0.015000,0.206061
0.612257,0.015000,0.205157
0.615427,0.015000,0.204147
0.622088,0.015000,0.203038
0.624713,0.015000,0.201930
0.616287,0.015000,0.200533
0.643950,0.015000,0.199015
0.642879,0.015000,0.197481
0.600064,0.015000,0.196062
0.607375,0.015000,0.194664
0.658631,0.015000,0.193078
0.635736,0.015000,0.191525
0.644093,0.015000,0.190363
0.634915,0.015000,0.188985
0.631596,0.015000,0.187215
0.632736,0.015000,0.185782
0.641544,0.015000,0.184275
0.635567,0.015000,0.183380
0.642657,0.015000,0.182694
0.666241,0.015000,0.181754
0.659829,0.015000,0.180769
0.642683,0.015000,0.178542
0.645967,0.015000,0.176721
0.655068,0.015000,0.175754
0.652245,0.015000,0.173838
0.657795,0.015000,0.172556
0.656893,0.015000,0.171113
0.656008,0.015000,0.168936
0.644166,0.015000,0.167573
0.656784,0.015000,0.166612
0.663593,0.015000,0.165547
0.668479,0.015000,0.164085
0.675935,0.015000,0.162773
0.703192,0.015000,0.161573
0.680923,0.015000,0.159354
0.669209,0.015000,0.157759
0.651744,0.015000,0.156553
0.650309,0.015000,0.154865
0.680125,0.015000,0.153818
0.678899,0.015000,0.151852
0.699279,0.015000,0.149711
0.703409,0.015000,0.148046
0.717535,0.015000,0.147088
