XO2,Chi_R,q_R,Q_f,Q_O2,Q_CO2,eta,S_XO2,S_ChiR,S_qR,S_Qf,S_QO2,S_QCO2,S_eta
0.206240,0.231449,0.969896,49.895923,48.873937,49.985572,1.001797,0.001250,0.010407,0.028865,1.275838,1.282444,1.330832,0.029904
0.206230,0.231449,0.969896,49.807310,49.027525,50.692129,1.017765,0.001250,0.010407,0.028865,1.274993,1.285809,1.348465,0.030384
0.206086,0.229741,0.962739,48.965224,47.890288,48.320857,0.986840,0.001250,0.010245,0.028898,1.259877,1.294393,1.321259,0.029602
0.206084,0.229741,0.962739,49.042212,47.515488,48.425868,0.987432,0.001250,0.010245,0.028898,1.260613,1.288508,1.328515,0.029683
0.205145,0.231910,0.971827,49.865806,50.153677,50.855227,1.019842,0.001250,0.010427,0.028922,1.275551,1.339899,1.349611,0.030364
0.204897,0.224489,0.940731,48.914153,48.616854,48.176181,0.984913,0.001250,0.010011,0.028237,1.259389,1.341154,1.311968,0.029449
0.203439,0.223598,0.936995,49.872672,48.599127,49.493726,0.992402,0.001250,0.010054,0.027886,1.275617,1.362987,1.307898,0.029431
0.202918,0.223729,0.937545,48.837568,48.738458,48.963381,1.002576,0.001250,0.009977,0.028142,1.258657,1.426351,1.329303,0.029907
0.202396,0.225357,0.944367,50.206898,48.997751,49.781682,0.991531,0.001250,0.010133,0.028105,1.278813,1.427387,1.313346,0.029266
0.201828,0.227899,0.955017,48.844968,48.155875,48.424432,0.991390,0.001250,0.010163,0.028666,1.258728,1.469108,1.310719,0.029487
0.201581,0.223938,0.938419,49.863663,49.180905,50.259468,1.007938,0.001250,0.010069,0.027928,1.275531,1.482415,1.325633,0.029833
0.200818,0.226044,0.947245,49.667508,49.049533,50.013642,1.006969,0.001250,0.010164,0.028191,1.273661,1.530397,1.317466,0.029823
0.200774,0.226044,0.947245,48.706428,48.051756,48.707085,1.000013,0.001250,0.010081,0.028433,1.257407,1.534194,1.317373,0.029756
0.200100,0.226119,0.947561,48.641763,48.412053,48.240747,0.991756,0.001250,0.010084,0.028442,1.256791,1.588721,1.303718,0.029504
0.200051,0.226146,0.947673,49.575735,48.546782,49.725219,1.003015,0.001250,0.010168,0.028204,1.272788,1.573958,1.308479,0.029699
