XO2,Chi_R,q_R,Q_f,Q_O2,Q_CO2,eta,S_XO2,S_ChiR,S_qR,S_Qf,S_QO2,S_QCO2,S_eta
0.208008,0.309749,1.221970,49.669518,47.841660,48.177987,0.969971,0.001250,0.014120,0.036617,1.190906,1.230314,1.250854,0.027700
0.207997,0.309749,1.221970,49.202020,46.975621,47.269597,0.960725,0.001250,0.013966,0.036496,1.186433,1.212937,1.234460,0.027380
0.207982,0.309749,1.221970,49.292680,48.125392,47.875079,0.971241,0.001250,0.013966,0.036496,1.187276,1.242477,1.249700,0.027646
0.207965,0.309749,1.221970,49.595809,47.884573,47.890164,0.965609,0.001250,0.014120,0.036617,1.190221,1.232079,1.243295,0.027593
0.206884,0.323319,1.275507,49.699363,49.175608,48.019490,0.966199,0.001250,0.014738,0.038221,1.191184,1.291144,1.244691,0.027551
0.206880,0.323319,1.275507,49.332560,48.432168,47.280817,0.958410,0.001250,0.014578,0.038095,1.187648,1.278523,1.232428,0.027242
0.205227,0.321955,1.270124,49.284289,48.811043,48.361846,0.981283,0.001250,0.014517,0.037934,1.187198,1.357351,1.258658,0.027875
0.204868,0.315122,1.243169,49.671680,48.274358,48.043898,0.967229,0.001250,0.014365,0.037252,1.190926,1.352978,1.243125,0.027552
0.204214,0.312492,1.232792,49.230998,47.425735,47.728336,0.969477,0.001250,0.014090,0.036819,1.186702,1.378901,1.241601,0.027547
0.203564,0.304520,1.201342,49.702130,48.073043,47.912073,0.963984,0.001250,0.013881,0.035999,1.191210,1.424630,1.238662,0.027435
0.202819,0.308779,1.218144,49.228490,48.526316,47.862284,0.972248,0.001250,0.013923,0.036382,1.186679,1.499687,1.244655,0.027622
0.202437,0.313096,1.235175,49.967198,48.411672,48.178752,0.964208,0.001250,0.014272,0.037013,1.193681,1.511189,1.245682,0.027383
0.201219,0.298107,1.176042,50.086146,48.387864,48.505489,0.968441,0.001250,0.013589,0.035241,1.194792,1.606726,1.254522,0.027486
0.201048,0.307583,1.213427,49.213351,48.388712,47.420228,0.963564,0.001250,0.013869,0.036241,1.186538,1.635020,1.233252,0.027387
0.199752,0.292264,1.152992,49.982249,48.843402,48.979010,0.979928,0.001250,0.013323,0.034550,1.193821,1.744145,1.267520,0.027854
0.199146,0.310344,1.224319,49.293629,48.900238,48.376463,0.981394,0.001250,0.013993,0.036566,1.187285,1.812233,1.259135,0.027899
0.197994,0.308393,1.216622,49.890375,47.098961,47.932625,0.960759,0.001250,0.014058,0.036457,1.192964,1.870818,1.242140,0.027366
0.197427,0.302993,1.195321,49.233248,47.506642,47.535544,0.965517,0.001250,0.013662,0.035700,1.186723,1.954106,1.240361,0.027527
0.196619,0.297397,1.173242,49.814334,48.888171,48.268486,0.968968,0.001250,0.013557,0.035157,1.192255,2.044603,1.252774,0.027657
0.195883,0.302685,1.194104,49.257471,48.397725,47.495252,0.964224,0.001250,0.013648,0.035664,1.186949,2.131588,1.241838,0.027536
0.195295,0.288471,1.138031,49.854906,48.768924,48.398395,0.970785,0.001250,0.013150,0.034102,1.192633,2.179427,1.258786,0.027751
0.194201,0.288947,1.139906,49.202452,48.192005,47.787688,0.971246,0.001250,0.013029,0.034045,1.186437,2.309196,1.253456,0.027829
0.193748,0.288612,1.138584,50.029569,48.364017,48.964076,0.978703,0.001250,0.013156,0.034118,1.194263,2.339970,1.277249,0.028006
0.192430,0.282012,1.112550,49.173990,47.981426,47.921263,0.974525,0.001250,0.012716,0.033228,1.186173,2.508510,1.262011,0.028031
0.192297,0.282012,1.112550,50.233645,47.001471,48.042596,0.956383,0.001250,0.012855,0.033338,1.196173,2.483652,1.258817,0.027425
0.191253,0.292807,1.155134,50.222050,49.113687,49.208565,0.979820,0.001250,0.013347,0.034614,1.196064,2.632259,1.290479,0.028121
0.190745,0.286520,1.130332,49.160667,48.502008,47.101269,0.958109,0.001250,0.012919,0.033759,1.186049,2.707507,1.246113,0.027675
0.190090,0.276137,1.089373,50.103622,48.454272,48.742173,0.972827,0.001250,0.012588,0.032644,1.194956,2.756297,1.282849,0.028035
0.189246,0.288225,1.137060,49.161186,48.085829,47.722800,0.970741,0.001250,0.012996,0.033960,1.186054,2.875716,1.268091,0.028148
0.188948,0.275905,1.088455,50.183726,48.181589,48.415562,0.964766,0.001250,0.012577,0.032616,1.195705,2.891634,1.279991,0.027891
0.187727,0.271468,1.070951,49.155215,48.746990,47.608223,0.968528,0.001250,0.012240,0.031986,1.185998,3.074347,1.271223,0.028206
0.187656,0.271468,1.070951,50.014430,48.251353,48.569553,0.971111,0.001250,0.012375,0.032092,1.194122,3.045408,1.289416,0.028214
0.186290,0.279577,1.102941,49.897988,49.263094,48.668138,0.975353,0.001250,0.012744,0.033050,1.193035,3.228278,1.297646,0.028470
0.185730,0.287120,1.132698,49.126495,48.210124,47.425425,0.965374,0.001250,0.012946,0.033830,1.185731,3.304483,1.276834,0.028325
0.184594,0.276639,1.091351,50.023687,48.704942,48.805620,0.975650,0.001250,0.012610,0.032703,1.194209,3.425051,1.310755,0.028626
