Y_wm,Q_f,Q_CO2,eta,S_wm,S_Qf,S_QCO2,S_eta
0.0000,49.4,50.3,1.02,0.000,1.27,1.28,0.030
0.0229,49.8,49.6,0.996,0.005,1.31,1.33,0.029
0.0584,50.4,51.7,1.02,0.007,1.24,1.39,0.029
0.0768,50.1,50.8,1.01,0.008,1.31,1.34,0.029
0.0839,49.5,48.2,0.973,0.008,1.23,1.29,0.029
0.0895,49.5,48.9,0.989,0.008,1.28,1.20,0.030
0.0921,48.8,47.1,0.964,0.008,1.27,1.28,0.029
0.0930,,0.0,0.0,0.008,,,
