x_125,x_250,TC_125,TC_250
0.200000,0.200000,41.966039,41.354581
0.180000,0.180000,41.862872,42.300039
0.160000,0.160000,44.684824,45.130199
0.140000,0.140000,49.307444,49.888679
0.120000,0.120000,53.614456,64.128923
0.100000,0.100000,59.208721,131.670386
0.080000,0.080000,64.014191,274.207827
0.060000,0.060000,149.476882,436.434508
0.040000,0.040000,409.070309,571.993093
0.030000,0.030000,540.448351,660.321807
0.020000,0.020000,728.618341,769.766239
0.012500,0.010000,829.138964,812.526777
0.005000,0.000000,889.763800,827.505322
-0.005000,-0.010000,897.605301,817.571468
-0.015000,-0.020000,820.169806,772.112083
-0.025000,-0.030000,658.050693,678.914944
-0.035000,-0.040000,497.125735,578.568987
-0.045000,-0.050000,360.993481,489.107365
