x_125,x_250,XO2_125,XO2_250
0.050000,0.040000,0.164544,0.138742
0.070000,0.060000,0.179244,0.160661
0.090000,0.080000,0.181833,0.171883
0.110000,0.100000,0.181937,0.184384
0.130000,0.120000,0.182023,0.192546
0.150000,0.140000,0.183327,0.195485
0.170000,0.160000,0.186085,0.201199
0.190000,0.180000,0.194688,0.205120
0.210000,0.200000,0.200794,0.205641
0.230000,0.220000,0.206557,0.207570
0.250000,0.240000,0.208793,0.209297
0.280000,0.270000,0.209688,0.209565
