XO2,Chi_R,q_R,Q_f,Q_O2,Q_CO2,eta,S_XO2,S_ChiR,S_qR,S_Qf,S_QO2,S_QCO2,S_eta
0.206449,0.237956,0.997163,51.184078,52.555926,51.272855,1.001734,0.001250,0.010588,0.029717,1.281138,1.371275,1.364511,0.029395
0.206445,0.237956,0.997163,51.084395,51.503968,51.096761,1.000242,0.001250,0.010588,0.029717,1.280170,1.341762,1.357625,0.029338
0.206343,0.237956,0.997163,50.855088,50.417481,49.171060,0.966886,0.001250,0.010646,0.029839,1.280268,1.340060,1.328506,0.028266
0.206309,0.237956,0.997163,50.941491,48.654402,48.697222,0.955944,0.001250,0.010646,0.029839,1.281121,1.296788,1.318580,0.027979
0.205238,0.239396,1.003198,51.052455,51.997427,50.709037,0.993273,0.001250,0.010652,0.029897,1.279860,1.372129,1.344116,0.029081
0.205194,0.239396,1.003198,50.814248,50.467149,49.001404,0.964324,0.001250,0.010711,0.030020,1.279865,1.364475,1.318386,0.028102
0.203404,0.237999,0.997343,50.795934,49.332554,49.696445,0.978355,0.001250,0.010648,0.029845,1.279685,1.400980,1.331730,0.028423
0.203280,0.231689,0.970903,51.035001,52.387166,51.176766,1.002778,0.001250,0.010309,0.028934,1.279691,1.445797,1.354367,0.029318
0.202540,0.229536,0.961878,51.039590,51.313980,50.781254,0.994939,0.001250,0.010213,0.028665,1.279735,1.449915,1.342020,0.029051
0.202466,0.229536,0.961878,50.705287,49.341930,49.607279,0.978345,0.001250,0.010269,0.028784,1.278791,1.448461,1.326977,0.028404
0.201811,0.228034,0.955583,51.028862,51.591115,50.975476,0.998954,0.001250,0.010146,0.028478,1.279631,1.494861,1.346607,0.029159
0.201809,0.227720,0.954268,50.640508,49.497132,50.866312,1.004459,0.001250,0.010188,0.028556,1.278154,1.489632,1.358016,0.029134
0.201383,0.223484,0.936518,50.606431,49.132635,50.482594,0.997553,0.001250,0.009999,0.028025,1.277818,1.507058,1.347575,0.028938
0.201041,0.229505,0.961748,51.026861,51.413328,51.380929,1.006939,0.001250,0.010212,0.028661,1.279612,1.536667,1.357887,0.029399
0.200686,0.230135,0.964388,50.628609,49.984104,51.252494,1.012323,0.001250,0.010296,0.028859,1.278037,1.572518,1.365115,0.029308
0.200584,0.227025,0.951358,50.997233,50.487348,50.965734,0.999382,0.001250,0.010101,0.028352,1.279324,1.542431,1.346988,0.029185
0.200062,0.224280,0.939853,50.980950,51.461782,50.805191,0.996552,0.001250,0.009979,0.028009,1.279167,1.601860,1.342026,0.029093
0.199943,0.224280,0.939853,50.606810,49.813421,51.195414,1.011631,0.001250,0.010034,0.028125,1.277822,1.623185,1.363668,0.029296
0.199020,0.220609,0.924471,50.612054,50.293701,51.336324,1.014310,0.001250,0.009870,0.027664,1.277874,1.703463,1.365969,0.029348
0.198823,0.218691,0.916434,50.989747,52.999947,51.146795,1.003080,0.001250,0.009731,0.027311,1.279252,1.727049,1.351326,0.029282
0.197997,0.209417,0.877568,50.521718,49.172803,50.603803,1.001625,0.001250,0.009369,0.026261,1.276985,1.761436,1.346548,0.029009
0.197148,0.219092,0.918114,51.006441,52.470300,51.369540,1.007119,0.001250,0.009748,0.027361,1.279414,1.851590,1.359677,0.029432
0.197085,0.219092,0.918114,50.497055,49.278409,50.534544,1.000742,0.001250,0.009802,0.027474,1.276743,1.843941,1.345475,0.029005
0.195992,0.213268,0.893706,50.478120,49.206435,50.607549,1.002564,0.001250,0.009542,0.026744,1.276557,1.946807,1.349134,0.029096
