XO2,Chi_R,q_R,Q_f,Q_O2,Q_CO2,eta,S_XO2,S_ChiR,S_qR,S_Qf,S_QO2,S_QCO2,S_eta
0.208245,0.330475,1.303737,49.224855,47.993364,47.957634,0.974256,0.001250,0.014736,0.039374,1.187861,1.248599,1.267650,0.028100
0.208199,0.330475,1.303737,49.239389,47.415999,47.805464,0.970879,0.001250,0.014736,0.039374,1.187999,1.235118,1.264616,0.028018
0.208097,0.330475,1.303737,49.377719,46.443376,46.574869,0.943237,0.001250,0.014682,0.040006,1.194309,1.193489,1.215494,0.027075
0.208063,0.330475,1.303737,49.440526,46.323226,46.481114,0.940142,0.001250,0.014682,0.040006,1.194904,1.189095,1.211163,0.026936
0.207127,0.329884,1.301405,49.176933,49.053654,48.112948,0.978364,0.001250,0.014709,0.039303,1.187406,1.298431,1.269421,0.028187
0.206978,0.329884,1.301405,49.557053,48.079988,47.241944,0.953284,0.001250,0.014656,0.039935,1.196010,1.258006,1.227107,0.027210
0.205382,0.303608,1.197744,49.203572,48.291456,48.026230,0.976072,0.001250,0.013538,0.036173,1.187659,1.343155,1.264852,0.028073
0.205293,0.303608,1.197744,49.338876,46.708502,46.784595,0.948230,0.001250,0.013488,0.036754,1.193941,1.289052,1.210993,0.027034
0.204446,0.305784,1.206330,49.162048,47.833308,47.810573,0.972510,0.001250,0.013635,0.036432,1.187264,1.379713,1.258170,0.027963
0.204057,0.317307,1.251790,49.275031,46.725043,46.503796,0.943760,0.001250,0.014097,0.038412,1.193337,1.359073,1.202057,0.026887
0.203267,0.295301,1.164975,49.171050,48.579722,48.262320,0.981519,0.001250,0.013167,0.035183,1.187350,1.471163,1.269604,0.028212
0.202889,0.310621,1.225412,49.208939,47.137290,47.335730,0.961934,0.001250,0.013800,0.037603,1.192712,1.447180,1.221911,0.027386
0.202256,0.297027,1.171782,49.168453,48.028594,48.154444,0.979377,0.001250,0.013244,0.035389,1.187325,1.528129,1.266064,0.028138
0.201942,0.303787,1.198451,49.136357,46.466207,46.648084,0.949360,0.001250,0.013496,0.036775,1.192026,1.501892,1.203076,0.027023
0.201013,0.303866,1.198762,49.107725,47.120413,47.070881,0.958523,0.001250,0.013500,0.036785,1.191755,1.593170,1.213045,0.027270
0.200932,0.303866,1.198762,49.124764,49.449283,48.911873,0.995666,0.001250,0.013549,0.036203,1.186910,1.666006,1.286132,0.028621
0.200011,0.302169,1.192069,49.074333,46.900393,46.346553,0.944415,0.001250,0.013424,0.036579,1.191440,1.674886,1.194140,0.026868
0.198644,0.310728,1.225836,49.151841,47.964517,48.323364,0.983145,0.001250,0.013855,0.037021,1.187167,1.838296,1.273107,0.028303
0.198446,0.298051,1.175821,49.083245,48.725751,47.322905,0.964136,0.001250,0.013241,0.036081,1.191524,1.863076,1.220060,0.027437
