x,TCx_0.25,TCx_0.50,TCx_0.75,TCx_1.00,TCx_rms_0.25,TCx_rms_0.50,TCx_rms_0.75,TCx_rms_1.00
-0.06,847.4456947,782.562682,602.4313058,502.6822435,405.735891,351.1713958,209.902043,111.8270168
-0.04,991.6693342,849.8772057,633.4380305,510.0519479,407.2677187,355.6161365,220.9342626,112.0141825
-0.02,1113.665124,869.1208571,645.360751,519.7263395,391.8951193,360.206452,219.4705156,117.8999759
0,1120.508823,876.9230928,616.5748038,494.5625259,393.9965249,356.0944441,215.7738113,109.817681
0.02,952.6315657,794.3827601,611.0696969,499.3144789,415.9366509,356.4197772,225.390341,119.1870918
0.04,891.8942237,797.4147741,604.6732054,498.0774025,414.3786212,357.462282,220.7469932,115.8322243
0.06,716.6474296,709.6014831,555.1532897,484.2475978,362.486035,338.4114171,200.9486079,112.4482234
0.08,555.6176143,626.1420881,525.7232341,461.6245287,286.1562947,306.4897908,192.4206211,110.1813145
0.1,505.6193852,615.955554,511.2849416,454.0591011,263.4320302,298.1982288,187.334488,104.7792166
0.12,401.8349529,566.4863247,452.099152,425.8060869,172.4865539,275.3471556,149.0397361,96.27174945
0.14,357.977011,451.5112766,441.092884,424.9954883,101.3885918,202.8553457,144.5659446,95.41975872
0.16,338.9601497,413.7444331,385.693899,391.1207016,60.02620893,163.4478982,101.990209,81.69106735
0.18,327.8871767,380.1977579,391.9484862,390.3382636,15.32685274,121.7027972,112.0024974,78.18595439
0.2,326.5062868,362.9209698,343.1411489,356.5958096,25.23634188,114.9311586,56.49439117,60.58395075
