z,TCz,TCz_rms
0.03,1052.632006,356.3697468
0.05,1100.774969,372.6946763
0.07,1120.260632,379.0338404
0.09,1164.580752,385.7430838
0.11,1133.605497,391.7599592
0.13,1179.682103,381.6524236
0.15,1170.151376,385.2063251
0.2,1127.954089,378.080072
0.25,1110.629431,387.0588797
0.3,1100.697057,384.3815574
0.35,1015.443982,376.8146852
0.4,963.3206168,351.2579116
0.45,906.3200222,351.1220876
0.5,867.1952111,332.9606239
0.55,843.615171,344.7521576
0.6,764.1729733,307.2818263
0.65,702.8270357,275.2714738
0.7,642.6318024,236.055577
0.75,620.142925,213.7102559
0.8,606.4149619,185.7363061
0.85,553.206006,159.4675379
0.9,521.3888281,135.1955448
0.95,503.7776311,125.2026261
1,503.7647827,112.0796826
